"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Pass.Block.Efficiency","Percentage.of.Negative.Grade","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"ISAIAH BULLERDICK","CHARLOTTE",45,100,"A",76,83.9,0.111,0,0,0,0,0,0,0,0
"TREVARIS EDWARDS","MIDDLE TN",51,94.84,"A",72,83.4,0.118,0,0,0.059,0,0,0,0,0
"DEYLIN HASERT","GA STATE",26,93.78,"A",70.2,79.5,0.115,0,0,0.039,0,0,0,0,0
"GAGE STANALAND","GA STATE",40,93.09,"A",70.8,88.6,0.075,0,0,0,0,0,0,0,0
"TYLER KEINATH","NEW MEX ST",55,92.61,"A",71.3,85.2,0.091,0,0,0.036,0,0,0,0,0
"SHALIK HUBBARD","S ALABAMA",90,91.36,"A",70.4,72.5,0.1,0,100,0.1,0,0,1,0,0
"EVAN BUSHONG","JAMES MAD",48,90.56,"A",70.7,82.5,0.104,0,0,0.083,0,0,0,0,0
"MALIK ALIANE","NEW MEXICO",61,90.39,"A",74.2,81,0.115,0,0,0.049,0.03,1,0,0,0
"TRISTIAN SMITH","ARK STATE",63,90.07,"A",71,73.4,0.063,0.027,100,0.048,0.027,0,0,0,1
"GIOVANNI PANOZZO","WYOMING",55,88.87,"A",67.3,84.9,0.073,0,0,0.018,0,0,0,0,0
"JACKSON PRUITT","TEMPLE",56,88.14,"A",73.7,79.5,0.107,0,0,0.089,0,0,1,0,0
"MICHAEL LEVILLE WATKINS","S DIEGO ST",45,87,"A",62,85.2,0.022,0,100,0.022,0,0,0,0,0
"TYLER BROWN","JAMES MAD",51,85.83,"A",66.3,82.7,0.059,0,0,0.02,0,0,0,0,0
"THOMAS BARR","BUFFALO",84,85.74,"A",70.5,80.6,0.048,0,100,0.048,0,0,2,0,0
"KALAN ELLIS","S DIEGO ST",52,85.7,"A",69.1,77.7,0.077,0,97.9,0.039,0.042,1,1,0,0
"SKYLER GRANT","MEMPHIS",25,85.43,"A",64.6,78.1,0.08,0,0,0.04,0,0,0,0,0
"TRENT RAMSEY","APP STATE",63,84.62,"A",65.9,83.9,0.048,0,0,0.016,0,0,0,0,0
"PATRICK VALENT","RICE",60,84.22,"A",64.4,79.1,0.067,0,0,0.033,0,0,0,0,0
"RASHEED JACKSON","TEXAS ST",55,84.02,"A",58.7,84.8,0.055,0,100,0.109,0,0,0,0,0
"GRACESON SPANN","SM HOUSTON",72,83.52,"A",65.1,89,0.028,0,0,0,0,0,0,0,0
"LAVAKA TAUKEIAHO","S JOSE ST",78,82.91,"A",56.1,89.4,0.013,0,100,0.026,0,0,0,0,0
"KADIN LYNCH","UTAH ST",33,82.56,"A",57.4,84.7,0,0,100,0,0,0,0,0,0
"BAMIDELE BADUSI","TEXAS ST",48,82.53,"A",64.1,66.7,0.104,0,97.5,0.125,0.04,1,0,0,0
"JAMAL SILER","S ALABAMA",90,82.25,"A",62.6,81.3,0.056,0,100,0.078,0.029,1,0,0,0
"DARIUS NEALS","KENNESAW",27,81.67,"A",57.5,80.1,0,0,100,0,0,0,0,0,0
"MAARTEN WOUDSMA","MEMPHIS",64,81.65,"A",63.5,81.5,0.047,0,0,0.031,0,0,0,0,0
"WILL HUTCHENS","LA TECH",25,81.57,"A",57.2,78.4,0.04,0,100,0.08,0,0,0,0,0
"MIKE WALLACE JR.","KENNESAW",58,81.29,"A",65.4,65.8,0.052,0,98.3,0.052,0.033,1,0,0,0
"COLE PRINCIPE","RICE",71,80.98,"A",63.4,79.7,0.07,0,0,0.085,0,0,0,0,0
"ETHAN NEWMAN","NEVADA",55,80.48,"A",62.6,85.7,0.055,0,0,0.073,0,0,0,0,0
"ETHAN WILLIAMS","GA SOUTHRN",68,80.3,"A",63.8,85.1,0.029,0,0,0.029,0,0,0,0,0
"LUKE MOISE","NEW MEX ST",36,79.66,"B",60.9,81,0.056,0,0,0.056,0,0,0,0,0
"ALOALI'I MAUI","SO MISS",67,79.4,"B",62.7,82.8,0.045,0,0,0.06,0,0,0,0,0
"BRADEN HALES","COLO STATE",62,79.08,"B",67.8,78.5,0.048,0,0,0.016,0.031,1,0,0,0
"AUSTIN ELLIS","LA TECH",26,78.98,"B",55.9,83.2,0,0,100,0.039,0,0,0,0,0
"JOSIAH PETAIA","WYOMING",46,78.62,"B",59.9,84.2,0.022,0,0,0,0,0,0,0,0
"SETH WILFRED","UTAH ST",94,78.03,"B",68.9,72.8,0.064,0,100,0.096,0.016,1,2,0,0
"ZERIAN HUDSON","SO MISS",25,77.97,"B",61.1,77.8,0.04,0,0,0.04,0,0,0,0,0
"ZACH SMITH","COLO STATE",70,77.81,"B",62.1,86.2,0.029,0,0,0.057,0,0,0,0,0
"NATHAN ELU","OREGON ST",71,77.74,"B",63.4,82,0.056,0,0,0.056,0,0,1,0,0
"GUZZY KAYED","E MICHIGAN",69,77.51,"B",57.8,79.7,0.015,0,100,0.043,0,0,1,0,0
"RYAN WALKER","JVILLE ST",42,77.5,"B",60.2,83.7,0.024,0,0,0.024,0,0,0,0,0
"LANCE JOHNSON","JVILLE ST",44,77.2,"B",60.2,82.6,0.023,0,0,0.023,0,0,0,0,0
"LUKE ROGERS","SO MISS",36,76.61,"B",71.8,61.6,0.139,0,0,0.111,0.125,1,0,0,0
"PARKER MITCHELL","MEMPHIS",41,76.58,"B",59.7,79.1,0.049,0,0,0.073,0,0,0,0,0
"TAZIO ROSSO","LA TECH",25,76.55,"B",52.8,76.5,0.08,0,100,0.2,0,0,0,0,0
"LIPE MOALA","HAWAII",77,75.95,"B",64.4,68.1,0.052,0,0,0.039,0,0,1,0,0
"BRODY BOLYN","BOWL GREEN",69,75.68,"B",51.1,86.7,0,0,100,0.058,0,0,0,0,0
"MATEO RODRIGUEZ","NEW MEX ST",39,75.61,"B",59,84.7,0.026,0,0,0.051,0,0,0,0,0
"HUNTER ERB","TULSA",61,75.1,"B",75.1,56.6,0.098,0.033,0,0.098,0.067,1,1,1,0
"PRECIOUS EKEH","KENNESAW",58,74.97,"B",64.7,58.9,0.069,0,98.3,0.103,0.033,1,1,0,0
"MAC WALTERS","APP STATE",63,74.93,"B",61.3,77.3,0.048,0,0,0.048,0,0,1,0,0
"JACKSON BELLAMY","BUFFALO",78,74.69,"B",53.3,77.8,0.013,0.019,100,0.051,0.019,0,0,1,0
"TYLER CHEN","S JOSE ST",78,74.63,"B",55.4,78.1,0.026,0,98.9,0.064,0.022,1,0,0,0
"NONSO OMEZI","W KENTUCKY",83,74.6,"B",62.4,83.7,0.036,0,0,0.06,0,0,1,0,0
"BRANDON STONER","GA SOUTHRN",51,74.36,"B",65.2,69.4,0.039,0,0,0.02,0.029,1,0,0,0
"CONNOR DRAKE","DOMINION",57,74.25,"B",57.1,82.2,0.053,0,0,0.105,0,0,0,0,0
"JOSH WAITE","OHIO",30,73.93,"B",64.2,65.1,0.033,0.045,0,0.067,0.045,0,0,1,0
"AHMAD CARWISE","TOLEDO",45,73.81,"B",48.7,86.1,0.022,0,100,0.111,0,0,0,0,0
"WIL SAXTON","ARK STATE",59,73.76,"B",54.9,71.3,0.034,0.03,100,0.119,0.03,0,0,1,0
"PATRICK METHLIE","DELAWARE",29,73.66,"B",52.8,85.3,0,0,100,0.103,0,0,0,0,0
"MATTHEW GREENE","MO STATE",35,72.73,"B",57.7,82.9,0.029,0,0,0.086,0,0,0,0,0
"COOPER YOUNG","UAB",27,72.31,"B",58.6,72.1,0.037,0,96.7,0.074,0.067,1,0,0,0
"IAN MAYES","TULSA",47,72.15,"B",57.2,78.4,0.043,0.037,0,0.085,0.037,0,0,1,0
"JOE METZGER","UNLV",29,71.48,"B",56.6,81.2,0.035,0,0,0.103,0,0,0,0,0
"JOEP ENGBERS","LIBERTY",69,71.27,"B",68.2,66,0.072,0,0,0.101,0.029,1,1,0,0
