"Name","Team","SNAPS","Composite_Score","Player_Grade"
"NINO FRANCAVILLA","BUFFALO",84,100,"A"
"JOE ROUNDS","SO MISS",64,96.6,"A"
"TYHLER WILLIAMS","GA STATE",48,90.18,"A"
"MIKEL UDENGWU","TEXAS ST",55,87.55,"A"
"K'LEYONE IOSUA","UTAH ST",48,80.05,"A"
"ALEXIS SANCHEZ","BOWL GREEN",69,76.01,"B"
"KENTON JERIDO","S ALABAMA",90,73.83,"B"
"CHRIS MORENO","MIDDLE TN",51,69.44,"B"
"JAMES WILLIAMS","NEW MEX ST",55,64.54,"B"
"JAYDEN THOMAS","APP STATE",43,64.4,"B"
"ZACH GREENBERG","JAMES MAD",54,61.19,"B"
"AARON FENIMORE","LIBERTY",69,60.93,"B"
"MATEO GUEVARA","KENNESAW",58,60.29,"B"
"GRIFFIN SCROGGS","UNLV",59,59.82,"C"
"LUKE LAPEZE","UTSA",54,58.95,"C"
"COLIN LYONS","AKRON",58,58.03,"C"
"JOSEPH HARBERT","S JOSE ST",74,57.94,"C"
"LUCAS MRACHKOVSKIY","JVILLE ST",50,57.54,"C"
"KADEN ROBNETT","NEW MEXICO",64,57.47,"C"
"STEVEN DEMBOSKI","DELAWARE",59,57.44,"C"
"NIC CRUJI","CHARLOTTE",76,57.39,"C"
"ISAIAH VILLANUEVA","MO STATE",41,56.17,"C"
"KRIS MANU","MIAMI OH",52,55.61,"C"
"TYLER CAPPI","TROY",68,54.08,"C"
"PHILLIP GRAY","MEMPHIS",64,53.06,"C"
"VAN WELLS","OREGON ST",78,52.99,"C"
"SEAN DUGERY","LA MONROE",63,52.39,"C"
"PHILLIP OCON","COLO STATE",70,51.41,"C"
"CHANTZ CHARGUALAF","UTAH ST",36,49.95,"C"
"OSCAR WEIGEL","FRESNO ST",46,49.89,"C"
"ISAAC LUCAS","S DIEGO ST",50,49.79,"C"
"NATE BLEDSOE","RICE",52,49.1,"C"
"BRADEN CUNNINGHAM","FAU",90,48.6,"C"
"JOHN STONE","TEMPLE",56,44.5,"C"
"JACOB NORCROSS","NEVADA",55,42.44,"C"
"TY FURNISH","GA SOUTHRN",55,41.33,"C"
"MALACHI PRECIADO","TULSA",61,41.22,"C"
"KHALIL COLLINS","USF",56,40.08,"C"
"NICHOLAS GALLEGOS","E MICHIGAN",69,39.44,"D"
"ADAM LEPKOWSKI","UAB",82,38.49,"D"
"BROCK STUKES","SM HOUSTON",72,37.69,"D"
"ROY BRACKINS III","LA TECH",33,37.42,"D"
"JOB MAVRICK","OHIO",42,37.15,"D"
"MASON MYERS","ARK STATE",59,36.48,"D"
"JASON MACIEJCZAK","WYOMING",55,35.56,"D"
"BRIAN WILLIAMS JR.","UTEP",46,35.17,"D"
"SPENCER BECKEMAN","W MICHIGAN",69,34.33,"D"
"NOAH DUNHAM","WASH STATE",58,31.9,"D"
"GRANT HAWORTH","BALL ST",63,31.17,"D"
"STEWART TAUFA","BOISE ST",68,27.74,"D"
"GAVIN MARKS","TULANE",60,23.4,"D"
"ALEC JOHNSON","W KENTUCKY",83,21.53,"D"
"BRANDON BEST","E CAROLINA",42,21.25,"D"
"COOPER FORDHAM","LA LAFAYET",48,19.8,"F"
"CHANDLER STRONG","N TEXAS",71,18.57,"F"
"LANDON HRON","N ILLINOIS",57,17.81,"F"
"LUKE RECTOR","TOLEDO",45,13.61,"F"
"BEN MIDEA","KENT STATE",45,13.22,"F"
"ETHAN SPENCER","HAWAII",77,12.56,"F"
"BRAYDEN WALKER","DOMINION",57,12.5,"F"
"LOSINI MAKA","C MICHIGAN",46,12.18,"F"
"KAIN MCDONALD","COAST CAR",69,9.11,"F"
"DAVEION HARLEY","FIU",78,0.42,"F"
"ANDREW DUDLEY","MARSHALL",51,0,"F"
