"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"JAMILL WILLIAMS","JVILLE ST",20,100,"A",17,"WR",2026,"C-USA",92.5,7,15,2,7,7,144,20.6,4,5,0,0,0,7,0,0,66,9.4,7,0,9.6,11.1,3,0,1,0,"0.00%",158.3,0.2,0.467,0.429,1,"G5",1,20.5714285714286,0.466666666666667
"CAM'RON LACY","MIDDLE TN",30,94.23,"A",3,"WR",2026,"C-USA",90.8,9,22,2,8,8,115,14.4,1,5,0,0,0,8,1,1,93,11.6,31,1,5.23,2.8,4,8,1,0,"12.50%",158.3,0.364,0.364,0,1,"G5",1,14.375,0.363636363636364
"JAYLEN HAMPTON","CHARLOTTE",69,89.47,"A",2,"WR",2026,"The American",82.3,8,39,4,8,8,117,14.6,2,8,0,0,0,8,1,1,45,5.6,38,1,3,10.1,3,2,1,0,"12.50%",158.3,0.026,0.205,0.125,1,"G5",1,14.625,0.205128205128205
"JESSE LEGREE","OREGON ST",46,82.68,"A",12,"WR",2026,"Pac-12",75.8,8,35,3,8,5,136,27.2,1,5,0,0,0,6,4,1,52,10.4,30,0.25,3.89,21.3,3,4,0.833,0,"50.00%",145.8,0.143,0.229,0.375,0.625,"G5",0.625,17,0.228571428571429
"ORAN SINGLETON JR.","TULSA",47,81.09,"A",2,"WR",2026,"The American",81.3,5,25,4,6,5,157,31.4,1,3,0,0,0,5,0,0,122,24.4,39,0,6.28,9.8,4,2,1,0,"0.00%",158.3,0.08,0.24,0.333,0.833,"G5",0.833333333333333,26.1666666666667,0.24
"ADJATAY DABBS","TOLEDO",44,80.95,"A",3,"WR",2026,"MAC",85.5,5,27,11,8,4,101,25.3,2,4,0,0,0,5,3,1,37,9.3,25,0.333,3.74,15.8,2,0,0.8,0,"37.50%",135.4,0.074,0.296,0.375,0.5,"G5",0.5,12.625,0.296296296296296
"RJ VICK","COLO STATE",52,80.05,"A",0,"WR",2026,"Pac-12",73.9,4,29,5,9,7,120,17.1,3,3,0,0,0,7,0,0,62,8.9,9,0,4.14,12.3,2,0,1,0,"0.00%",158.3,0,0.31,0.222,0.778,"G5",0.777777777777778,13.3333333333333,0.310344827586207
"JALEN MICKENS","LA TECH",31,79.35,"B",11,"WR",2026,"Sun Belt",89.3,4,16,1,4,3,133,44.3,1,3,0,0,0,3,0,0,96,32,68,0,8.31,12.3,3,2,1,0,"0.00%",156.3,0.25,0.25,0,0.75,"G5",0.75,33.25,0.25
"CHANCE MORROW","BUFFALO",69,78.65,"B",6,"WR",2026,"MAC",66,13,47,28,14,7,48,6.9,3,7,2,0,0,11,9,5,13,1.9,7,0.556,1.02,10.9,0,0,0.636,0.182,"64.30%",97.6,0,0.298,0.071,0.5,"G5",0.5,3.42857142857143,0.297872340425532
"SAM PICKETT III","APP STATE",55,74.71,"B",0,"WR",2026,"Sun Belt",75.1,5,28,11,6,5,76,15.2,2,5,0,0,0,5,0,0,28,5.6,10,0,2.71,14,2,2,1,0,"0.00%",158.3,0,0.214,0.167,0.833,"G5",0.833333333333333,12.6666666666667,0.214285714285714
"COOPER HOCH","S JOSE ST",69,74.62,"B",13,"WR",2026,"MWC",68.8,6,41,11,5,5,115,23,2,3,0,0,0,5,0,0,39,7.8,23,0,2.8,15.6,2,1,1,0,"0.00%",158.3,0,0.122,0.4,1,"G5",1,23,0.121951219512195
"DJ ALLEN JR.","UTSA",34,70.44,"B",15,"WR",2026,"The American",80.4,4,18,0,4,3,116,38.7,1,3,0,0,0,3,0,0,80,26.7,56,0,6.44,9.8,3,2,1,0,"0.00%",156.3,0.222,0.222,0,0.75,"G5",0.75,29,0.222222222222222
"CLAYTON COPPOCK JR.","COAST CAR",46,70.43,"B",8,"WR",2026,"Sun Belt",69.5,4,38,6,4,4,83,20.8,2,3,0,0,0,4,1,1,19,4.8,14,1,2.18,16,2,2,1,0,"25.00%",158.3,0.053,0.105,0.25,1,"G5",1,20.75,0.105263157894737
"RILEY NEER","OHIO",51,67.11,"B",15,"WR",2026,"MAC",72.7,6,38,2,11,6,104,17.3,1,5,0,0,0,6,2,2,52,8.7,4,1,2.74,13.6,1,0,1,0,"18.20%",117.2,0.263,0.289,0.091,0.545,"G5",0.545454545454545,9.45454545454546,0.289473684210526
"MAKAI JACKSON","LIBERTY",48,66.94,"B",2,"WR",2026,"C-USA",73.2,10,28,8,9,4,107,26.8,1,2,0,0,0,4,3,0,6,1.5,2,0,3.82,20.7,4,1,1,0,"33.30%",125.7,0.107,0.321,0.333,0.444,"G5",0.444444444444444,11.8888888888889,0.321428571428571
"MARIO SANDERS","SO MISS",54,66.88,"B",1,"WR",2026,"Sun Belt",76,10,26,4,10,6,94,15.7,1,4,1,0,0,7,1,0,75,12.5,54,0,3.62,7,3,4,0.857,0.143,"10.00%",124.6,0.385,0.385,0.1,0.6,"G5",0.6,9.4,0.384615384615385
"SEAN WILSON","DELAWARE",44,66.79,"B",18,"WR",2026,"C-USA",71.8,7,30,20,9,6,73,12.2,1,4,1,0,0,7,2,1,7,1.2,4,0.5,2.43,13.7,2,1,0.857,0.143,"22.20%",128.5,0.033,0.3,0.222,0.667,"G5",0.666666666666667,8.11111111111111,0.3
"DAMARION WITTEN","MIAMI OH",38,66.28,"B",8,"WR",2026,"MAC",68.5,4,30,12,4,2,90,45,1,2,0,0,0,2,2,1,42,21,39,0.5,3,25,2,1,1,0,"50.00%",135.4,0.067,0.133,0.75,0.5,"G5",0.5,22.5,0.133333333333333
"KELBY VALSIN","FAU",87,65.56,"B",2,"WR",2026,"The American",68.8,8,55,14,15,9,83,9.2,1,5,0,0,0,9,4,2,17,1.9,5,0.5,1.51,11.5,1,0,1,0,"26.70%",57.8,0,0.273,0.267,0.6,"G5",0.6,5.53333333333333,0.272727272727273
"HUNTER SUMMERS","ARK STATE",53,65.04,"B",3,"WR",2026,"Sun Belt",72.2,5,35,13,6,5,98,19.6,0,4,0,0,0,5,2,2,11,2.2,0,1,2.8,19.5,3,0,1,0,"33.30%",118.8,0.057,0.171,0.5,0.833,"G5",0.833333333333333,16.3333333333333,0.171428571428571
"ELI WOOD","UTAH ST",78,64.35,"B",7,"WR",2026,"Pac-12",69.6,8,52,5,12,6,90,15,1,6,0,0,0,6,0,0,21,3.5,20,0,1.73,13.7,3,2,1,0,"0.00%",102.8,0.096,0.231,0.167,0.5,"G5",0.5,7.5,0.230769230769231
"ASHTON HOLLINS","GA SOUTHRN",41,63.42,"B",2,"WR",2026,"Sun Belt",62.4,8,28,5,11,8,101,12.6,1,4,1,1,1,9,4,3,50,6.3,36,0.75,3.61,8.6,2,2,0.889,0.111,"36.40%",131.3,0.071,0.393,0.182,0.727,"G5",0.727272727272727,9.18181818181818,0.392857142857143
"BRENDAN JENKINS","S ALABAMA",75,60.21,"B",12,"WR",2026,"Sun Belt",73.3,10,32,6,9,5,78,15.6,1,5,0,0,0,5,2,0,23,4.6,3,0,2.44,13.1,2,0,1,0,"22.20%",121.5,0.031,0.281,0.111,0.556,"G5",0.555555555555556,8.66666666666667,0.28125
"COLIN CHASE","TEMPLE",53,59.55,"C",1,"WR",2026,"The American",76.7,5,23,2,4,4,100,25,0,2,0,0,0,4,0,0,84,21,63,0,4.35,4,3,4,1,0,"0.00%",118.8,0.043,0.174,0,1,"G5",1,25,0.173913043478261
"TK KING","NEW MEX ST",23,59.35,"C",1,"WR",2026,"C-USA",79.2,2,11,4,5,3,94,31.3,0,2,0,0,0,3,1,1,17,5.7,11,1,8.55,29.4,2,0,1,0,"20.00%",104.2,0.091,0.455,0.8,0.6,"G5",0.6,18.8,0.454545454545455
"GRADY O'NEILL","SM HOUSTON",49,58.66,"C",7,"WR",2026,"C-USA",66.2,4,38,3,9,7,86,12.3,1,4,0,0,0,5,1,1,22,3.1,14,1,2.26,9,1,1,1.4,0,"11.10%",103.9,0.237,0.237,0.111,0.778,"G5",0.777777777777778,9.55555555555556,0.236842105263158
