"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Defeated.Runblock.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Sacks.Allowed","Hits.Allowed"
"LUKE MILLER","RICE",61,100,"A",92.9,78.5,0.18,0,0.021,0,0,0,0,0,0
"JACKSON NELSON","UTAH ST",70,98.51,"A",84.1,75.9,0.086,0,0.071,100,0,1,0,0,0
"CHRISTIAN YOUNG","SO MISS",30,97.88,"A",81.9,76.6,0.2,0,0.053,0,0,0,0,0,0
"REESE OSEI-WUSU","S ALABAMA",90,93.92,"A",73.7,83.2,0.078,0,0.055,100,0,1,0,0,0
"GABRIEL ARENA","BUFFALO",84,93.25,"A",76.5,79.7,0.071,0,0.107,100,0,2,0,0,0
"PHERLESKI MARTIN","GA STATE",25,90.51,"A",85.6,85.5,0.12,0,0,0,0,0,0,0,0
"BRADEN CAIN","SO MISS",46,89.88,"A",91.6,65.1,0.174,0,0,0,0,1,0,0,0
"JAMES THOMAS JR.","BOWL GREEN",69,89.25,"A",62.2,85.4,0.043,0,0.083,100,0,0,0,0,0
"TADAN BINGHAM","LA TECH",30,89.05,"A",56.1,78.1,0.067,0,0.13,100,0,0,0,0,0
"ETHAN HUBBARD","S ALABAMA",81,86.89,"A",54.8,80.9,0.062,0,0.213,100,0.029,0,1,0,0
"HAYDEN CHRISTMAN","LA TECH",33,86.85,"A",57,84.9,0.03,0,0.118,100,0,0,0,0,0
"JUSTIN MICHAELIS","RICE",47,86.64,"A",71.9,77.9,0.128,0,0.086,0,0,0,0,0,0
"JOSEPH BORJON","S DIEGO ST",51,86.04,"A",65.4,86.1,0.039,0,0,100,0,0,0,0,0
"SULLY BURNS","TEXAS ST",55,80.45,"A",60.4,74.5,0.018,0,0.115,100,0,1,0,0,0
"ANTHONY CACCESE","DELAWARE",59,79.95,"B",61,75.5,0.034,0,0.167,98.8,0.024,1,1,0,0
"DANTE DEVINE","SO MISS",54,79.45,"B",71.6,79.9,0.074,0,0.061,0,0,0,0,0,0
"ZAMARIO WOODGETT","KENNESAW",27,78.87,"B",58.3,71.7,0.037,0,0.083,100,0,1,0,0,0
"MANASSE ITETE","ARK STATE",58,78.3,"B",65,52.3,0.052,0,0.154,100,0,2,0,0,0
"ROLAN FULLWOOD","FRESNO ST",46,78.08,"B",61.9,68.6,0.022,0,0.087,100,0,1,0,0,0
"TYLER LAWRENCE","NEW MEXICO",64,77.9,"B",73,84,0.063,0,0.071,0,0,1,0,0,0
"DEVON MANUEL","APP STATE",60,77.47,"B",65.1,84.8,0.067,0,0.069,0,0,0,0,0,0
"CARLOS SLAYDEN","AKRON",34,76.84,"B",67.7,54.1,0.059,0,0.077,100,0,2,0,0,0
"BRODY DUFFEL","TULSA",60,76.58,"B",76.9,80.3,0.083,0,0.067,0,0.033,0,1,0,0
"TYRONE DAVIS","BUFFALO",78,76.5,"B",66.5,74.1,0.026,0,0.08,100,0,3,0,0,0
"HENRY SELLARDS","NEVADA",55,75.91,"B",67.6,83.1,0.055,0,0.054,0,0,0,0,0,0
"REX JOHNSEN","WYOMING",55,75.44,"B",66.3,86.7,0.055,0,0.035,0,0,0,0,0,0
"JEREMIAH ORR","JVILLE ST",44,75.14,"B",57.9,83.1,0.045,0,0.15,0,0,0,0,0,0
"TROY SMITH III","LA TECH",27,74.49,"B",54.4,70.9,0.074,0,0.154,96.4,0.071,0,1,0,0
"DENNIS JONES","S DIEGO ST",51,74,"B",65.8,69.2,0.039,0,0.037,100,0.042,0,1,0,0
"MARCUS MASCOLL","GA STATE",37,72.13,"B",68.4,80,0.054,0,0,0,0,0,0,0,0
"DJ FOX","JAMES MAD",35,72.1,"B",62.5,57,0.086,0.077,0.136,0,0.077,0,0,0,1
