"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"CADEN CREEL","JVILLE ST",58,100,"A"
"COLE GONZALES","CHARLOTTE",76,91.43,"A"
"BLAKE BAKER","LA TECH",28,86.99,"A"
"QUINN HENICLE","DOMINION",56,82.86,"A"
"RICKIE COLLINS","KENNESAW",58,76.38,"B"
"DEUCE BAILEY","COAST CAR",69,74.17,"B"
"MALACHI SINGLETON","APP STATE",52,74.08,"B"
"LUNCH WINFIELD","LA LAFAYET",51,69.25,"B"
"NICK MINICUCCI","DELAWARE",59,68.92,"B"
"HAUSS HEJNY","COLO STATE",70,67.96,"B"
"ROMAN GAGLIANO","MIDDLE TN",51,67.33,"B"
"OWEN MCCOWN","UTSA",52,66.97,"B"
"GOOSE CROWDER","TROY",68,66.05,"B"
"TREY OWENS","ARK STATE",63,63.07,"B"
"JACKSON ARNOLD","UNLV",65,62.82,"B"
"CAMERAN BROWN","GA STATE",42,62.35,"B"
"NICK POULOS","OHIO",59,62.17,"B"
"LUKE WEAVER","S JOSE ST",78,61.87,"B"
"BRADEN ATKINSON","OREGON ST",78,61.06,"B"
"BISHOP DAVENPORT","S ALABAMA",81,58.95,"C"
"MARCUS STOKES","MEMPHIS",60,58.7,"C"
"TREY HEDDEN","NEW MEX ST",55,58.58,"C"
"MADDUX MADSEN","BOISE ST",68,56.29,"C"
"CARTER JONES","NEVADA",55,55.31,"C"
"RYDER BURTON","UAB",82,54.79,"C"
"CADEN VELTKAMP","FAU",90,53.79,"C"
"ELIJAH HOLMES","BUFFALO",84,53.55,"C"
"BAYLOR HAYES","TULSA",61,53.36,"C"
"CADEN PINNICK","WASH STATE",58,53.22,"C"
"LANDYN LOCKE","SM HOUSTON",72,52.01,"C"
"JAYDEN DENEGAL","S DIEGO ST",49,51.81,"C"
"JJ KOHL","FIU",78,51.64,"C"
"DESHAWN PURDIE","LIBERTY",67,51.3,"C"
"TYLER HUGHES","WYOMING",55,46.61,"C"
"MAX JOHNSON","GA SOUTHRN",59,46.22,"C"
"TAYVEN JACKSON","N TEXAS",58,43.69,"C"
"ETHAN HAMPTON","SO MISS",64,41.77,"C"
"JAY KASTANTIN","BOWL GREEN",69,40.67,"C"
"JOHN ALAN RICHTER","TOLEDO",45,40.54,"C"
"BRAD JACKSON","TEXAS ST",46,39.91,"D"
"LUKE MOGA","NEW MEXICO",32,37.91,"D"
"TOA FA'AVAE","NEW MEXICO",33,36.85,"D"
"AUSTIN CARLISLE","LA MONROE",29,36.75,"D"
"MCCAE HILLSTEAD","UTAH ST",68,34.32,"D"
"MICHAEL VAN BUREN JR.","USF",56,34.13,"D"
"DAVID MCCOMB","MIAMI OH",48,32.76,"D"
"DRU DESHIELDS","KENT STATE",39,31.22,"D"
"CIBASTIAN BROUGHTON","AKRON",57,31.2,"D"
"KADIN SEMONZA","TULANE",40,27.09,"D"
"MICAH ALEJADO","HAWAII",75,26.47,"D"
"CARLOS DEL RIO-WILSON","MARSHALL",48,24.13,"D"
"RODNEY TISDALE JR.","W KENTUCKY",80,20.73,"D"
"KELDRIC LUSTER","BALL ST",55,20.4,"D"
"BROC LOWRY","W MICHIGAN",69,18.84,"F"
"MITCH GRIFFIS","E CAROLINA",34,17.67,"F"
"AIDAN ARMENTA","LA MONROE",34,17.63,"F"
"EJ COLSON JR.","UTEP",40,13.42,"F"
"NOAH KIM","E MICHIGAN",69,13.15,"F"
"TARON DICKENS","N ILLINOIS",30,12.46,"F"
"GRADY BROSTERHOUS","UTAH ST",26,12.43,"F"
"JAYDEN MANDAL","FRESNO ST",45,7.93,"F"
"CAMDEN COLEMAN","JAMES MAD",15,5.46,"F"
"SKYLER LOCKLEAR","MO STATE",41,0,"F"
