"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"JEREMIAH SCOBY","BOWL GREEN",49,100,"A",103,0,10,9,41,0,89.2,2,3.81,109.6,2,9.4,2,0,1,0,0,27,5,10,0,0.148,0.37,0.1,4,0.9,0.1,0.9
"CADEN JENSEN","LA LAFAYET",38,78,"B",77,0,6,5,8,2,89.5,0,4.53,79.2,0,6,11,1,0,0,0,17,4,5,0.5,0,0.353,0,3,1,0,0.833
"ELI FINLEY","LA TECH",33,76.8,"B",58,1,6,5,10,1,78.7,0,3.63,146.5,0,4,8.2,1,0,0,0,16,3,5,1,0.188,0.375,0.167,1,1,0,0.833
"DARRIN FUGITT","APP STATE",29,73.18,"B",47,1,4,4,11,0,90.5,1,4.27,155.2,1,12.5,-0.8,0,0,0,0,11,4,4,0,0,0.364,0,1,1,0,1
"TOBY PAYNE","MARSHALL",49,69.4,"B",55,0,9,8,16,0,70.3,2,1.96,92.1,2,2.8,8.6,0,0,0,0,28,5,8,0,0.25,0.321,0.111,0,1,0,0.889
"MATT WAGNER","BOISE ST",49,67.76,"B",27,1,5,4,7,2,71.9,5,1.08,128.8,0,3.3,4.6,2,0,0,0,25,1,4,1,0.08,0.2,0,0,1,0,0.8
"KEYAN BURNETT","UNLV",38,60.95,"B",55,0,6,3,10,2,73.6,1,4.23,81.9,0,6,9.8,0,1,0,0,13,2,5,0,0.154,0.462,0,2,0.6,0.2,0.5
"FABIAN ROGOSCH","TROY",30,58.77,"C",37,1,3,3,1,0,80.5,0,7.4,157.6,0,5,7.3,0,0,0,0,5,2,2,0,0,0.6,0,2,1.5,0,1
"LUKE GILBERT","JVILLE ST",31,57.86,"C",46,1,3,2,16,0,69.5,0,2.56,149.3,0,15.5,4.7,0,1,0,0,18,2,3,0,0.111,0.167,0,2,0.667,0.333,0.667
"ERIC OLSEN","OREGON ST",45,54.66,"C",54,0,7,4,8,1,62.1,0,1.93,81.8,1,8.3,8.9,0,1,0,0,28,3,5,0,0.107,0.25,0,2,0.8,0.2,0.571
"DAVID ALPERS III","JVILLE ST",20,53.57,"C",34,0,2,2,8,1,92.3,1,4.86,118.8,0,8.5,8.5,1,0,0,0,7,2,2,1,0.286,0.286,0,1,1,0,1
"JAKE WILSON","WYOMING",37,50.51,"C",51,0,2,2,10,0,72.8,3,2.68,118.8,1,11.5,14,0,0,0,0,19,2,2,0,0.053,0.105,0.5,2,1,0,1
"JAMEL HOWSE","APP STATE",22,50.28,"C",53,0,5,4,15,0,73.9,0,3.79,110.8,1,9,5.2,0,0,0,0,14,1,4,0,0,0.357,0,1,1,0,0.8
"LEON HAUGHTON JR.","DOMINION",55,47.27,"C",46,0,4,2,14,0,75.5,0,2.71,91.7,1,11,12.5,0,0,0,0,17,2,2,0,0.118,0.235,0.25,1,1,0,0.5
"CADE KEITH","NEW MEXICO",53,46.96,"C",36,0,5,4,14,0,69.3,3,1.29,96.7,1,4.8,5.4,0,0,0,0,28,2,4,0,0.071,0.179,0,1,1,0,0.8
"JOSHUA LONG","E MICHIGAN",69,46.48,"C",34,0,8,5,17,1,57.7,0,0.77,32.3,0,6.4,6.8,1,0,0,0,44,1,5,1,0.136,0.182,0.125,0,1,0,0.625
"BRANDON YOUNG JR.","UTSA",17,45.73,"C",7,1,1,1,0,1,91,0,0.78,135.4,0,0,16,1,0,0,0,9,1,1,1,0.111,0.111,0,0,1,0,1
"ELI JACON-DUFFY","BOWL GREEN",63,44.78,"C",47,0,3,3,7,0,63.7,2,1.88,118.8,0,6,9.7,0,0,0,0,25,3,3,0,0.08,0.12,0,1,1,0,1
"HUNTER TIPTON","MEMPHIS",43,44.7,"C",31,0,2,2,8,0,78,2,4.43,118.8,1,13.5,2,0,0,0,0,7,2,2,0,0,0.286,0,1,1,0,1
"JAMES RESAR","FIU",50,44.61,"C",31,1,5,3,4,0,56.8,1,1.11,117.5,0,5.7,5.6,0,0,0,0,28,1,3,0,0.071,0.179,0,1,1,0,0.6
"DECORION TEMPLE","OREGON ST",54,40.95,"C",30,0,7,5,3,1,56.2,1,0.88,79.5,0,3.2,6.1,1,0,0,0,34,1,5,1,0.088,0.206,0.143,0,1,0,0.714
"JOSIAH THOMAS","NEW MEX ST",15,40.81,"C",19,0,3,2,7,1,70.3,3,1.58,84,1,6,11.3,0,0,0,0,12,1,2,0,0.167,0.25,0.333,0,1,0,0.667
"TATE HOOVER","BALL ST",43,40.18,"C",20,0,6,5,2,1,68,1,1.25,80.6,0,1,7.7,1,0,0,0,16,1,5,1,0,0.375,0.167,0,1,0,0.833
"DJ ASIASI","NEVADA",43,38.58,"D",14,1,1,1,0,0,65.1,2,1.56,158.3,0,11,3,0,0,0,0,9,1,1,0,0,0.111,0,0,1,0,1
"BRYCE ANDERSON","LA MONROE",37,35.97,"D",22,0,4,3,3,1,60.1,1,1.29,87.5,1,6,1.5,0,0,0,0,17,1,3,0,0.176,0.235,0,0,1,0,0.75
"CC EZIRIM","W KENTUCKY",36,35.93,"D",35,0,4,2,4,0,69.4,2,1.52,80.2,0,9,17.3,0,0,0,0,23,1,2,0,0.087,0.174,0.25,1,1,0,0.5
"JAMESON SCISSUM","JVILLE ST",21,35.54,"D",30,0,3,3,2,0,75.7,1,3.33,108.3,0,3,7,0,0,0,0,9,1,3,0,0.222,0.333,0,1,1,0,1
"CLINT WALKER","BUFFALO",84,35.47,"D",41,0,6,5,3,0,52.2,2,0.93,95.1,0,2,4.8,0,1,0,0,44,1,6,0,0.045,0.136,0.167,1,0.833,0.167,0.833
"ELIJAH ALEXANDER","AKRON",30,34.18,"D",6,1,3,2,1,0,59.4,2,0.3,109.7,0,3.5,2.3,0,0,0,0,20,1,2,0,0,0.15,0,0,1,0,0.667
"MATT BURON","GA STATE",19,33.68,"D",16,0,1,1,3,0,80.3,1,8,118.8,0,12,4,0,0,0,0,2,0,1,0,0,0.5,0,1,1,0,1
"LAKELSEY JOHNSON JR.","LIBERTY",42,33.59,"D",15,0,3,2,6,1,62.8,1,1,78.5,1,5.5,4.7,0,0,0,0,15,1,2,0,0.067,0.2,0,0,1,0,0.667
"RIVER HELMS","GA SOUTHRN",58,32.98,"D",30,0,3,3,3,0,62,1,0.97,108.3,0,1.7,8.3,0,0,0,0,31,2,3,0,0.065,0.097,0,1,1,0,1
"ELIJAH SESSOMS","DELAWARE",30,32.66,"D",18,0,1,1,1,0,59.6,9,0.95,118.8,0,4,14,0,0,0,0,19,1,1,0,0.053,0.053,0,1,1,0,1
"AIDAN O'CALLAGHAN","MEMPHIS",20,31.81,"D",7,1,2,1,0,0,65.2,0,0.7,97.9,0,4,8,0,0,0,0,10,1,1,0,0.1,0.2,0,0,1,0,0.5
"ZEKE WIMBUSH","LIBERTY",33,30.43,"D",15,0,3,2,2,1,62.8,0,0.94,78.5,0,2,8.3,1,0,0,0,16,1,2,1,0.063,0.188,0,0,1,0,0.667
"JACKSON VERDUGO","FIU",43,30.01,"D",15,0,3,1,7,1,55.6,1,0.58,50.7,0,18,1.3,0,0,0,0,26,1,1,0,0.039,0.115,0,1,1,0,0.333
"ISAAC SCHOENFELD","WYOMING",15,29.71,"D",13,0,1,1,8,0,74.5,0,2.17,118.8,1,13,0,0,0,0,0,6,1,1,0,0,0.167,0,0,1,0,1
"TEDDY GAWLIK","LA LAFAYET",36,29.06,"D",22,0,3,3,8,0,62.6,0,1.38,97.2,0,4.3,3,0,0,0,0,16,1,3,0,0.063,0.188,0,0,1,0,1
"DILLON HIPP","MO STATE",21,28.36,"D",15,0,3,2,3,0,68.3,2,2.5,78.5,0,2,5.7,0,0,0,0,6,1,2,0,0.5,0.5,0,0,1,0,0.667
"MAX WHISNER","SM HOUSTON",27,27.98,"D",20,0,2,2,5,0,63.1,1,1.43,108.3,0,4.5,5.5,0,0,0,0,14,1,1,0,0.071,0.143,0,1,2,0,1
