"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Colton Patterson","N COLORADO",140,70,2,53.43,"C+"
"Drew Page","INDIANA ST",50,50,1,52.65,"C"
"Jalen Foster","STETSON",67,67,1,52,"C"
"Matt Brooks","DUQUESNE",81,40.5,2,51.59,"C"
"Nik Belski","BUTLER",49,49,1,51.43,"C"
"Wil Turner IV","SAMFORD",31,31,1,51.11,"C"
"Richard Dennis","STETSON",36,36,1,50.94,"C"
"Abram Nicklas","TXRG",133,66.5,2,50.75,"C"
"Tyler Isaacson","MOREHEAD",52,52,1,49.98,"C"
"Logan Wylie","MERRIMACK",121,60.5,2,49.23,"C"
"Jabari Edwards","GARD-WEBB",161,80.5,2,49.22,"C"
"Cooper Bothwell","VALPO",62,62,1,46.94,"C"
"Mike Brennan","PRESBYTERN",76,76,1,45.3,"C-"
"Parker Nichols","DAVIDSON",64,64,1,43.78,"C-"
"Guan Price II","HOWARD",112,56,2,43.69,"C-"
"Tyler Barrett","GEORGETOWN",57,57,1,42.71,"C-"
"Emery D'Urso","HAMPTON",120,60,2,41.8,"C-"
"Jorge Rodriguez","LIUSHAR",116,58,2,41.26,"C-"
"Charles Stewart","WM & MARY",129,64.5,2,40.99,"C-"
"Jonah Bossette","CHISTA",106,53,2,38.98,"D+"
"Kai Gadson","FL A&M",46,46,1,38.1,"D+"
"Ian Markham-Miller","TOWSON",107,53.5,2,37.39,"D+"
"Jackson Nixon","ALBANY",138,69,2,36.57,"D+"
"Semisi Latu","PORTLAND",155,77.5,2,35.74,"D+"
"Kennedy Jackson","TENN STATE",60,60,1,28.17,"D"
