"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Nick Laughlin","MAINE",28,28,1,49.72,"C"
"Payton Brown","SE MO ST",50,50,1,49.71,"C"
"James Jointer","CENT ARK",19,19,1,49.54,"C"
"Joey Koch","ALBANY",48,24,2,49.43,"C"
"Zamar Reese","SAN DIEGO",12,12,1,49.19,"C"
"Rahshan La Mons","ALBANY",84,42,2,49.13,"C"
"Rashon Brown","BETH COOK",54,27,2,49.12,"C"
"Matt Lawson","N DAKOTA",45,45,2,48.95,"C"
"Brennan Carroll","TXRG",31,31,1,48.8,"C"
"Kenveon Stone","N ARIZONA",0,NA,1,48.64,"C"
"Jaiden Daniels","E TENN ST",25,12.5,2,48.04,"C"
"Jamaal Brown","RICHMOND",39,39,1,47.6,"C"
"Tyler Lofton","ILL STATE",12,12,1,47.54,"C"
"Roderick Taylor Jr.","N ALABAMA",26,26,1,47.51,"C"
"Kendrick Agenor","BRYANT",21,21,1,47.32,"C"
"Omar Mbakwe","SAN DIEGO",51,25.5,2,47.14,"C"
"Aidan Garrett","STHLSK",70,35,2,46.82,"C"
"Troy Flowers","STETSON",52,26,2,46.55,"C-"
"Aaron Ball","INDIANA ST",0,NA,1,46.23,"C-"
"Charles Kellom","E ILLINOIS",23,11.5,2,46.15,"C-"
"Isaiah Groves","AUSTINPEAY",18,18,1,46.06,"C-"
"Craig Cunningham","MOREHEAD",43,21.5,2,46.03,"C-"
"Mykel Allen","MURRAY ST",60,30,2,45.97,"C-"
"Noah Spencer","DAYTON",0,NA,1,45.84,"C-"
"Corey Richardson","AUSTINPEAY",11,11,1,45.81,"C-"
"Ken Cherry","SAMFORD",10,10,1,45.58,"C-"
"Carson Fletcher","S DAKOTA",21,21,1,45.49,"C-"
"Matthias Latham","MERRIMACK",64,32,2,45.46,"C-"
"Shane Lee","NICHOLLS",74,37,2,45.43,"C-"
"Lontrell Turner","INCAR WORD",0,NA,1,45.34,"C-"
"Dazhaun Hopkins","DUQUESNE",17,17,1,45.28,"C-"
"Corey Blair Jr.","S DAK ST",61,30.5,2,44.75,"C-"
"Tyler Smith","SCAR STATE",26,26,1,44.65,"C-"
"Billy Roberson II","HOWARD",39,19.5,2,44.61,"C-"
"Nate Blount IV","JACKSON ST",0,NA,1,44.55,"C-"
"Jah'Kei Chavis","WM & MARY",39,19.5,2,44.45,"C-"
"Gracen Goldsmith","HAMPTON",43,21.5,2,44.17,"C-"
"Mike Franklin","SOUTHERN U",7,7,1,44.16,"C-"
"Troy Bruce","ALAB A&M",0,NA,2,44.14,"C-"
"Jawaun Northington","MURRAY ST",18,18,1,44.13,"C-"
"Aaron Crossley","LEHIGH",14,14,1,43.92,"C-"
"Calvin Smith Jr.","SE LA",39,19.5,2,43.85,"C-"
"Josh Perry","W CAROLINA",30,30,1,43.54,"C-"
"D'Marius Rucker","E TENN ST",10,10,1,43.45,"C-"
"Aziz Foster-Powell","RICHMOND",26,26,1,43.21,"C-"
"Keino Fitzpatrick II","ROB MORRIS",64,32,2,43.05,"C-"
"Josh Shaw","SCAR STATE",25,12.5,2,43.02,"C-"
"Keith Jenkins Jr.","MORGAN ST",15,15,1,43.01,"C-"
"Clyde McClendon Jr.","GRAMBLING",12,12,1,43,"C-"
"Seth Rigtrup","WEBER ST",34,34,1,42.53,"C-"
"Ezekiel Pour","MOREHEAD",9,9,1,40.34,"C-"
"Uriah Moats-Maynard","WAGNER",26,26,1,40.25,"C-"
"Tamaj Hoffman","NICHOLLS",47,23.5,2,40.18,"C-"
"Seth Glatz","ILL STATE",47,23.5,2,40.12,"C-"
"Jack Linden","BUTLER",0,NA,1,40.1,"C-"
"Kolton Nero","ALAB A&M",0,NA,2,39.82,"D+"
"Christian Vann","GARD-WEBB",72,36,2,39.78,"D+"
"Jordan Barnett","MORGAN ST",0,NA,1,39.68,"D+"
"D'Shaun Ford","GRAMBLING",15,15,1,39.66,"D+"
"Mathias Price","N COLORADO",32,32,1,39.63,"D+"
"Shawn James","WAGNER",26,26,1,39.18,"D+"
"Byron Cardwell Jr.","MERCYHURST",47,23.5,2,39.14,"D+"
"Michael Bormann","N IOWA",16,16,1,39.04,"D+"
"Tyrell Reed Jr.","SE MO ST",16,16,1,38.99,"D+"
"Zay Davis","NWSTATE",61,30.5,2,38.75,"D+"
"Breyon Williams","ROB MORRIS",15,15,1,38.73,"D+"
"Gino Addison","NC CENT",0,NA,1,38.36,"D+"
"Jason Albritton","E TENN ST",19,19,1,38.26,"D+"
"Journey Wyche","CHATTNOOGA",48,24,2,37.88,"D+"
"Joseph Williams","HOLY CROSS",81,40.5,2,37.83,"D+"
"Rashawn Marshall","MAINE",63,31.5,2,37.76,"D+"
"CJ Stokes","FURMAN",17,17,1,37.54,"D+"
"Jalyn Daniels","NORFOLK",63,31.5,2,37.52,"D+"
"Jaylen Jennings","ARKAPB",25,25,2,37.43,"D+"
"Malachi Gamble","LAFAYETTE",14,14,1,37.41,"D+"
"Robert Giaimo","LNDNWD",15,15,1,37.33,"D+"
"JT Smith","NC A&T",35,35,2,37.23,"D+"
"Will Jones","DAVIDSON",34,34,2,37.17,"D+"
"Jimmyll Williams","ELON",50,25,2,37.13,"D+"
"Desmin Jackson","BUTLER",29,29,2,37.01,"D+"
"TJ Dement","TXRG",69,34.5,2,36.72,"D+"
"Andre Crews","GRAMBLING",12,12,1,36.71,"D+"
"Jayden Hibbler","INCAR WORD",0,NA,1,36.63,"D+"
"Jamell James","FORDHAM",20,20,1,36.4,"D+"
"Cameron Young","CENT ARK",12,12,1,36.35,"D+"
