"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"BJ Norman","ALBANY",94,47,2,57.03,"C+"
"Cody Blicharz","DRAKE",36,36,1,57.01,"C+"
"Jonathan Alexander","GEORGETOWN",35,35,1,56.8,"C+"
"Preston Bird","SAMFORD",61,61,1,56.26,"C+"
"Tayvion McCoy","CAL POLY",126,63,2,55.6,"C+"
"Julian Mason","IDAHO ST",107,53.5,2,55.47,"C+"
"Kieren Jackson","FL A&M",36,36,1,55.25,"C+"
"Cole Monach","SAN DIEGO",117,58.5,2,55.2,"C+"
"Hank Foley","DRAKE",27,27,1,55.1,"C+"
"Paul Billups II","NORFOLK",106,53,2,55.02,"C+"
"Christopher Hall","SAN DIEGO",41,41,1,54.99,"C+"
"Malik Redd","WAGNER",25,25,1,52.5,"C"
"Devin Downing","SO UTAH",44,44,1,52.48,"C"
"Teree McDonald","WAGNER",69,34.5,2,52.47,"C"
"Bryan Hunt","YNGTOWN ST",73,36.5,2,52.46,"C"
"Stevan Gavric","ILL STATE",26,26,1,52.43,"C"
"Suderian Harrison","E TENN ST",43,43,1,52.36,"C"
"Jordan Rae","ALBANY",89,44.5,2,52.21,"C"
"Nae'Saan Dickerson","GRAMBLING",65,32.5,2,51.99,"C"
"Denver Harper","AUSTINPEAY",29,29,1,51.75,"C"
"Anthony Westervelt","SE MO ST",40,40,1,51.57,"C"
"Ashton Schumann","CHATTNOOGA",110,55,2,51.13,"C"
"Daejawn Smith","SOUTHERN U",53,26.5,2,51,"C"
"Lorenzo Jenkins","YNGTOWN ST",32,32,1,50.96,"C"
"Daniel Haughton","FURMAN",94,47,2,50.78,"C"
"Kevonte Corbin","SAMFORD",56,56,1,50.73,"C"
"Cru Newman","PORTLAND",104,52,2,50.59,"C"
"Ja'Carree Kelly","NEW HAMP",87,43.5,2,50.52,"C"
"Landon Ransom-Goelz","MONTANA",77,38.5,2,50.48,"C"
"Nick Munson","BUTLER",42,42,1,50.4,"C"
"Jimmy Trilla","IDAHO ST",85,42.5,2,50.23,"C"
"Stetson Sarratt","STF AUSTIN",61,61,1,50.17,"C"
"Jack Smith","S DAK ST",100,50,2,50.16,"C"
"Kobe Stewart","BETH COOK",36,36,1,50.12,"C"
"Owen Garwood","BUCKNELL",33,33,1,49.94,"C"
"Deng Deng","N DAKOTA",55,55,1,49.91,"C"
"Ryan Petras","DUQUESNE",71,35.5,2,49.71,"C"
"Quanye Veney","RICHMOND",51,25.5,2,49.7,"C"
"Wyatt Rogers","STETSON",61,61,1,49.56,"C"
"Khylen Harris-Norman","SE MO ST",60,30,2,49.48,"C"
"Jordan Smith","NICHOLLS",87,43.5,2,49.38,"C"
"Terrence Rone","DELWARE ST",125,62.5,2,49.36,"C"
"Tyree Kelly","ALCORN ST",38,38,1,49.36,"C"
"Jalen Smith","LNDNWD",127,63.5,2,49.27,"C"
"Kyree Benton","DELWARE ST",35,35,1,49.25,"C"
"Tysen Boze","S DAKOTA",103,51.5,2,49.24,"C"
"Matt Chandler","NEWHVN",32,32,1,49.18,"C"
