"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Micah Martin","MURRAY ST",58,58,1,71.08,"B"
"Torin Jeske","MONTANA",119,59.5,2,71.07,"B"
"Cooper LaFond","FORDHAM",25,25,1,71.05,"B"
"Success Chikezie","NEWHVN",44,44,1,71.02,"B"
"Zion Sauvao","N COLORADO",140,70,2,70.89,"B"
"Nick Carter","ARKAPB",41,41,1,70.88,"B"
"Kyle Fay","VILLANOVA",58,58,1,70.67,"B"
"Marvin Lee Jr.","ALABAMA ST",75,37.5,2,70.59,"B"
"Andrew Threatt","W CAROLINA",115,57.5,2,70.51,"B"
"Messiah Johnson","IDAHO ST",116,58,2,70.48,"B"
"Jake Utley","S DAKOTA",122,61,2,70.44,"B"
"AJ Hasson","UC DAVIS",99,49.5,2,70.18,"B"
"Takai Wallace","DELWARE ST",144,72,2,70.18,"B"
"Lukas Donahue","MERRIMACK",69,34.5,2,69.98,"B"
"Oscar Solis","GEORGETOWN",33,33,1,69.91,"B"
"Rashad Turner","SE MO ST",148,74,2,69.71,"B"
"Sean Wilson","LAFAYETTE",59,59,1,69.51,"B"
"Bradford Blattner","HOLY CROSS",91,45.5,2,69.43,"B"
"Jacob Katauskas","S ILLINOIS",102,51,2,69.38,"B"
"Michael Muldrow Jr.","ELON",125,62.5,2,69.31,"B"
"Ramier Lewis","TEXAS STHN",141,70.5,2,69.16,"B"
"Connor Johnstone","SAN DIEGO",57,57,1,68.92,"B"
"Jeremiah McCrimmon","CAMPBELL",83,83,1,68.91,"B"
"Chris Therien","VILLANOVA",37,37,1,68.48,"B"
"Gavin Allen","E WASHGTON",147,73.5,2,68.39,"B"
"Secrea Algie","W CAROLINA",95,47.5,2,68.1,"B"
"Wyatt Whalen","BRYANT",105,52.5,2,67.98,"B"
"Gabriel Rzany","E WASHGTON",129,64.5,2,67.97,"B"
"Zane Feltz","SAN DIEGO",57,57,1,67.94,"B"
