"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"LOTZEIR BROOKS","ALABAMA",37,21.5,"D",3,"WR",2026,"SEC",58.1,1,24,1,2,2,23,11.5,0,1,0,0,0,2,0,0,33,16.5,22,0,0.96,-5,1,1,1,0,"0.00%",114.6,0.042,0.083,0,1,"P4",1,11.5,0.0833333333333333
"TYSHAWN RUSSELL","SYRACUSE",21,21.44,"D",8,"WR",2026,"ACC",62.4,4,13,2,4,2,25,12.5,0,1,0,0,0,2,0,0,5,2.5,4,0,1.92,11,1,1,1,0,"0.00%",69.8,0.077,0.308,0,0.5,"P4",0.5,6.25,0.307692307692308
"RICO SCOTT","ALABAMA",60,21.28,"D",7,"WR",2026,"SEC",56,3,33,2,3,2,21,10.5,0,1,0,0,0,2,1,1,0,0,0,1,0.64,12.3,1,0,1,0,"33.30%",86.8,0,0.091,0,0.667,"P4",0.666666666666667,7,0.0909090909090909
"ISIAH CANION","GEORGIA",23,21.02,"D",6,"WR",2026,"SEC",59.7,3,16,1,3,2,22,11,0,1,0,0,0,2,1,0,24,12,14,0,1.38,4,1,1,1,0,"33.30%",88.2,0,0.188,0,0.667,"P4",0.666666666666667,7.33333333333333,0.1875
"TYRELL HENRY","WISCONSIN",43,20.91,"D",0,"WR",2026,"Big Ten",59,4,25,4,7,4,42,10.5,0,1,1,0,0,5,1,0,32,8,8,0,1.68,2.4,2,0,0.8,0.2,"14.30%",74.7,0.24,0.28,0,0.571,"P4",0.571428571428571,6,0.28
"BRANDON WHITE","KANSAS ST",23,20.64,"D",8,"WR",2026,"Big 12",60.4,3,15,1,3,2,20,10,0,2,0,0,0,2,0,0,1,0.5,0,0,1.33,20.7,0,0,1,0,"0.00%",85.4,0.067,0.2,0.333,0.667,"P4",0.666666666666667,6.66666666666667,0.2
"CHAS NIMROD","AUBURN",68,20.51,"D",5,"WR",2026,"SEC",52.2,1,37,3,6,4,41,10.3,0,1,0,0,0,4,0,0,26,6.5,3,0,1.11,12.5,1,0,1,0,"0.00%",46.5,0.135,0.162,0.167,0.667,"P4",0.666666666666667,6.83333333333333,0.162162162162162
"JOSEPH WILLIAMS","COLORADO",70,20.34,"D",8,"WR",2026,"Big 12",57.4,4,26,8,5,2,23,11.5,0,1,0,0,0,2,1,0,5,2.5,3,0,0.88,18.6,1,0,1,0,"20.00%",54.6,0,0.192,0.4,0.4,"P4",0.4,4.6,0.192307692307692
"JAYCE BROWN","LSU",51,20.29,"D",1,"WR",2026,"SEC",52.7,3,27,13,4,2,20,10,0,1,1,0,0,3,1,0,4,2,2,0,0.74,14.3,0,1,0.667,0.333,"25.00%",64.6,0,0.148,0.25,0.5,"P4",0.5,5,0.148148148148148
"HUDSON CLEMENT","ILLINOIS",40,19.98,"F",13,"WR",2026,"Big Ten",58.6,3,22,7,4,3,26,8.7,0,2,1,0,0,4,0,0,5,1.7,2,0,1.18,8.8,0,0,0.75,0.25,"0.00%",91.7,0.045,0.182,0,0.75,"P4",0.75,6.5,0.181818181818182
"GRACEN HARRIS","MISS STATE",25,19.98,"F",0,"WR",2026,"SEC",60.6,1,14,0,2,2,21,10.5,0,1,0,0,0,2,0,0,0,0,0,0,1.5,10.5,0,0,1,0,"0.00%",110.4,0.143,0.143,0,1,"P4",1,10.5,0.142857142857143
"VERNON ALLEN III","RUTGERS",27,19.96,"F",5,"WR",2026,"Big Ten",59.1,1,20,6,1,1,12,12,0,1,0,0,0,1,0,0,0,0,0,0,0.6,12,0,0,1,0,"0.00%",116.7,0,0.05,0,1,"P4",1,12,0.05
"QUAYD HENDRYX","MINNESOTA",25,19.93,"F",89,"WR",2026,"Big Ten",61.3,2,12,3,1,1,13,13,0,1,0,0,0,1,0,0,13,13,3,0,1.08,0,0,0,1,0,"0.00%",118.8,0.083,0.083,0,1,"P4",1,13,0.0833333333333333
"FREDRICK MOORE","MICH STATE",73,19.84,"F",6,"WR",2026,"Big Ten",56,2,36,2,3,3,25,8.3,0,2,0,0,0,3,0,0,4,1.3,4,0,0.69,7,1,0,1,0,"0.00%",101.4,0,0.083,0,1,"P4",1,8.33333333333333,0.0833333333333333
"COOPER PERRY","CAL",31,19.52,"F",10,"WR",2026,"ACC",57.2,4,27,10,4,1,19,19,0,1,0,0,0,1,1,0,7,7,1,0,0.7,11,1,0,1,0,"25.00%",46.9,0.148,0.148,0,0.25,"P4",0.25,4.75,0.148148148148148
"DAMARION FOWLKES","MISSOURI",32,19.39,"F",3,"WR",2026,"SEC",56.4,2,13,1,2,1,18,18,0,1,0,0,0,1,0,0,7,7,1,0,1.38,12,1,0,1,0,"0.00%",81.3,0,0.154,0,0.5,"P4",0.5,9,0.153846153846154
"DREW WAGNER","NWESTERN",41,19.34,"F",19,"WR",2026,"Big Ten",54.5,5,25,3,7,3,43,14.3,0,3,2,0,0,5,0,0,3,1,2,0,1.72,10,2,0,0.6,0.4,"0.00%",63.4,0.28,0.28,0.143,0.429,"P4",0.428571428571429,6.14285714285714,0.28
"EMMETT MOSLEY V","TEXAS",37,19.3,"F",3,"WR",2026,"SEC",62.7,5,24,1,7,3,37,12.3,0,3,1,0,0,4,0,0,13,4.3,9,0,1.54,8,1,2,0.75,0.25,"0.00%",20.2,0.25,0.292,0,0.429,"P4",0.428571428571429,5.28571428571429,0.291666666666667
"ANDREW MARSH","MICHIGAN",45,19.24,"F",3,"WR",2026,"Big Ten",57.7,3,25,2,4,2,15,7.5,0,2,0,0,0,2,0,0,5,2.5,1,0,0.6,23.3,0,1,1,0,"0.00%",59.4,0,0.16,0.5,0.5,"P4",0.5,3.75,0.16
