"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"ELIJAH WASHINGTON-BAKER","SYRACUSE",18,3.83,"F"
"JOSH PHIFER","UCLA",34,2.86,"F"
"CARSON KOLB","OKLA STATE",60,2.19,"F"
"BEN ROTHHAAR","RUTGERS",21,1.41,"F"
"BRAYDEN LOFTIN","UCLA",32,1.33,"F"
"KHAMARI ANDERSON","ARIZONA ST",19,0.91,"F"
"ZACH GRACE","LSU",22,0.88,"F"
"JUDE JAMES","MISSOURI",23,0.88,"F"
"TYLER POWELL","ARIZONA",18,0.84,"F"
"SHANE KING","ARIZONA",28,0.57,"F"
"BENJI GOSNELL","VA TECH",28,0.5,"F"
"TONY LIVINGSTON","BAYLOR",20,0.5,"F"
"JOSH SAPP","W VIRGINIA",27,0.43,"F"
"WILL MONNEY","UTAH",22,0.43,"F"
"JACK VAN DORSELAER","OKLAHOMA",21,0.43,"F"
"CAM BALL","W VIRGINIA",15,0.42,"F"
"RICHIE ANDERSON III","TEXAS A&M",35,0.16,"F"
"CHRISTIAN ABNEY","ILLINOIS",36,0.13,"F"
"THOMAS MEYER","IOWA",30,0.13,"F"
"MAURICE BROWN II","S CAROLINA",19,0.12,"F"
"MAX DRAG","S CAROLINA",26,0.12,"F"
"ARLIS BOARDINGHAM","AUBURN",23,0.11,"F"
"LYVIEL WATERS","CINCINNATI",33,0.11,"F"
"GABE FISHER","VANDERBILT",28,0.09,"F"
"NATE KURISKY","DUKE",44,0.08,"F"
"CHRIS CORBO","GA TECH",29,0.08,"F"
"FINN FURMANEK","PENN STATE",29,0.08,"F"
"ANDREW BARKER","INDIANA",22,0.07,"F"
"GAVIN HOFFMAN","MISSOURI",15,0.05,"F"
"AIDEN BLACK","STANFORD",16,0.05,"F"
"TRAVILLE FREDERICK JR.","HOUSTON",21,0.05,"F"
"BRIAN KORTOVICH","PENN STATE",18,0.05,"F"
"CARTER MOSES","KANSAS",28,0.04,"F"
"MATT LUDWIG","TEXAS TECH",15,0.04,"F"
"FISHER CLEMENTS","COLORADO",50,0.03,"F"
"KEAYEN NEAD","BYU",16,0.03,"F"
"LACOTA DIPPRE","FLORIDA",22,0.03,"F"
"HEZE KENT","FLORIDA",18,0.03,"F"
"BENNETT CHRISTIAN","OHIO STATE",16,0.01,"F"
"JORDON HARRIS","MISSOURI",21,0.01,"F"
"KALEB THOMAS","HOUSTON",21,0,"F"
"JOSH FORD","ALABAMA",19,0,"F"
"TRYNAE WASHINGTON","OKLAHOMA",23,0,"F"
