"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"NATE SHEPPARD","DUKE",54,100,"A"
"KAMARI MOULTON","IOWA",30,85.81,"A"
"JAMAL RULE","NEBRASKA",31,79.22,"B"
"JADAN BAUGH","FLORIDA",25,72.92,"B"
"FAME IJEBOI","PURDUE",29,71.1,"B"
"J.J. HILL","MISS STATE",NA,70.08,"B"
"TYLIK HILL","SYRACUSE",46,67.47,"B"
"CAM COOK","W VIRGINIA",59,65.97,"B"
"DILIN JONES","LSU",55,64.64,"B"
"SHAVANE ANDERSON JR.","SYRACUSE",18,63.5,"B"
"ADAM MOHAMMED","CAL",70,62.58,"B"
"DUKE WATSON","UCF",20,61.92,"B"
"WAYNE KNIGHT","UCLA",27,61.38,"B"
"MARCELLOUS HAWKINS JR.","VA TECH",27,61.12,"B"
"ANTHONY WOODS","UCLA",17,60.29,"B"
"J'KOBY WILLIAMS","TEXAS TECH",31,55.62,"C"
"LANDEN CHAMBERS","UCF",15,55.27,"C"
"DARIUS TAYLOR","MINNESOTA",29,54.83,"C"
"OUSMANE KROMAH","FLORIDA ST",50,53.36,"C"
"MEKHI NELSON","NEBRASKA",28,53.28,"C"
"MAKHI HUGHES","HOUSTON",36,53.07,"C"
"WAYSHAWN PARKER","UTAH",36,52.05,"C"
"CAM EDWARDS","MICH STATE",51,50.93,"C"
"IVERSON HOWARD","MARYLAND",25,50.43,"C"
"TURBO RICHARD","INDIANA",21,50.23,"C"
"JEFFREY OVERTON JR.","VA TECH",24,48.81,"C"
"JA'KOBI JACKSON","OHIO STATE",18,48.21,"C"
"BO JACKSON","OHIO STATE",28,47.72,"C"
"DESEAN BISHOP","TENNESSEE",31,47.17,"C"
"LAMARCUS BELL","UTAH",NA,46.39,"C"
"YASIN WILLIS","KANSAS",26,46.11,"C"
"LLOYD AVANT","OKLAHOMA",25,46.07,"C"
"RODNEY FIELDS JR.","KANSAS ST",35,46.06,"C"
"KYSON BROWN","ARIZONA ST",18,45.4,"C"
"JASON PATTERSON","KENTUCKY",18,45.23,"C"
"TY CLARK III","WAKE",37,45.22,"C"
"KEDRICK REESCANO","ARIZONA",28,44.75,"C"
