"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"JOHNNY DICKSON III","OKLA STATE",91,44.39,"C"
"LAYTH GHANNAM","VA TECH",43,44.31,"C"
"ROB LAPUAHO","ARIZONA ST",44,43.67,"C"
"TREVOR BUHR","PENN STATE",44,43.59,"C"
"LUCAS ALLGEYER","IOWA",28,43.4,"C"
"JUDAH PRUITT","BOSTON COL",78,43.29,"C"
"PAUL MUBENGA","NEBRASKA",73,43.14,"C"
"GUNNER GIVENS","VANDERBILT",27,42.97,"C"
"MALACHI BRELAND","ARKANSAS",88,42.96,"C"
"SIOAPE VATIKANI","CAL",90,42.6,"C"
"JAMARI FREEMAN","MISS STATE",25,42.4,"C"
"LEIGHTON JONES","IOWA",67,42.3,"C"
"EVAN LINK","MICHIGAN",41,42.27,"C"
"WENDELL MOE JR.","TENNESSEE",37,41.49,"C"
"PATRICK KUTAS","OLE MISS",81,40.53,"C"
"BJ WILLIAMS","PITTSBURGH",70,40.44,"C"
"JOE BRUNNER","INDIANA",47,40.15,"C"
"KOBE BRANHAM","ARKANSAS",88,40.06,"C"
"JACOB STRAND","AUBURN",73,39.64,"D"
"JOSH WILLIAMS","STANFORD",70,39.61,"D"
"TREVOR BINDEL","IOWA STATE",32,38.49,"D"
"SHAMURAD UMAROV","TENNESSEE",49,38.05,"D"
"KENDALL STANLEY","PITTSBURGH",70,37.73,"D"
"MAL WALDREP JR.","ALABAMA",44,36.11,"D"
"HUNTER ZAMBRANO","TEXAS TECH",73,35.95,"D"
"WADE HELTON","ARIZONA ST",34,35.11,"D"
"NATE PABST","FLORIDA ST",69,34.73,"D"
"IDRYS COTTON","NWESTERN",56,32.55,"D"
"JACKSON CANTWELL","MIAMI FL",34,32.3,"D"
"ALIOU BAH","LSU",83,31.97,"D"
"COLE SKINNER","AUBURN",73,31.95,"D"
"CONNER MOORE","MICH STATE",88,31.89,"D"
"TRENT FERGUSON","OREGON",30,31.66,"D"
"ELYJAH THURMON","CLEMSON",49,31.06,"D"
"BO BORDELON","LSU",83,30.22,"D"
"CADE MCCONNELL","VANDERBILT",64,29.68,"D"
"WILLIAM SANDERS","ALABAMA",32,29.36,"D"
"ZIRON BROWN","STANFORD",66,27.47,"D"
"ROBERT SMITH IV","BOSTON COL",78,27.35,"D"
"MICHAEL BENNETT III","OREGON",49,26.46,"D"
"NATE KIBBLE","BAYLOR",102,24.83,"D"
"BLAKE CHERRY","WISCONSIN",38,24.54,"D"
"JOHNNIE BROWN III","LOUISVILLE",70,22.38,"D"
"ASHER HALE","BAYLOR",102,17.11,"F"
"DENNIS RAHOUSKI","NWESTERN",56,16.8,"F"
"RONAN O'CONNELL","CLEMSON",49,0,"F"
