"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"ALEX HONIG","NWESTERN",30,48.61,"C",86,"TE",2026,"Big Ten",86.9,2,6,0,3,2,25,12.5,1,2,0,0,0,2,0,0,11,5.5,2,0,4.17,10.3,0,0,1,0,"0.00%",131.9,0.167,0.5,0,0.667,"P4"
"BRADY CLOUGH","BOSTON COL",47,48.51,"C",84,"TE",2026,"ACC",53,5,32,1,7,4,32,8,0,2,0,1,1,4,0,0,12,3,10,0,1,9.1,0,1,1,0,"0.00%",68.8,0.094,0.219,0.143,0.571,"P4"
"ELIJAH LAGG","PITTSBURGH",36,48.21,"C",17,"TE",2026,"ACC",66.4,2,19,0,3,3,23,7.7,1,2,0,0,0,3,1,1,10,3.3,1,1,1.21,5.7,0,0,1,0,"33.30%",138.2,0.053,0.158,0,1,"P4"
"EMAREE WINSTON","TEXAS",28,47.81,"C",85,"TE",2026,"SEC",63.3,2,13,0,2,2,25,12.5,0,1,0,0,0,2,0,0,23,11.5,15,0,1.92,1,1,1,1,0,"0.00%",118.8,0,0.154,0,1,"P4"
"AJ IA","ARIZONA ST",19,47.68,"C",0,"TE",2026,"Big 12",62.7,3,11,2,2,2,19,9.5,1,1,0,0,0,2,1,1,16,8,4,1,1.73,1.5,0,0,1,0,"50.00%",145.8,0.091,0.182,0,1,"P4"
"WALKER LYONS","BYU",33,47.14,"C",7,"TE",2026,"Big 12",54.7,3,15,0,3,2,22,11,0,1,0,0,0,3,2,1,16,8,11,0.5,1.47,3.3,1,1,0.667,0,"66.70%",88.2,0.067,0.2,0,0.667,"P4"
"GARRETT OAKLEY","KANSAS ST",26,47.11,"C",86,"TE",2026,"Big 12",83.6,2,9,0,2,2,40,20,0,2,0,0,0,2,0,0,34,17,6,0,4.44,3,1,0,1,0,"0.00%",118.8,0,0.222,0,1,"P4"
"CADEN PIENING","UCF",28,46.72,"C",18,"TE",2026,"Big 12",85,2,7,1,2,2,30,15,0,2,0,0,0,2,1,1,13,6.5,3,1,4.29,8.5,1,0,1,0,"50.00%",118.8,0,0.286,0,1,"P4"
"GEORGE BURHENN","PURDUE",37,46.34,"C",81,"TE",2026,"Big Ten",75,3,17,0,3,2,43,21.5,0,2,0,0,0,2,1,1,2,1,1,1,2.53,22.7,2,0,1,0,"33.30%",109.7,0,0.176,0.667,0.667,"P4"
"NOAH BENNEE","UTAH",32,45.86,"C",89,"TE",2026,"Big 12",61.3,1,14,3,1,1,35,35,1,1,0,0,0,1,0,0,9,9,0,0,2.5,26,1,0,1,0,"0.00%",158.3,0,0.071,1,1,"P4"
"VINCE BENETTI","IOWA STATE",35,45.49,"C",37,"TE",2026,"Big 12",60.4,1,16,1,2,1,24,24,1,1,0,0,0,1,1,1,2,2,2,1,1.5,15,1,0,1,0,"50.00%",133.3,0.063,0.125,0.5,0.5,"P4"
"CARSON KENT","PITTSBURGH",42,43.85,"C",86,"TE",2026,"ACC",74.2,2,22,0,3,3,36,12,0,1,0,0,0,3,0,0,11,3.7,8,0,1.64,8.3,1,1,1,0,"0.00%",116.7,0,0.136,0,1,"P4"
"ANDREW RAPPLEYEA","PENN STATE",29,43.38,"C",87,"TE",2026,"Big Ten",64.6,2,13,0,1,1,18,18,0,1,0,0,0,1,0,0,16,16,15,0,1.38,2,1,1,1,0,"0.00%",118.8,0,0.077,0,1,"P4"
"CHARLIE WILLIAMS","COLORADO",64,42.06,"C",87,"TE",2026,"Big 12",71.5,5,16,0,3,2,28,14,1,2,0,0,0,2,0,0,8,4,0,0,1.75,11.3,1,0,1,0,"0.00%",136.1,0,0.188,0,0.667,"P4"
"JAYDEN SAVOURY","MICH STATE",39,41.36,"C",31,"TE",2026,"Big Ten",69.3,2,19,0,5,4,36,9,0,0,0,0,0,4,1,0,10,2.5,7,0,1.89,4.8,0,1,1,0,"20.00%",96.7,0.105,0.263,0,0.8,"P4"
"ADDISON OSTRENGA","IOWA",29,40.73,"C",87,"TE",2026,"Big Ten",62.8,3,12,0,3,3,20,6.7,0,1,0,0,0,3,2,2,9,3,3,1,1.67,3.7,0,0,1,0,"66.70%",94.4,0.167,0.25,0,1,"P4"
"JAYVONTAY CONNER","VANDERBILT",28,40.14,"C",8,"TE",2026,"SEC",68.3,3,19,0,5,4,30,7.5,0,2,0,0,0,4,0,0,8,2,3,0,1.58,7.6,0,1,1,0,"0.00%",91.7,0.105,0.263,0,0.8,"P4"
"HUNTER ANDREWS","UTAH",22,38.23,"D",10,"TE",2026,"Big 12",70.5,4,6,0,3,2,14,7,1,2,1,0,0,3,0,0,12,6,1,0,2.33,11.7,0,0,0.667,0.333,"0.00%",116.7,0.167,0.5,0.333,0.667,"P4"
"DECKER DEGRAAF","WASHINGTON",42,37.91,"D",86,"TE",2026,"Big Ten",72.3,3,19,0,5,4,30,7.5,0,3,0,0,0,4,0,0,8,2,1,0,1.58,9,1,0,1,0,"0.00%",91.7,0,0.263,0.2,0.8,"P4"
"ROGER SALEAPAGA II","BYU",32,37.17,"D",2,"TE",2026,"Big 12",71.4,4,15,0,2,2,23,11.5,0,1,0,0,0,2,1,1,10,5,5,1,1.53,6.5,1,0,1,0,"50.00%",114.6,0,0.133,0,1,"P4"
"BROCK SCHOTT","INDIANA",29,37.01,"D",88,"TE",2026,"Big Ten",66.7,1,8,1,1,1,25,25,0,1,0,0,0,1,0,0,7,7,7,0,3.13,18,1,0,1,0,"0.00%",118.8,0,0.125,0,1,"P4"
"BARON NAONE","WASHINGTON",41,36.82,"D",85,"TE",2026,"Big Ten",71.5,2,16,0,4,4,32,8,0,2,0,0,0,4,0,0,11,2.8,2,0,2,5.3,1,0,1,0,"0.00%",100,0.063,0.25,0,1,"P4"
"DAUNTE BACHEYIE","SYRACUSE",17,36.6,"D",19,"TE",2026,"ACC",68.2,1,7,0,3,2,12,6,1,2,0,0,0,2,0,0,1,0.5,1,0,1.71,6.7,0,0,1,0,"0.00%",113.9,0.143,0.429,0,0.667,"P4"
"MARK BOWMAN","USC",45,35.32,"D",19,"TE",2026,"Big Ten",69.3,2,19,1,3,3,30,10,0,2,0,0,0,3,0,0,6,2,3,0,1.58,8,1,0,1,0,"0.00%",108.3,0.053,0.158,0,1,"P4"
"CARSON BRUHN","KANSAS",37,34.09,"D",44,"TE",2026,"Big 12",77.8,2,9,0,2,1,21,21,0,1,0,0,0,1,2,1,3,3,3,0.5,2.33,14.5,1,0,1,0,"100%",87.5,0.111,0.222,0,0.5,"P4"
"HENRY BOYER","KENTUCKY",43,34.06,"D",87,"TE",2026,"SEC",70,1,12,2,1,1,31,31,0,1,0,0,0,1,0,0,13,13,3,0,2.58,18,1,0,1,0,"0.00%",118.8,0,0.083,0,1,"P4"
"WILL ANCIAUX","KANSAS ST",27,33.4,"D",80,"TE",2026,"Big 12",75.8,2,9,0,2,2,19,9.5,0,2,0,0,0,2,1,1,2,1,0,1,2.11,8.5,0,0,1,0,"50.00%",106.3,0.111,0.222,0,1,"P4"
"PRESTON HOWARD","MARYLAND",41,31.64,"D",8,"TE",2026,"Big Ten",56.2,1,22,1,1,1,20,20,0,1,0,0,0,1,0,0,24,24,5,0,0.91,-4,1,1,1,0,"0.00%",118.8,0,0.045,0,1,"P4"
"LUKE LINDENMEYER","NEBRASKA",55,29.82,"D",8,"TE",2026,"Big Ten",67.8,4,19,0,2,2,22,11,0,2,0,0,0,2,0,0,13,6.5,3,0,1.16,4.5,1,0,1,0,"0.00%",112.5,0,0.105,0,1,"P4"
"MAURICE VENEY","VANDERBILT",25,29.82,"D",19,"TE",2026,"SEC",75.2,1,6,0,2,1,20,20,0,1,0,0,0,1,0,0,14,14,3,0,3.33,9,1,0,1,0,"0.00%",85.4,0,0.333,0,0.5,"P4"
"HAWKINS POLLEY","BAYLOR",18,29.3,"D",86,"TE",2026,"Big 12",58.5,2,11,2,3,1,20,20,0,1,0,0,0,1,0,0,8,8,5,0,1.82,10.7,1,0,1,0,"0.00%",57.6,0.273,0.273,0,0.333,"P4"
"BENJAMIN BRAHMER","PENN STATE",25,29.02,"D",18,"TE",2026,"Big Ten",61.3,2,14,3,3,1,8,8,1,1,0,0,0,1,1,0,0,0,0,0,0.57,16,0,0,1,0,"33.30%",81.9,0.071,0.214,0.333,0.333,"P4"
"HAYDEN HANSEN","OKLAHOMA",37,28.25,"D",89,"TE",2026,"SEC",76.8,1,4,2,1,1,15,15,0,1,0,0,0,1,0,0,3,3,2,0,3.75,12,1,0,1,0,"0.00%",118.8,0,0.25,0,1,"P4"
"JAKE JOHNSON","AUBURN",54,28.12,"D",19,"TE",2026,"SEC",67.4,2,23,2,4,3,20,6.7,0,1,0,0,0,3,0,0,9,3,4,0,0.87,3.8,0,0,1,0,"0.00%",85.4,0,0.174,0,0.75,"P4"
"AMIR JACKSON","FLORIDA",25,27.7,"D",7,"TE",2026,"SEC",64.9,1,10,0,1,1,14,14,0,1,0,0,0,1,0,0,12,12,4,0,1.4,2,0,1,1,0,"0.00%",118.8,0,0.1,0,1,"P4"
"JADEN PLATT","ARKANSAS",50,27.48,"D",83,"TE",2026,"SEC",58.5,1,19,0,2,1,10,10,1,1,0,0,0,1,0,0,2,2,0,0,0.53,12.5,0,0,1,0,"0.00%",104.2,0,0.105,0,0.5,"P4"
"TY LOCKWOOD","ARKANSAS",40,27.31,"D",85,"TE",2026,"SEC",66.7,2,20,1,2,2,22,11,0,2,0,0,0,2,0,0,7,3.5,1,0,1.1,7.5,0,0,1,0,"0.00%",112.5,0.1,0.1,0,1,"P4"
"MATT ADCOCK","ARKANSAS",20,27.16,"D",32,"TE",2026,"SEC",88.7,1,1,0,1,1,2,2,1,1,0,0,0,1,0,0,3,3,0,0,2,-1,0,0,1,0,"0.00%",118.8,0,1,0,1,"P4"
"SPENCER SHANNON","TEXAS",25,27.03,"D",83,"TE",2026,"SEC",67.6,2,9,0,1,1,11,11,0,1,0,0,0,1,0,0,8,8,5,0,1.22,3,0,1,1,0,"0.00%",112.5,0,0.111,0,1,"P4"
"LUKE HARPRING","FLORIDA",23,25.83,"D",15,"TE",2026,"SEC",73.3,1,10,1,1,1,23,23,0,1,0,0,0,1,0,0,4,4,0,0,2.3,19,1,0,1,0,"0.00%",118.8,0,0.1,0,1,"P4"
"KALEB EDWARDS","ALABAMA",56,24.51,"D",81,"TE",2026,"SEC",59.3,1,20,1,3,2,21,10.5,0,1,0,0,0,2,0,0,3,1.5,1,0,1.05,12.3,1,0,1,0,"0.00%",86.8,0.05,0.15,0.333,0.667,"P4"
"HARRISON SAINT GERMAIN","VA TECH",18,23.61,"D",87,"TE",2026,"ACC",69.8,1,4,0,1,1,10,10,0,1,0,0,0,1,0,0,9,9,3,0,2.5,1,0,0,1,0,"0.00%",108.3,0.25,0.25,0,1,"P4"
"JALEN HOFFMAN","MICHIGAN",38,23.42,"D",42,"TE",2026,"Big Ten",55.7,2,17,3,3,1,13,13,0,0,0,0,0,2,1,0,8,8,5,0,0.76,6,0,1,0.5,0,"33.30%",8.3,0.176,0.176,0,0.333,"P4"
"LUKE HASZ","OLE MISS",67,22.29,"D",9,"TE",2026,"SEC",51.4,5,26,2,2,1,11,11,0,1,0,0,0,1,0,0,13,13,5,0,0.42,2,0,0,1,0,"0.00%",66.7,0.039,0.077,0,0.5,"P4"
"BRADY HUNT","S CAROLINA",22,22.06,"D",87,"TE",2026,"SEC",77.9,2,10,0,2,2,13,6.5,0,1,0,0,0,2,0,0,2,1,2,0,1.3,8.5,0,0,1,0,"0.00%",93.8,0.1,0.2,0,1,"P4"
"GRANT STEC","WISCONSIN",42,22,"D",85,"TE",2026,"Big Ten",55.7,1,15,1,3,3,20,6.7,0,0,0,0,0,3,0,0,2,0.7,1,0,1.33,6,0,0,1,0,"0.00%",94.4,0.133,0.2,0,1,"P4"
"BRETT NORFLEET","MISSOURI",19,21.77,"D",87,"TE",2026,"SEC",65.2,2,11,1,2,2,13,6.5,0,1,0,0,0,2,0,0,9,4.5,2,0,1.18,2,0,0,1,0,"0.00%",93.8,0.091,0.182,0,1,"P4"
