"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"CHRISTIAN BENTANCUR","CLEMSON",25,5.22,"F",87,"TE",2026,"ACC",55.3,2,13,1,2,1,-3,-3,0,0,0,0,0,1,0,0,1,1,0,0,-0.23,3,0,0,1,0,"0.00%",56.3,0.077,0.154,0,0.5,"P4"
"LANDEN THOMAS","FLORIDA ST",42,5.06,"F",18,"TE",2026,"ACC",52.2,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,"0.00%",39.6,0.1,0.2,0.5,0,"P4"
"THEO MELIN OHRSTROM","SMU",43,5,"F",18,"TE",2026,"ACC",50.8,4,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,"0.00%",39.6,0,0.067,0,0,"P4"
"JANIRAN BONNER","NEBRASKA",22,4.99,"F",4,"TE",2026,"Big Ten",52.7,1,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,"100%",39.6,0.111,0.111,0,0,"P4"
"EMMETT BORK","WISCONSIN",18,4.6,"F",82,"TE",2026,"Big Ten",52.4,1,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,"100%",39.6,0,0.2,0,0,"P4"
"TAIMANE PURCELL","CAL",32,4.58,"F",22,"TE",2026,"ACC",52.5,3,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,"100%",39.6,0,0.111,0,0,"P4"
"MARSHALL PRITCHETT","ALABAMA",34,4.39,"F",9,"TE",2026,"SEC",51.5,1,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,"0.00%",39.6,0.067,0.133,0,0,"P4"
"JAILEN BUTLER","KANSAS",39,4.19,"F",9,"TE",2026,"Big 12",49.7,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,"0.00%",39.6,0,0.077,0,0,"P4"
"JACOB SIMPSON","MINNESOTA",20,4.09,"F",88,"TE",2026,"Big Ten",48.6,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,"0.00%",39.6,0.077,0.077,0,0,"P4"
"KIOTTI ARMSTRONG","TEXAS A&M",19,4,"F",9,"TE",2026,"SEC",52.9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,"0.00%",39.6,0.125,0.125,0,0,"P4"
"ELIJAH WASHINGTON-BAKER","SYRACUSE",18,3.83,"F",84,"TE",2026,"ACC",55.8,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,"100%",39.6,0,0.333,0,0,"P4"
"JOSH PHIFER","UCLA",34,2.86,"F",89,"TE",2026,"Big Ten",53.4,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,"100%",39.6,0,0.2,0,0,"P4"
"CARSON KOLB","OKLA STATE",60,2.19,"F",44,"TE",2026,"Big 12",43.3,2,31,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,1,"0.00%",39.6,0.032,0.065,0,0,"P4"
"BEN ROTHHAAR","RUTGERS",21,1.41,"F",24,"TE",2026,"Big Ten",48.8,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"BRAYDEN LOFTIN","UCLA",32,1.33,"F",85,"TE",2026,"Big Ten",52.8,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"KHAMARI ANDERSON","ARIZONA ST",19,0.91,"F",15,"TE",2026,"Big 12",53.5,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"ZACH GRACE","LSU",22,0.88,"F",44,"TE",2026,"SEC",42.6,1,8,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,9,0,0,0,1,"100%",39.6,0.125,0.125,0,0,"P4"
"JUDE JAMES","MISSOURI",23,0.88,"F",89,"TE",2026,"SEC",53.3,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"TYLER POWELL","ARIZONA",18,0.84,"F",87,"TE",2026,"Big 12",53.7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"SHANE KING","ARIZONA",28,0.57,"F",8,"TE",2026,"Big 12",50.7,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"BENJI GOSNELL","VA TECH",28,0.5,"F",82,"TE",2026,"ACC",51.3,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"TONY LIVINGSTON","BAYLOR",20,0.5,"F",10,"TE",2026,"Big 12",52.7,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"JOSH SAPP","W VIRGINIA",27,0.43,"F",0,"TE",2026,"Big 12",55.6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"WILL MONNEY","UTAH",22,0.43,"F",86,"TE",2026,"Big 12",53.4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"JACK VAN DORSELAER","OKLAHOMA",21,0.43,"F",88,"TE",2026,"SEC",56.3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"CAM BALL","W VIRGINIA",15,0.42,"F",10,"TE",2026,"Big 12",55.9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"RICHIE ANDERSON III","TEXAS A&M",35,0.16,"F",84,"TE",2026,"SEC",48.2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"CHRISTIAN ABNEY","ILLINOIS",36,0.13,"F",86,"TE",2026,"Big Ten",49.6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"THOMAS MEYER","IOWA",30,0.13,"F",85,"TE",2026,"Big Ten",49.9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"MAURICE BROWN II","S CAROLINA",19,0.12,"F",44,"TE",2026,"SEC",51.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"MAX DRAG","S CAROLINA",26,0.12,"F",80,"TE",2026,"SEC",51.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"ARLIS BOARDINGHAM","AUBURN",23,0.11,"F",82,"TE",2026,"SEC",53.6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"LYVIEL WATERS","CINCINNATI",33,0.11,"F",85,"TE",2026,"Big 12",51.9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"GABE FISHER","VANDERBILT",28,0.09,"F",44,"TE",2026,"SEC",50.1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"NATE KURISKY","DUKE",44,0.08,"F",44,"TE",2026,"ACC",52.5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"CHRIS CORBO","GA TECH",29,0.08,"F",17,"TE",2026,"ACC",53.7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"FINN FURMANEK","PENN STATE",29,0.08,"F",89,"TE",2026,"Big Ten",51.9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"ANDREW BARKER","INDIANA",22,0.07,"F",85,"TE",2026,"Big Ten",53.7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"GAVIN HOFFMAN","MISSOURI",15,0.05,"F",88,"TE",2026,"SEC",55.8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"AIDEN BLACK","STANFORD",16,0.05,"F",87,"TE",2026,"ACC",52.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"TRAVILLE FREDERICK JR.","HOUSTON",21,0.05,"F",85,"TE",2026,"Big 12",53.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"BRIAN KORTOVICH","PENN STATE",18,0.05,"F",83,"TE",2026,"Big Ten",53.9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"CARTER MOSES","KANSAS",28,0.04,"F",85,"TE",2026,"Big 12",55.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"MATT LUDWIG","TEXAS TECH",15,0.04,"F",5,"TE",2026,"Big 12",54.7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"FISHER CLEMENTS","COLORADO",50,0.03,"F",89,"TE",2026,"Big 12",56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"KEAYEN NEAD","BYU",16,0.03,"F",45,"TE",2026,"Big 12",53.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"LACOTA DIPPRE","FLORIDA",22,0.03,"F",17,"TE",2026,"SEC",56.4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"HEZE KENT","FLORIDA",18,0.03,"F",86,"TE",2026,"SEC",52.9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"BENNETT CHRISTIAN","OHIO STATE",16,0.01,"F",85,"TE",2026,"Big Ten",56.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"JORDON HARRIS","MISSOURI",21,0.01,"F",86,"TE",2026,"SEC",56.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"KALEB THOMAS","HOUSTON",21,0,"F",19,"TE",2026,"Big 12",59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"JOSH FORD","ALABAMA",19,0,"F",40,"TE",2026,"SEC",59.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
"TRYNAE WASHINGTON","OKLAHOMA",23,0,"F",22,"TE",2026,"SEC",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"P4"
