"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"NATE SHEPPARD","DUKE",20,"HB",2026,"ACC",70.5,22,36,218,6.1,2,10,1,0,14,53,1.5,165,4.6,0,0.278,0.39,9,0.028,"DUKE",20,"ACC",53.6,5,14,0,4,3,19,6.3,0,1,1,0,0,4,0,0,22,7.3,14,0,1.36,-1.5,0,3,"75.00%","25.00%","0.00%",84.4,0,0.286,0,"75.00%","ACC","P4",54,100,"A"
"KAMARI MOULTON","IOWA",28,"HB",2026,"Big Ten",93,11,11,183,16.6,2,7,0,0,5,80,7.3,103,9.4,0,0.636,0.45,7,0.091,"IOWA",28,"Big Ten",53.9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Ten","P4",30,85.81,"A"
"JAMAL RULE","NEBRASKA",25,"HB",2026,"Big Ten",82,10,15,135,9,2,7,0,0,3,19,1.3,116,7.7,0,0.467,0.2,6,0.067,"NEBRASKA",25,"Big Ten",74.8,2,13,0,2,2,47,23.5,1,2,0,0,0,2,0,0,49,24.5,3,0,3.62,-1,2,0,"100%","0.00%","0.00%",158.3,0,0.154,0,"100%","Big Ten","P4",31,79.22,"B"
"JADAN BAUGH","FLORIDA",13,"HB",2026,"SEC",79.7,11,15,140,9.3,3,7,0,0,9,10,0.7,130,8.7,0,0.467,0.6,4,0,"FLORIDA",13,"SEC",55.2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",25,72.92,"B"
"FAME IJEBOI","PURDUE",2,"HB",2026,"Big Ten",95.1,9,11,87,7.9,1,5,0,0,10,22,2,65,5.9,0,0.455,0.91,3,0.182,"PURDUE",2,"Big Ten",76.5,2,12,0,2,2,29,14.5,0,2,0,0,0,2,0,0,38,19,7,0,2.42,-4.5,1,3,"100%","0.00%","0.00%",118.8,0,0.167,0,"100%","Big Ten","P4",29,71.1,"B"
"J.J. HILL","MISS STATE",21,"HB",2026,"SEC",93.7,6,7,118,16.9,2,5,0,0,6,29,4.1,89,12.7,0,0.714,0.86,3,0,"MISS STATE",21,"SEC",58.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",NA,70.08,"B"
"TYLIK HILL","SYRACUSE",20,"HB",2026,"ACC",70.6,10,17,141,8.3,1,8,0,0,7,32,1.9,109,6.4,0,0.471,0.41,7,0.176,"SYRACUSE",20,"ACC",56.4,1,17,0,1,1,5,5,0,0,0,0,0,1,0,0,11,11,10,0,0.29,-6,0,0,"100%","0.00%","0.00%",87.5,0.059,0.059,0,"100%","ACC","P4",46,67.47,"B"
"CAM COOK","W VIRGINIA",4,"HB",2026,"Big 12",63.9,12,30,147,4.9,2,4,1,0,9,36,1.2,111,3.7,0,0.133,0.3,1,0,"W VIRGINIA",4,"Big 12",70.3,1,8,0,2,2,11,5.5,0,1,0,0,0,2,0,0,10,5,4,0,1.38,0.5,0,0,"100%","0.00%","0.00%",89.6,0,0.25,0,"100%","Big 12","P4",59,65.97,"B"
"DILIN JONES","LSU",13,"HB",2026,"SEC",71.9,13,23,113,4.9,2,8,0,0,10,14,0.6,99,4.3,0,0.348,0.43,3,0.217,"LSU",13,"SEC",52.2,1,23,0,1,1,1,1,0,0,0,0,0,1,0,0,5,5,4,0,0.04,-4,0,0,"100%","0.00%","0.00%",79.2,0,0.043,0,"100%","SEC","P4",55,64.64,"B"
"SHAVANE ANDERSON JR.","SYRACUSE",23,"HB",2026,"ACC",82.2,7,10,102,10.2,3,6,0,0,6,21,2.1,81,8.1,0,0.6,0.6,4,0,"SYRACUSE",23,"ACC",56.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","ACC","P4",18,63.5,"B"
