"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"GREG JOHNSON","MINNESOTA",49,100,"A",95.9,0.245,77.8,0.083,0,100,0,0,1,0,0
"AMIR HERRING","KANSAS",51,82.2,"A",68.3,0.137,82.8,0.152,0,100,0,0,0,0,0
"ZACK OWENS","MISSOURI",41,79.45,"B",65.3,0.098,83.6,0.208,0,100,0,0,0,0,0
"TAVAKE TUIKOLOVATU","KANSAS",59,79.44,"B",73.6,0.119,84.4,0.056,0,100,0,0,0,0,0
"KADE PIEPER","IOWA",39,75.39,"B",74,0.128,85,0.235,0,0,0,0,0,0,0
"KHALIEF CANTY JR.","MISSOURI",40,75.02,"B",57.9,0.075,83.3,0.25,0,100,0,0,0,0,0
"CHARLIE ADAMS","KANSAS ST",33,74.84,"B",83.4,0.152,83.3,0.067,0,0,0,0,0,0,0
"MAIKA MATELAU","ILLINOIS",44,74.25,"B",56,0.068,83,0.273,0,100,0,0,0,0,0
"CHRIS VIGNA","RUTGERS",27,73.46,"B",62.6,0.074,82.3,0.167,0,100,0,0,0,0,0
"JAYVON MCFADDEN","COLORADO",78,73.44,"B",61.3,0.064,87.1,0.174,0,100,0,0,0,0,0
"BRADY WAYBURN","UCF",42,72.52,"B",70,0.071,84,0.053,0,100,0,0,0,0,0
"CHAUNCEY GOODEN","COLORADO",67,72.48,"B",62.8,0.075,84.7,0.125,0,100,0,0,0,0,0
"SHADRE HURST","HOUSTON",76,71.13,"B",81.8,0.145,81,0.103,0,0,0,0,1,0,0
"XAVIER LOZOWICKI","CINCINNATI",61,70.82,"B",72.1,0.131,85.8,0.143,0,0,0,0,0,0,0
"SONNY MAKASINI","BYU",45,70.61,"B",70.7,0.111,83.1,0.217,0,0,0,0,0,0,0
"RHINO TAPA'ATOUTAI","ARIZONA",55,68.84,"B",85.9,0.127,79.8,0.05,0,0,0,0,1,0,0
"OWEN SPELL","UCF",39,68.84,"B",56.6,0.051,83.9,0.176,0,100,0,0,0,0,0
"TONY NELSON","MINNESOTA",38,68.66,"B",77.5,0.105,63.6,0,0,100,0,0,1,0,0
"ALEXANDER DOOST","ARIZONA",55,67.29,"B",72.6,0.091,85.3,0.15,0,0,0,0,0,0,0
"TRISTAN WILSON","MISSOURI",38,66.61,"B",61.9,0.026,83.9,0.118,0,100,0,0,0,0,0
"BRANDON HENDERSON","ILLINOIS",39,66.37,"B",63.7,0.051,81.9,0.048,0,100,0,0,0,0,0
"JADEN BALL","MINNESOTA",28,66.29,"B",61.4,0.036,80.2,0.118,0,100,0,0,0,0,0
"RYAN BERGER","WAKE",67,66.25,"B",55.4,0.06,74.5,0.286,0.026,100,0.026,0,0,1,0
"CARTER SWEAZIE","UCLA",34,65.56,"B",77.4,0.118,84.2,0,0,0,0,0,0,0,0
"TYSON RUFFINS","CAL",90,64.56,"B",64.1,0.078,89.3,0.194,0,0,0,0,0,0,0
"SEUSEU ALOFAITULI","MIAMI FL",41,64.29,"B",57.9,0.098,65.6,0.438,0.04,0,0.04,0,0,1,0
"AMARE GRAYSON","W VIRGINIA",76,64.2,"B",77.5,0.145,72.9,0.05,0,0,0,0,1,0,0
"ADDISON NICHOLS","SMU",69,64.17,"B",81,0.101,84,0.035,0,0,0,0,1,0,0
"DREW EVANS","INDIANA",47,63.42,"B",64.9,0.106,83.5,0.133,0,0,0,0,0,0,0
"OLUWAFUNTO AKINSHILO","SYRACUSE",66,63.16,"B",69.4,0.091,85,0.097,0,0,0,0,0,0,0
"GEIREAN HATCHETT","WASHINGTON",41,63.11,"B",75.2,0.098,76.8,0.133,0,0,0,0,1,0,0
"KEITON JONES","KANSAS ST",41,62.15,"B",68.7,0.098,82.5,0.083,0,0,0,0,0,0,0
"EBUBEDIKE NNABUGWU","S CAROLINA",30,62.01,"B",69.4,0.1,77.3,0.1,0,0,0,0,0,0,0
"EVAN TENGESDAHL","CINCINNATI",61,61.76,"B",68.2,0.082,85.8,0.095,0,0,0,0,0,0,0
"KEVIN PEAY JR.","GA TECH",57,61.65,"B",50.4,0.018,86.9,0.143,0,100,0,0,0,0,0
"JULIAN ARMELLA","UCLA",31,61.63,"B",68.8,0.097,82.7,0.071,0,0,0,0,0,0,0
"BYRON WASHINGTON","SYRACUSE",51,61.39,"B",70.4,0.078,83.6,0.083,0,0,0,0,0,0,0
"NOLAN HAY","S CAROLINA",51,61.22,"B",80.6,0.118,73.8,0,0,0,0,0,1,0,0
"JOHN MILLS","WASHINGTON",68,60.87,"B",72.8,0.103,82.4,0.115,0.024,0,0.024,0,0,1,0
"CURTIS PEAGLER","MISSOURI",38,60.47,"B",55.2,0,83.9,0.118,0,100,0,0,0,0,0
"SOLATOA MOEA'I","UTAH",50,60.39,"B",57.2,0.02,85.1,0.04,0,100,0,0,0,0,0
"GABE VANSICKLE","OHIO STATE",43,60.31,"B",60.2,0.047,86,0.235,0,0,0,0,0,0,0
"ZYKIE HELTON","GEORGIA",31,60.06,"B",63.3,0.065,81.3,0.182,0,0,0,0,0,0,0
"JAKE COOK","OHIO STATE",28,59.89,"C",74.8,0.107,59.8,0.083,0,0,0,0,0,0,0
"WILL TOMPKINS","PENN STATE",28,59.51,"C",68.2,0.107,76.9,0.045,0,0,0,0,0,0,0
"KELVIN OBOT","UTAH",46,59.06,"C",53.1,0.022,79.4,0.091,0,100,0,0,0,0,0
"ALEX WOODS","SMU",69,58.33,"C",69.8,0.072,83.9,0.103,0,0,0,0,1,0,0
"NICK SHARPE","MICH STATE",70,58.19,"C",59.6,0.057,86.8,0.167,0,0,0,0,0,0,0
"DYLAN SIKORSKI","TEXAS",33,58.09,"C",66.8,0.061,83.4,0.091,0,0,0,0,0,0,0
"BLAKE IVY","TEXAS A&M",53,58,"C",72.5,0.132,69,0.115,0,0,0.037,1,0,0,0
"DANIEL CALHOUN","GEORGIA",29,57.83,"C",60.6,0.069,83.2,0.143,0,0,0,0,0,0,0
"TJ LOCKHART","MISS STATE",27,57.58,"C",46,0.037,78.8,0.412,0,0,0,0,0,0,0
"ANTHONY ROBSOCK","MARYLAND",26,57.47,"C",64.5,0.077,76.8,0.111,0,0,0,0,0,0,0
"TELLEK LOCKETTE","MARYLAND",30,57.14,"C",62.4,0.067,80.9,0.125,0,0,0,0,0,0,0
"AUSTIN SIEREVELD","OHIO STATE",47,57.13,"C",62.7,0.064,72.6,0.263,0.036,0,0.036,0,0,1,0
"DANTAE CHIN","RUTGERS",37,56.4,"C",55.7,0.027,69,0.125,0,100,0,0,1,0,0
"DELANO TOWNSEND","OLE MISS",76,56.36,"C",57.8,0.04,89.7,0.167,0,0,0,0,0,0,0
"MICAH BANUELOS","PURDUE",57,56.09,"C",50.8,0,80,0.167,0,100,0,0,1,0,0
"JORDAN CHURCH","TEXAS TECH",73,56.06,"C",58.7,0.041,82.2,0.265,0,0,0,0,1,0,0
"LUKE MONTGOMERY","OHIO STATE",47,55.73,"C",64.5,0.064,70.5,0.211,0,0,0,0,1,0,0
"KWABENA ASAMOAH","RUTGERS",64,55.66,"C",60.2,0.047,63.7,0.1,0.023,98.9,0.023,0,0,1,0
"TYLER THOMAS","TEXAS A&M",37,55.64,"C",53.3,0.054,75.3,0.25,0.048,0,0.048,0,0,0,1
"EDDY PIERRE-LOUIS","OKLAHOMA",50,55.6,"C",68.3,0.08,73.6,0.107,0,0,0,0,1,0,0
"COLIN CUBBERLY","WISCONSIN",61,55.14,"C",64.3,0.082,72.4,0.179,0.03,0,0.03,0,0,1,0
"HANK PURVIS","S CAROLINA",33,54.88,"C",72.6,0.091,58.7,0.077,0.05,0,0.05,0,0,1,0
"BROCK BROWNFIELD","PURDUE",52,54.69,"C",58.5,0.039,55.6,0.238,0.032,96.8,0.065,1,0,0,1
"DJ CHESTER","MISS STATE",42,54.68,"C",70.5,0.048,83.2,0,0,0,0,0,0,0,0
"JACK HINES","WAKE",67,54.12,"C",48.7,0.03,69.5,0.286,0,98.7,0.026,1,1,0,0
"COOPER COUSINS","PENN STATE",44,53.92,"C",57.3,0.045,82.9,0.15,0,0,0,0,0,0,0
"LAURENCE SEYMORE III","TEXAS",36,53.91,"C",54.5,0.028,82.8,0.222,0,0,0,0,0,0,0
"ANDRÉ OTTO","FLORIDA ST",69,53.78,"C",67.9,0.087,67.2,0.135,0.031,0,0.031,0,1,0,1
"HEATH OZAETA","OKLAHOMA",40,53.29,"C",61,0.05,81.2,0.091,0,0,0,0,0,0,0
"MONTAVIOUS CUNNINGHAM","VA TECH",42,53.26,"C",67.4,0.071,72.7,0.091,0,0,0,0,1,0,0
"ALANI NOA","USC",52,52.66,"C",60.6,0.039,85.3,0.08,0,0,0,0,0,0,0
"TJ SHANAHAN JR.","FLORIDA",47,52.41,"C",59.5,0.043,85.1,0.08,0,0,0,0,0,0,0
"JORDAN KNOX","KENTUCKY",58,52.41,"C",64.6,0.052,68.7,0.103,0,0,0,0,0,0,0
"RYAN HOWERTON","MARYLAND",55,52.2,"C",59.4,0.036,80.6,0.191,0,0,0,0,1,0,0
"MICHAEL CARROLL","ALABAMA",76,52.11,"C",67,0.053,81.5,0.054,0,0,0,0,1,0,0
