"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"JAKHEEM SHUMPERT-PERKINS","MISS STATE",52,33.4,"D"
"LANCE ROBINSON","LOUISVILLE",70,32.97,"D"
"BRYANT WILLIAMS","ARKANSAS",88,32.8,"D"
"ANDREW SPRAGUE","MICHIGAN",52,32.54,"D"
"WESTON DAVIS","LSU",83,32.14,"D"
"KAHLIL HOUSE","STANFORD",66,32.09,"D"
"TOMMY KINSLER IV","OLE MISS",46,31.9,"D"
"JESSE PERRY","TENNESSEE",53,31.47,"D"
"LOGAN MOORE","BAYLOR",102,31.17,"D"
"VEGUER JEAN-JUMEAU","BOSTON COL",72,31.07,"D"
"RONNELL MCLAIN","HOUSTON",59,30.58,"D"
"JUSTIN TAUANUU","USC",59,30.34,"D"
"PJ WILKINS","WISCONSIN",53,29.65,"D"
"NICK DEL GRANDE","DUKE",74,29.5,"D"
"CARTER LOWE","OHIO STATE",28,29.21,"D"
"ETHAN MACKENNY","GA TECH",57,28.98,"D"
"NETINHO OLIVIERI","PITTSBURGH",70,28.21,"D"
"ORY WILLIAMS","TENNESSEE",48,27.91,"D"
"BRAYDEN JACOBS","CLEMSON",49,27.47,"D"
"ZIYARE ADDISON","OREGON",64,27.37,"D"
"DEONTAE ARMSTRONG","OHIO STATE",28,26.87,"D"
"JORDAN DAVIS","UCLA",53,25.2,"D"
"JO SIMMONS","AUBURN",76,24.18,"D"
"CASON HENRY","LOUISVILLE",70,23.51,"D"
"ANDREW CHAMBLEE","SMU",69,22.53,"D"
"KADEN SIERACKI","BAYLOR",92,21.85,"D"
"RAKEEM JOHNSON","MICH STATE",88,20.44,"D"
"BENNETT WARREN","MINNESOTA",36,17.84,"F"
"CHIMDIA NWAIWU","FLORIDA ST",36,17.5,"F"
"DEUCE MCGUIRE","NWESTERN",56,16.1,"F"
"CARSTEN CASADY","W VIRGINIA",76,14.63,"F"
"KEVIN HEYWOOD","WISCONSIN",61,13.38,"F"
"FISHER ANDERSON","STANFORD",70,5.99,"F"
"EASTON WARE","CLEMSON",49,1.53,"F"
"KRISTIAN PHILLIPS","BOSTON COL",78,0,"F"
