"Name","Team","SNAPS","Composite_Score","Player_Grade"
"ASHTON BEERS","MINNESOTA",49,100,"A"
"DOMINICK GIUDICE","MISSOURI",38,90.13,"A"
"KASEN CARPENTER","KANSAS",59,88.82,"A"
"COLIN SORENSEN","MISSOURI",41,83.03,"A"
"RYAN RODRIGUEZ","MIAMI FL",56,82.26,"A"
"BRUCE MITCHELL","BYU",45,80.31,"A"
"WILL WAY","WAKE",43,74.14,"B"
"TOMMY RICARD","VA TECH",39,73.87,"B"
"JAKE RENFRO","ILLINOIS",44,73.25,"B"
"SEAN KINNEY","COLORADO",34,70.03,"B"
"CANON BOONE","MISS STATE",51,69.72,"B"
"ZACH HENNING","ARIZONA",55,66.57,"B"
"CALEB NITTA","OKLAHOMA",31,66.21,"B"
"DEMETRIUS HUNTER","COLORADO",44,66.09,"B"
"MICHAEL HERSHEY","MARYLAND",55,65.82,"B"
"BRADEN SMITH","IOWA STATE",49,63.09,"B"
"MATT CRAYCRAFT","DUKE",79,61.04,"B"
"ISAIAH KEMA","UTAH",31,60.46,"B"
"ANTHONY BOSWELL","HOUSTON",75,60.19,"B"
"BROCK RIKER","PENN STATE",56,59.78,"C"
"RILEY ROBELL","UCLA",57,58.76,"C"
"TRENT FRALEY","MICH STATE",88,58.71,"C"
"KYLE ALTUNER","VA TECH",38,57.13,"C"
"MARK NABOU JR.","TEXAS A&M",73,57.04,"C"
"WES KING","W VIRGINIA",76,56.52,"C"
"TANA ALO-TUPUOLA","ARIZONA ST",45,56.52,"C"
"BRADYN WELCH-JOINER","FLORIDA ST",69,50.39,"C"
"JAMESON RIGGS","GA TECH",57,50.22,"C"
"BOAZ STANLEY","PURDUE",57,50.11,"C"
"JOSHUA BATES","SMU",69,47.85,"C"
"SHERIDAN WILSON","TEXAS TECH",73,47.57,"C"
"NOAH BEST","OKLAHOMA",42,46.67,"C"
"JOE CRUZ","SYRACUSE",41,46.29,"C"
"COLETON PRICE","KENTUCKY",58,45.72,"C"
"DYLAN VILLAROUEL","KANSAS ST",47,43.51,"C"
"JUSTIN EVANS","NEBRASKA",74,43.46,"C"
"CONNOR ROBERTSON","TEXAS",55,42.34,"C"
"BRAELIN MOORE","LSU",69,40.95,"C"
"NIC MOORE","TENNESSEE",62,40.91,"C"
"HARRISON MOORE","FLORIDA",58,40.72,"C"
"CAEL WINTER","IOWA",53,40.43,"C"
"CARSON HINZMAN","OHIO STATE",47,40.12,"C"
"EVAN WIBBERLEY","LOUISVILLE",70,39.28,"D"
"ALEX HARRISON","UTAH",45,39.11,"D"
"BRAY LYNCH","INDIANA",47,38.51,"D"
"JAKE GUARNERA","MICHIGAN",52,37.61,"D"
"TYLER MERCER","OKLA STATE",91,36.64,"D"
"LYNDON COOPER","VANDERBILT",64,36.14,"D"
"ASHTON RIVERA","CAL",35,33.05,"D"
"AUSTIN KAWECKI","WISCONSIN",61,31.54,"D"
"JACKSON CARSELLO","NWESTERN",34,28.71,"D"
"BRYCEN SANDERS","OLE MISS",81,27.49,"D"
"TARAN TYO","CINCINNATI",61,27.17,"D"
"CONNOR MEADOWS","UCF",42,27.09,"D"
"CHARLIE HOITINK","STANFORD",70,26.71,"D"
"PAUL BOWLING","FLORIDA ST",33,25.66,"D"
"BASTIAN SWINNEY","CAL",55,24.7,"D"
"CADEN KITLER","ARKANSAS",88,21.39,"D"
"RYAN CARRETTA","PITTSBURGH",70,20.46,"D"
"CARTER MILLER","S CAROLINA",43,18.67,"F"
"KOLT DIETERICH","WASHINGTON",68,18.65,"F"
"RACIN DELGATTY","ALABAMA",76,18.09,"F"
"IAPANI LALOULU","OREGON",64,18.09,"F"
"KOLTIN SIERACKI","BAYLOR",102,14.96,"F"
"TOBIAS RAYMOND","USC",52,13.76,"F"
"MICHAEL CROUNSE","BOSTON COL",47,13.35,"F"
"HARRIS SEWELL","CLEMSON",49,11.4,"F"
"TERRENCE SALAMI","RUTGERS",64,8.79,"F"
"DJ WILLIAMS","BOSTON COL",31,3.62,"F"
"COLE BEST","AUBURN",76,0,"F"
