"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"COY EAKIN","TEXAS TECH",115,38.3333333333333,3,44.5,"C-"
"CENSERE LEE","PITTSBURGH",133,44.3333333333333,3,44.28,"C-"
"AYDEN GREENE","VA TECH",90,30,3,44.25,"C-"
"CHAUNCEY MAGWOOD","PURDUE",125,41.6666666666667,3,44.09,"C-"
"DAYLYN UPSHAW","MIAMI FL",61,30.5,2,43.69,"C-"
"EUGENE WILSON III","LSU",197,65.6666666666667,3,43.58,"C-"
"OMARION MILLER","ARIZONA ST",139,46.3333333333333,3,43.42,"C-"
"CHRIS LAWSON","WASHINGTON",150,50,3,43.19,"C-"
"RADARIOUS JACKSON","TENNESSEE",88,29.3333333333333,3,43.05,"C-"
"JALEN COOPER","SMU",100,50,2,42.85,"C-"
"JORDAN CLAY","WASHINGTON",38,19,2,42.84,"C-"
"NYCK HARBOR","S CAROLINA",126,42,3,42.78,"C-"
"BRIAN ROWE JR.","UCLA",144,48,3,42.6,"C-"
"JALEN SMITH","MINNESOTA",112,37.3333333333333,3,42.38,"C-"
"KAM SHANKS","WAKE",62,20.6666666666667,3,42.35,"C-"
"JOSHUA MOORE","MIAMI FL",61,30.5,2,42.27,"C-"
"MILES COLEMAN","OKLA STATE",131,43.6666666666667,3,41.63,"C-"
"JACK FOLEY","WAKE",108,36,3,41.51,"C-"
"CHRIS HUNTER III","ARIZONA",117,39,3,41.37,"C-"
"DAVION BROWN","VA TECH",104,34.6666666666667,3,41.16,"C-"
"ZACHARYUS WILLIAMS","USC",63,31.5,2,41.13,"C-"
"JORDAN ALLEN","GA TECH",124,41.3333333333333,3,41.1,"C-"
"EMMETT MOSLEY V","TEXAS",121,40.3333333333333,3,40.79,"C-"
"MALIK KNIGHT","PITTSBURGH",88,44,2,40.76,"C-"
"TREYSHUN HURRY","LOUISVILLE",201,67,3,40.67,"C-"
"BRYANT WESCO JR.","CLEMSON",145,48.3333333333333,3,40.32,"C-"
"JACKSON HARRIS","LSU",143,47.6666666666667,3,40.27,"C-"
"BRETT ESKILDSEN","PENN STATE",88,29.3333333333333,3,40.25,"C-"
"DAWSON POUGH","BOSTON COL",131,43.6666666666667,3,40.24,"C-"
"TYLER BROWN","CLEMSON",102,34,3,39.8,"D+"
"CREED WHITTEMORE","UTAH",65,21.6666666666667,3,39.37,"D+"
"BEN BLACK III","RUTGERS",111,37,3,39.01,"D+"
"RICKY JOHNSON","UTAH",129,43,3,38.91,"D+"
"JOSH DERRY","UCF",109,36.3333333333333,3,38.84,"D+"
"RIC'DARIOUS FARMER","UCF",45,22.5,2,38.57,"D+"
"TRISTEN BROWN","VANDERBILT",148,49.3333333333333,3,38.16,"D+"
"TRENT WALKER","HOUSTON",147,49,3,37.89,"D+"
"DJ MILLER","KENTUCKY",120,40,3,37.52,"D+"
"JOURDIN HOUSTON","RUTGERS",128,42.6666666666667,3,37.27,"D+"
"BRAYDEN TRIMBLE","ILLINOIS",78,26,3,37.2,"D+"
"DRE'LON MILLER","BAYLOR",32,16,2,36.98,"D+"
"TYLER MORRIS","INDIANA",63,31.5,2,36.55,"D+"
"ISMAEL CISSE","ARKANSAS",93,31,3,36.25,"D+"
"NYZIAH HUNTER","NEBRASKA",117,39,3,35.99,"D+"
"MALACHI HENRY","CINCINNATI",119,39.6666666666667,3,32.28,"D"
"DONOVAN MURPH","S CAROLINA",45,22.5,2,32.14,"D"
"DJ BLACK","S CAROLINA",56,28,2,31.82,"D"
"FREDRICK MOORE","MICH STATE",183,61,3,31.6,"D"
"DE'NYLON MORRISSETTE","PURDUE",92,30.6666666666667,3,31.03,"D"
"JORDAN KING","CAL",85,28.3333333333333,3,30.98,"D"
"BAILEY STOCKTON","FLORIDA",52,26,2,30.65,"D"
"VERNON ALLEN III","RUTGERS",86,28.6666666666667,3,30.64,"D"
"KEATON KUBECKA","KANSAS",136,45.3333333333333,3,30.21,"D"
"CHRISHON MCCRAY","MICH STATE",165,55,3,30.16,"D"
"ISIAH CANION","GEORGIA",46,23,2,29.92,"D"
"TYSEER DENMARK","VA TECH",53,17.6666666666667,3,29.92,"D"
"RICKY AHUMARAEZE","NWESTERN",54,27,2,29.88,"D"
"TYSHAWN RUSSELL","SYRACUSE",47,23.5,2,29.87,"D"
"MAZEO BENNETT JR.","S CAROLINA",117,39,3,29.82,"D"
"CJ BROWN","ARKANSAS",136,45.3333333333333,3,29.81,"D"
"TANOOK HINES","USC",94,31.3333333333333,3,29.65,"D"
"DREW WAGNER","NWESTERN",88,44,2,29.61,"D"
"ZION ROBINSON","STANFORD",71,35.5,2,28.98,"D"
"ISAIAH JOHNSON","CINCINNATI",94,31.3333333333333,3,28.83,"D"
"EUGENE HILTON JR.","WISCONSIN",60,30,2,28.72,"D"
"JOJO PHILLIPS","BYU",96,32,3,28.71,"D"
"BRANDON WHITE","KANSAS ST",70,23.3333333333333,3,28.54,"D"
"DRAYDEN DICKMANN","WAKE",65,32.5,2,28.46,"D"
"NITRO TUGGLE","S CAROLINA",61,30.5,2,28.42,"D"
"JAYCE BROWN","LSU",125,41.6666666666667,3,27.78,"D"
"MICAH HUDSON","TEXAS TECH",137,45.6666666666667,3,27.69,"D"
"JAMARI HAWKINS","ARKANSAS",80,26.6666666666667,3,27.4,"D"
"JAVARIUS GREEN","BOSTON COL",130,43.3333333333333,3,27.29,"D"
"NAESHAUN MONTGOMERY","MISSOURI",148,49.3333333333333,3,27.14,"D"
"JOHN NEIDER","W VIRGINIA",125,62.5,2,26.69,"D"
"JONANTHONY HALL","STANFORD",53,26.5,2,26.61,"D-"
"GIYAHNI KONTOSIS","CINCINNATI",34,17,2,26.04,"D-"
"JALEN MOSS","ARIZONA ST",84,28,3,25.9,"D-"
"JORDAN ONOVUGHE","STANFORD",55,27.5,2,25.85,"D-"
"EVAN JAMES","IOWA",79,26.3333333333333,3,25.59,"D-"
"COLE WEAVER","SYRACUSE",96,32,3,25.46,"D-"
"JARED RICHARDSON","DUKE",156,52,3,25.32,"D-"
"ISAIAH FUHRMANN","GA TECH",100,33.3333333333333,3,23.85,"D-"
"DARIUS JOHNSON","SYRACUSE",94,31.3333333333333,3,23.6,"D-"
"JOHNTAY COOK II","OLE MISS",61,30.5,2,20.75,"D-"
"NIC ANDERSON","KENTUCKY",111,37,3,20.35,"D-"
"MICAH MAYS JR.","FLORIDA",52,26,2,20.16,"D-"
"ELIJAH THOMAS","OKLAHOMA",55,27.5,2,19.92,"F"
"JA'CORY THOMAS","VANDERBILT",41,20.5,2,19.8,"F"
"JAYDEN MOORE","DUKE",66,33,2,19.61,"F"
"TONY KINSLER","PITTSBURGH",87,29,3,19.36,"F"
"JAEDN SKEETE","BOSTON COL",87,43.5,2,18.22,"F"
"THOMAS BLACKSHEAR","GEORGIA",58,29,2,17.89,"F"
"ATTICUS JOSEPH","STANFORD",43,21.5,2,17.34,"F"
"CALEB GOODIE SR.","MISSOURI",68,34,2,16.47,"F"
"DYZIER CARTER","RUTGERS",39,19.5,2,16.19,"F"
"MARLION JACKSON","VA TECH",61,30.5,2,15.78,"F"
"RAIDEN VINES-BRIGHT","ARIZONA ST",109,36.3333333333333,3,15.71,"F"
"SHAMAR RIGBY","WISCONSIN",42,21,2,6.81,"F"
