"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"MATT LUDWIG","TEXAS TECH",48,16,3,25.22,"D-"
"CHICO HOLT","STANFORD",41,20.5,2,25.15,"D-"
"BROCK SCHOTT","INDIANA",82,27.3333333333333,3,25.1,"D-"
"LOGAN BLAKE","RUTGERS",129,43,3,24.82,"D-"
"OLSEN PATT-HENRY","CLEMSON",104,34.6666666666667,3,24.68,"D-"
"TAIMANE PURCELL","CAL",89,29.6666666666667,3,24.68,"D-"
"ELYISS WILLIAMS","GEORGIA",37,18.5,2,23.92,"D-"
"LINKON CURE","KANSAS ST",94,31.3333333333333,3,23.61,"D-"
"AR'MARI TOWNS","PURDUE",36,18,2,23.48,"D-"
"KHAMARI ANDERSON","ARIZONA ST",38,19,2,23.09,"D-"
"MICHAEL SMITH","OLE MISS",25,12.5,2,22.51,"D-"
"LANDEN THOMAS","FLORIDA ST",80,40,2,22.37,"D-"
"MAURICE VENEY","VANDERBILT",63,21,3,22.02,"D-"
"JAILEN BUTLER","KANSAS",150,50,3,21.16,"D-"
"JAKE TAYLOR","DUKE",81,27,3,20.64,"D-"
"CHRIS CORBO","GA TECH",92,30.6666666666667,3,20.37,"D-"
"MATTHEW KLOPFENSTEIN","BAYLOR",171,57,3,19.86,"F"
"MAURICE BROWN II","S CAROLINA",65,21.6666666666667,3,19.7,"F"
"ARLIS BOARDINGHAM","AUBURN",63,21,3,19.58,"F"
"EMMETT BORK","WISCONSIN",65,21.6666666666667,3,19.2,"F"
"SHANE KING","ARIZONA",73,24.3333333333333,3,19.18,"F"
"BRAYDEN LOFTIN","UCLA",124,41.3333333333333,3,19.1,"F"
"KEAYEN NEAD","BYU",44,22,2,18.5,"F"
"DESIRRIO RILES","FLORIDA ST",74,37,2,18.26,"F"
"RILEY WILLIAMS","MISS STATE",53,17.6666666666667,3,18.26,"F"
"NICK TOWNSEND","TEXAS",58,29,2,18.17,"F"
"KADEN FEAGIN","ILLINOIS",35,17.5,2,18.16,"F"
"NOAH MEYERS","SYRACUSE",38,19,2,18.14,"F"
"BRODY FOLEY","LOUISVILLE",57,19,3,17.96,"F"
"FINN FURMANEK","PENN STATE",75,25,3,17.71,"F"
"BENJI GOSNELL","VA TECH",85,28.3333333333333,3,17.54,"F"
