"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Noah Kjar","WEBER ST",147,73.5,2,90.84,"A"
"Galen Combs","ROB MORRIS",86,43,2,89.6,"A"
"Lynn Wyche-El","YNGTOWN ST",132,44,3,83.3,"A-"
"Samuel Gbatu Jr.","UC DAVIS",147,49,3,83.18,"A-"
"Brooks Davis","MONTANA",156,52,3,82.49,"A-"
"Matt Fogler","COLGATE",192,64,3,81.94,"A-"
"Aaron Enterline","TOWSON",163,54.3333333333333,3,81.33,"A-"
"Dkhai Joseph","SE LA",79,39.5,2,80.47,"A-"
"Marquis Willis","TARLETON",171,57,3,76.97,"B+"
"Elisha Edwards","MCNEESE",98,49,2,76.63,"B+"
"Xavier Johnson","N ALABAMA",156,52,3,76.56,"B+"
"Tra Neal","MONMOUTH",186,62,3,75.34,"B+"
"Anthony Ice","MOREHEAD",67,33.5,2,74.96,"B+"
"Curtis Deville","MCNEESE",102,51,2,72.96,"B"
"Sam Milligan","BUCKNELL",106,53,2,72.41,"B"
"Marquis Buchanan","RHODE ISLD",176,58.6666666666667,3,72.28,"B"
"Jai Boyd","W CAROLINA",138,46,3,70.08,"B"
"Tennel Bryant","S DAKOTA",85,28.3333333333333,3,69.03,"B"
"Sean Wilson Jr.","BRYANT",94,47,2,68.72,"B"
"Bugs Mortimer","STF AUSTIN",73,36.5,2,68.51,"B"
"Dylan Lord","ILL STATE",168,56,3,68.36,"B"
"Cristian Driver","ABILENE CH",97,48.5,2,68.23,"B"
"Jaydon Smith","TXRG",90,45,2,67.9,"B"
"Fidel Pitts","CAL POLY",177,59,3,67.8,"B"
"Tayvion McCoy","CAL POLY",178,59.3333333333333,3,67.69,"B"
"Kory Jones","GARD-WEBB",234,78,3,67.4,"B"
"Bryce Parker","TARLETON",49,24.5,2,66.75,"B"
"Seth Sweitzer","STNY BROOK",185,61.6666666666667,3,66.55,"B-"
"Spencer Jones","CAMPBELL",105,52.5,2,65.88,"B-"
"Landon Farco","STETSON",120,60,2,65.64,"B-"
"Khylil Johnson","WM & MARY",50,25,2,64.84,"B-"
"Terence Loville","PORTLAND",168,56,3,64.78,"B-"
"Chedon James","IDAHO ST",95,47.5,2,64.75,"B-"
"Kymari Gray","CHISTA",139,46.3333333333333,3,64.74,"B-"
"Robert Young","WEBER ST",103,51.5,2,64.09,"B-"
"Trey Olsen","N COLORADO",112,56,2,63.96,"B-"
"Gavin Nelson","MONMOUTH",199,66.3333333333333,3,63.48,"B-"
"Chris Gundy","VALPO",83,41.5,2,63.22,"B-"
"Kyle Thomas","S ILLINOIS",193,64.3333333333333,3,63.11,"B-"
"Micah Simpson","TXAMEA",135,45,3,63.07,"B-"
"Jordan Bride","GRAMBLING",63,31.5,2,62.91,"B-"
"Grahm Goering","S DAK ST",136,68,2,62.79,"B-"
"Taco Dowler","MONTANA ST",125,41.6666666666667,3,62.62,"B-"
