"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Tylan Hines","TARLETON",57,100,"A"
"Floyd Chalk","SO UTAH",49,90.44,"A"
"Chase Bingmon","PRVIEW A&M",30,88.25,"A"
"Gavin Garcia","CITADEL",58,86.06,"A"
"Matteo Perez","UC DAVIS",29,81.89,"A"
"Trey Holly","SOUTHERN U",47,81.22,"A"
"Tommy Ansley","TENN MARTN",34,80.22,"A"
"Mason Pickett-Hicks","SCAR STATE",26,79.97,"B"
"Luke Yoder","LEHIGH",28,79.18,"B"
"Eli Gillman","MONTANA",49,72.11,"B"
"Andrew King","WM & MARY",36,69.04,"B"
"Zaon Laney","NEWHVN",44,68.32,"B"
"Isaiah Davis","FURMAN",14,68.31,"B"
"Chandler Chapman","S ILLINOIS",48,67.76,"B"
"Kamerin McDowell-Moore","ELON",32,65.59,"B"
"Chuck Webb","SACR HEART",47,64.21,"B"
"Jamarion Parker","GRAMBLING",10,63.76,"B"
"Adam Jones","MONTANA ST",33,62.89,"B"
"Aidan Mayfield","LEHIGH",27,62.52,"B"
"Devon Caldwell","MERCER",15,61.99,"B"
"TJ Peyton","E TENN ST",23,61.74,"B"
"Jared Rhodes","LNDNWD",46,61.28,"B"
"Spencer Ferguson","WEBER ST",70,60.75,"B"
"Troy Bruce","ALAB A&M",NA,59.22,"C"
"Jaylen Jenkins","STF AUSTIN",29,58.76,"C"
"Gerald Modest Jr.","WOFFORD",40,58.59,"C"
"CJ Hester","STNY BROOK",48,54.69,"C"
"Jayden Jenkins","DELWARE ST",51,54.63,"C"
"Danny Shaban","COLGATE",40,54.21,"C"
"Athean Renfro Jr.","TEXAS STHN",43,53.55,"C"
"JJ Cowan","CAMPBELL",29,51.74,"C"
"Victor Dawson","ILL STATE",47,51.66,"C"
"Brady Hensley","E KENTUCKY",13,50.01,"C"
"Josiah Johnson","S DAK ST",47,49.51,"C"
"Kenny Smith Jr.","MONMOUTH",32,49.37,"C"
"Misa Paiau","CAL POLY",31,49.33,"C"
"Aidan Garrett","STHLSK",35,48.17,"C"
"Jaden Green","CAL POLY",29,47.64,"C"
"Alex Broome","ABILENE CH",33,47.59,"C"
"Za'Marion Webber","ARKAPB",10,47.04,"C"
"Preston Alford","STF AUSTIN",12,46.78,"C"
"Shane Eason","STHLSK",29,46.49,"C"
"Delon Thompson","PORTLAND",71,45.65,"C"
"Elijah Jennings","MONMOUTH",33,45.57,"C"
"Billy Roberson II","HOWARD",23,45.44,"C"
"Jordan Fisher","UC DAVIS",29,45.39,"C"
"Charles Pierre Jr.","S DAKOTA",38,44.73,"C"
"Champ Dozier","HOUCHR",21,44.62,"C"
"Broderick Taylor","TXRG",10,44.2,"C"
"Charles Langama","N DAKOTA",NA,44.18,"C"
"Ri'Jon Hammond","TEXAS STHN",12,43.19,"C"
"Marquez Davis","MCNEESE",15,42.9,"C"
"Hutch Swilley","MCNEESE",16,42.69,"C"
"Sebastien Boyle","CITADEL",33,42.65,"C"
"Isaiah Daniel","BETH COOK",13,42.63,"C"
"Matt Morad","WAGNER",37,42.23,"C"
"Michael Cadden","BUCKNELL",43,42.18,"C"
"Tyrell Campbell","MURRAY ST",21,42.15,"C"
"Cortez Stone","E KENTUCKY",21,42.14,"C"
"Myles Thomason","NEW HAMP",33,41.11,"C"
"Travis Kerney","HOWARD",33,41.09,"C"
"Sekou Kamau","WAGNER",33,40.81,"C"
"Journey Wyche","CHATTNOOGA",25,40.76,"C"
