"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Tylan Hines","TARLETON",57,100,"A",1,"HB",2026,"United Athletic",73.6,13,26,243,9.3,0,7,1,1,5,133,5.1,110,4.2,0,0.269,0.19,3,0.231,"TARLETON",1,"United Athletic",54.5,4,23,0,4,2,47,23.5,0,1,1,0,0,3,1,0,47,23.5,34,0,2.04,1.8,1,0,"66.70%","33.30%","25.00%",92.7,0.043,0.174,0,"50.00%","United Athletic","FCS"
"Floyd Chalk","SO UTAH",49,90.44,"A",3,"HB",2026,"Big Sky",64.1,14,24,183,7.6,3,9,0,0,6,124,5.2,59,2.5,0,0.375,0.25,6,0.25,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big Sky","FCS"
"Chase Bingmon","PRVIEW A&M",30,88.25,"A",20,"HB",2026,"SWAC",66.5,8,10,76,7.6,1,4,0,0,7,36,3.6,40,4,0,0.4,0.7,4,0,"PRVIEW A&M",20,"SWAC",74.1,4,16,0,5,5,80,16,1,1,0,0,0,5,0,0,73,14.6,11,0,5,1.4,2,2,"100%","0.00%","0.00%",158.3,0.063,0.313,0,"100%","SWAC","FCS"
"Gavin Garcia","CITADEL",58,86.06,"A",5,"HB",2026,"Southern",76.5,13,21,137,6.5,3,7,0,0,11,5,0.2,132,6.3,0,0.333,0.52,4,0.048,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Matteo Perez","UC DAVIS",29,81.89,"A",19,"HB",2026,"Big Sky",87.3,5,10,123,12.3,1,3,0,0,9,4,0.4,119,11.9,0,0.3,0.9,2,0.3,"UC DAVIS",19,"Big Sky",52.6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Big Sky","FCS"
"Trey Holly","SOUTHERN U",47,81.22,"A",6,"HB",2026,"SWAC",73,11,21,99,4.7,2,5,0,0,9,32,1.5,67,3.2,0,0.238,0.43,5,0,"SOUTHERN U",6,"SWAC",66.2,2,16,0,3,2,21,10.5,0,1,0,0,0,2,0,0,19,9.5,1,0,1.31,4.3,1,0,"100%","0.00%","0.00%",86.8,0,0.188,0,"66.70%","SWAC","FCS"
"Tommy Ansley","TENN MARTN",34,80.22,"A",39,"HB",2026,"Big South - OVC Football Association",77.2,11,17,123,7.2,3,9,0,0,8,43,2.5,80,4.7,0,0.529,0.47,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Big South - OVC Football Association","FCS"
"Mason Pickett-Hicks","SCAR STATE",26,79.97,"B",1,"HB",2026,"MEAC",80.1,11,18,211,11.7,2,6,0,0,1,140,7.8,71,3.9,0,0.333,0.06,5,0.056,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Luke Yoder","LEHIGH",28,79.18,"B",6,"HB",2026,"Patriot",68.7,11,17,120,7.1,3,7,1,1,8,4,0.2,116,6.8,0,0.412,0.47,5,0.118,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Eli Gillman","MONTANA",49,72.11,"B",10,"HB",2026,"Big Sky",41.9,0,20,108,5.4,3,11,0,0,0,53,2.6,63,3.1,0,0.55,0,5,0,"MONTANA",10,"Big Sky",57.5,0,22,0,3,2,6,3,1,1,0,0,0,0,0,0,9,4.5,1,0,0.27,-1.7,0,0,"0.00%","0.00%","0.00%",109.7,0,0.136,0,"66.70%","Big Sky","FCS"
"Andrew King","WM & MARY",36,69.04,"B",8,"HB",2026,"Patriot",76.8,7,16,68,4.3,2,4,0,0,9,21,1.3,47,2.9,0,0.25,0.56,3,0,"WM & MARY",8,"Patriot",56.9,0,16,0,1,1,6,6,0,0,0,0,0,1,0,0,11,11,3,0,0.38,-5,0,1,"100%","0.00%","0.00%",91.7,0,0.063,0,"100%","Patriot","FCS"
"Zaon Laney","NEWHVN",44,68.32,"B",2,"HB",2026,"Northeast",79.1,10,16,105,6.6,0,4,0,0,5,68,4.3,37,2.3,0,0.25,0.31,3,0.25,"NEWHVN",2,"Northeast",68.3,1,22,0,5,4,20,5,0,1,0,0,0,4,0,0,20,5,2,0,0.91,-0.4,0,0,"100%","0.00%","0.00%",83.3,0,0.227,0,"80.00%","Northeast","FCS"
"Isaiah Davis","FURMAN",14,68.31,"B",26,"HB",2026,"Southern",86.5,5,9,116,12.9,1,4,0,0,5,54,6,62,6.9,0,0.444,0.56,4,0.111,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Chandler Chapman","S ILLINOIS",48,67.76,"B",8,"HB",2026,"Missouri Valley",76.5,13,24,133,5.5,0,7,0,0,7,37,1.5,96,4,0,0.292,0.29,4,0.208,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Kamerin McDowell-Moore","ELON",32,65.59,"B",22,"HB",2026,"CAA",86.9,11,14,97,6.9,2,5,0,0,7,26,1.9,71,5.1,0,0.357,0.5,2,0.071,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"CAA","FCS"
"Chuck Webb","SACR HEART",47,64.21,"B",2,"HB",2026,"CAA",67.5,9,20,81,4,0,6,0,0,7,10,0.5,71,3.5,0,0.3,0.35,3,0,"SACR HEART",2,"CAA",60.5,1,17,0,1,1,13,13,0,1,0,0,0,1,0,0,8,8,3,0,0.76,5,0,0,"100%","0.00%","0.00%",118.8,0,0.059,0,"100%","CAA","FCS"
"Jamarion Parker","GRAMBLING",10,63.76,"B",9,"HB",2026,"SWAC",75.3,4,6,108,18,1,2,0,0,4,41,6.8,67,11.2,0,0.333,0.67,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"SWAC","FCS"
"Adam Jones","MONTANA ST",33,62.89,"B",23,"HB",2026,"Big Sky",68.6,6,13,77,5.9,1,6,0,0,3,34,2.6,43,3.3,0,0.462,0.23,2,0,"MONTANA ST",23,"Big Sky",62.5,1,15,0,1,1,13,13,0,1,0,0,0,1,0,0,9,9,9,0,0.87,4,0,1,"100%","0.00%","0.00%",118.8,0,0.067,0,"100%","Big Sky","FCS"
"Aidan Mayfield","LEHIGH",27,62.52,"B",41,"HB",2026,"Patriot",75.4,10,17,96,5.7,1,7,0,0,6,35,2.1,61,3.6,0,0.412,0.35,3,0.235,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Devon Caldwell","MERCER",15,61.99,"B",21,"HB",2026,"Southern",71.8,3,11,152,13.8,1,3,0,0,1,43,3.9,109,9.9,0,0.273,0.09,3,0.091,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"TJ Peyton","E TENN ST",23,61.74,"B",5,"HB",2026,"Southern",87.2,8,11,121,11,2,4,0,0,2,60,5.5,61,5.5,0,0.364,0.18,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Southern","FCS"
"Jared Rhodes","LNDNWD",46,61.28,"B",7,"HB",2026,"Big South - OVC Football Association",63.2,6,17,63,3.7,1,5,0,0,4,2,0.1,61,3.6,0,0.294,0.24,2,0,"LNDNWD",7,"Big South - OVC Football Association",64.9,2,21,0,4,3,9,3,0,0,0,0,0,3,0,0,13,4.3,9,0,0.43,9.3,0,2,"100%","0.00%","0.00%",77.1,0,0.191,0.25,"75.00%","Big South - OVC Football Association","FCS"
"Spencer Ferguson","WEBER ST",70,60.75,"B",38,"HB",2026,"Big Sky",71.2,9,16,91,5.7,2,5,0,0,2,23,1.4,68,4.3,0,0.313,0.13,3,0.063,"WEBER ST",38,"Big Sky",64.4,1,27,0,3,3,-3,-1,0,1,0,0,0,3,0,0,7,2.3,4,0,-0.11,-3.3,0,0,"100%","0.00%","0.00%",79.2,0,0.111,0,"100%","Big Sky","FCS"
