"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Matt Fogler","COLGATE",51,100,"A"
"Samuel Gbatu Jr.","UC DAVIS",60,99.4,"A"
"Seth Sweitzer","STNY BROOK",56,92.25,"A"
"Ray Hall","CAL POLY",29,91.67,"A"
"Sam Milligan","BUCKNELL",66,91.16,"A"
"Anthony Ice","MOREHEAD",28,86.72,"A"
"Noah Kjar","WEBER ST",74,82.13,"A"
"Ty Curran","HOLY CROSS",57,78.74,"B"
"Galen Combs","ROB MORRIS",38,78.07,"B"
"Dean Hangey","SACR HEART",60,72.52,"B"
"Lynn Wyche-El","YNGTOWN ST",44,71.93,"B"
"Marquis Buchanan","RHODE ISLD",54,71.42,"B"
"Spencer Jones","CAMPBELL",62,71.19,"B"
"Terence Loville","PORTLAND",68,68.75,"B"
"Jai Boyd","W CAROLINA",43,68.56,"B"
"Gavin Nelson","MONMOUTH",66,65.64,"B"
"Taco Dowler","MONTANA ST",30,65.56,"B"
"Elisha Edwards","MCNEESE",35,64.83,"B"
"Aaron Enterline","TOWSON",37,64.55,"B"
"Brice Johnson","PRESBYTERN",38,64.02,"B"
"Kory Jones","GARD-WEBB",85,62.72,"B"
"Khylil Johnson","WM & MARY",23,62.54,"B"
"Grahm Goering","S DAK ST",81,60.92,"B"
"Corey Holmes","TXRG",47,60.13,"B"
"Jayden Reed","INDIANA ST",38,60.07,"B"
"Curtis Deville","MCNEESE",32,58.79,"C"
"Cayden Aukerman","SAMFORD",60,58.15,"C"
"Tyson George","GRAMBLING",44,58.01,"C"
"AJ Colombo","W CAROLINA",55,57.66,"C"
"Marquis Willis","TARLETON",59,56.9,"C"
"Drew Krobath","LNDNWD",73,56.34,"C"
"Teree McDonald","WAGNER",39,55.96,"C"
"Quanye Veney","RICHMOND",32,55.5,"C"
"Cristian Driver","ABILENE CH",51,55.43,"C"
"Brooks Davis","MONTANA",49,55.02,"C"
"Jalen Smith","LNDNWD",73,54.01,"C"
"Ismael Zamor","CITADEL",49,53.33,"C"
"Brandon Binkowski","VILLANOVA",49,53.32,"C"
"Kymari Gray","CHISTA",52,52.37,"C"
"Braden Reed","VILLANOVA",45,52.36,"C"
"Anthony Carter","TENN MARTN",33,51.67,"C"
"Landon Ransom-Goelz","MONTANA",43,51.4,"C"
"Rodny Ojo","PRVIEW A&M",51,50.79,"C"
"Malaqhi Jones","SCAR STATE",26,49.72,"C"
"Brayden White","S DAKOTA",40,49.5,"C"
"TJ Cadden","BUCKNELL",55,49.49,"C"
"Jaydon Smith","TXRG",39,49.2,"C"
"Nae'Saan Dickerson","GRAMBLING",38,49.11,"C"
"Winston Moore","COLGATE",51,49,"C"
"Dane Steel","MONTANA ST",31,48.78,"C"
"Daejawn Smith","SOUTHERN U",35,48.27,"C"
"Jordan Bride","GRAMBLING",38,48.1,"C"
"Trey Olsen","N COLORADO",62,47.97,"C"
"Maury Sullivan","TENN TECH",43,47.84,"C"
"Christian Anaya","W ILLINOIS",36,47.33,"C"
"Chet Yardley","BUTLER",45,46.57,"C"
"Xavier Johnson","N ALABAMA",41,46.07,"C"
"Luke Mailander","ILL STATE",66,45.54,"C"
"Damien McDaniel","PRVIEW A&M",26,45.06,"C"
"Dylan Lord","ILL STATE",62,44.92,"C"
"Julian Mason","IDAHO ST",64,44.72,"C"
"Jaqai Carter","ROB MORRIS",56,44.7,"C"
"Matthew Keener","W CAROLINA",21,44.49,"C"
"Bryce Allen","RICHMOND",54,43.7,"C"
"Tanner Schmidt","TARLETON",52,43.63,"C"
"Paul Billups II","NORFOLK",61,42.71,"C"
"Robert Young","WEBER ST",48,42.45,"C"
"Noah Schaerli","ROB MORRIS",50,41.81,"C"
"Jabez Woods","MONTANA ST",25,41.68,"C"
"Jayvin Pyle-Thompson","GEORGETOWN",39,41.48,"C"
"John Anthony Jr.","SE MO ST",48,41.11,"C"
"Laviel Pickett","UC DAVIS",48,40.95,"C"
"Stevie Keener","CAMPBELL",58,40.56,"C"
"Jacary Lightsey","DAVIDSON",57,40.44,"C"
"Micah Simpson","TXAMEA",35,40.39,"C"
"Deuce Oliver","TENN MARTN",39,39.87,"D"
"Jalile Bost","GARD-WEBB",36,39.86,"D"
"Jonathan Alexander","GEORGETOWN",35,39.8,"D"
"Giovanni Adopte","GARD-WEBB",71,39.4,"D"
"Preston Bird","SAMFORD",61,39.26,"D"
"Makhia Sherrard","TENN MARTN",53,38.97,"D"
"B.J. Fleming","TARLETON",47,38.5,"D"
"Kieren Jackson","FL A&M",36,38.25,"D"
"Chedon James","IDAHO ST",57,38.07,"D"
"Cole Monach","SAN DIEGO",60,38.07,"D"
"Malik Redd","WAGNER",25,37.93,"D"
"Devin Downing","SO UTAH",44,37.91,"D"
"Fidel Pitts","CAL POLY",54,37.6,"D"
"Evan Van Dyke","MERCYHURST",48,37.33,"D"
"Jack Smith","S DAK ST",73,37.17,"D"
"Denver Harper","AUSTINPEAY",29,37.16,"D"
"Lorenzo Jenkins","YNGTOWN ST",32,36.36,"D"
"Kevonte Corbin","SAMFORD",56,36.12,"D"
