"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Matt Fogler","COLGATE",51,100,"A",14,"WR",2026,"Patriot",85.4,5,23,12,6,6,153,25.5,3,5,0,0,0,6,2,2,28,4.7,0,1,6.65,21,5,0,1,0,"33.30%",158.3,0,0.261,0.333,1,"FCS",1,25.5,0.260869565217391
"Samuel Gbatu Jr.","UC DAVIS",60,99.4,"A",8,"WR",2026,"Big Sky",89,8,34,3,16,11,153,13.9,2,7,0,0,0,11,2,2,53,4.8,21,1,4.5,12.6,4,2,1,0,"12.50%",112.8,0.235,0.471,0.25,0.688,"FCS",0.6875,9.5625,0.470588235294118
"Seth Sweitzer","STNY BROOK",56,92.25,"A",3,"WR",2026,"CAA",81.3,10,40,1,13,12,157,13.1,1,8,1,0,0,13,0,0,87,7.3,58,0,3.93,6.2,2,5,0.923,0.077,"0.00%",142.6,0.325,0.325,0.077,0.923,"FCS",0.923076923076923,12.0769230769231,0.325
"Ray Hall","CAL POLY",29,91.67,"A",88,"WR",2026,"Big Sky",88,6,17,8,6,5,125,25,2,5,0,0,0,5,0,0,45,9,27,0,7.35,18,3,3,1,0,"0.00%",158.3,0,0.353,0.333,0.833,"FCS",0.833333333333333,20.8333333333333,0.352941176470588
"Sam Milligan","BUCKNELL",66,91.16,"A",84,"WR",2026,"Patriot",79.5,13,41,20,16,13,131,10.1,2,9,1,0,0,14,2,2,60,4.6,23,1,3.2,8.6,3,2,0.929,0.071,"12.50%",140.4,0.146,0.39,0.125,0.813,"FCS",0.8125,8.1875,0.390243902439024
"Anthony Ice","MOREHEAD",28,86.72,"A",2,"WR",2026,"Pioneer",89.1,5,16,0,6,5,163,32.6,1,4,1,0,0,6,0,0,87,17.4,12,0,10.19,14.2,4,1,0.833,0.167,"0.00%",158.3,0.375,0.375,0.167,0.833,"FCS",0.833333333333333,27.1666666666667,0.375
"Noah Kjar","WEBER ST",74,82.13,"A",8,"WR",2026,"Big Sky",75.9,14,47,2,21,9,150,16.7,2,7,1,0,0,10,4,1,26,2.9,24,0.25,3.19,14.9,6,1,0.9,0.1,"19.10%",79.5,0.425,0.447,0.238,0.429,"FCS",0.428571428571429,7.14285714285714,0.446808510638298
"Ty Curran","HOLY CROSS",57,78.74,"B",3,"WR",2026,"Patriot",79.7,9,38,0,14,7,130,18.6,0,6,0,0,0,7,2,1,46,6.6,41,0.5,3.42,14.9,6,4,1,0,"14.30%",52.7,0.368,0.368,0.286,0.5,"FCS",0.5,9.28571428571429,0.368421052631579
"Galen Combs","ROB MORRIS",38,78.07,"B",9,"WR",2026,"Northeast",81,5,19,0,5,2,84,42,2,2,0,0,0,2,2,0,37,18.5,30,0,4.42,24.4,2,2,1,0,"40.00%",127.1,0.053,0.263,0.6,0.4,"FCS",0.4,16.8,0.263157894736842
"Dean Hangey","SACR HEART",60,72.52,"B",10,"WR",2026,"CAA",72.5,6,29,20,8,5,110,22,2,4,0,0,0,5,2,1,49,9.8,7,0.5,3.79,12.5,2,0,1,0,"25.00%",145.8,0,0.276,0.25,0.625,"FCS",0.625,13.75,0.275862068965517
"Lynn Wyche-El","YNGTOWN ST",44,71.93,"B",1,"WR",2026,"Missouri Valley",78.3,8,31,2,10,7,111,15.9,1,6,0,0,0,7,1,1,31,4.4,10,1,3.58,11.4,4,0,1,0,"10.00%",140,0.29,0.323,0.3,0.7,"FCS",0.7,11.1,0.32258064516129
