"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Sean Clarke","RICHMOND",62,100,"A",87,"TE",2026,"Patriot",87.3,8,30,0,8,7,80,11.4,1,4,0,0,0,7,1,1,45,6.4,13,"100%",2.67,4.5,2,0,"100%","0.00%","12.50%",147.9,"6.70%","26.70%","0.00%","87.50%","FCS"
"Joshua Acord","SO UTAH",52,76.02,"B",8,"TE",2026,"Big Sky",86.4,6,15,0,7,5,42,8.4,1,3,0,0,0,5,3,2,15,3,7,"66.70%",2.8,6.7,1,0,"100%","0.00%","42.90%",126.2,"0.00%","46.70%","0.00%","71.40%","FCS"
"Tanner Beaman","PORTLAND",84,69.39,"B",10,"TE",2026,"Big Sky",50.8,6,51,1,8,4,63,15.8,0,3,2,0,0,6,3,1,9,2.3,5,"33.30%",1.24,12.6,2,0,"66.70%","33.30%","37.50%",76.6,"5.90%","15.70%","25.00%","50.00%","FCS"
"Garrett Harstad","N COLORADO",49,68.88,"B",47,"TE",2026,"Big Sky",60.7,2,32,0,5,5,54,10.8,0,2,0,0,0,5,0,0,10,2,5,"0.00%",1.69,8.8,1,0,"100%","0.00%","0.00%",111.7,"15.60%","15.60%","20.00%","100%","FCS"
"Bode Burns","W CAROLINA",35,68.88,"B",9,"TE",2026,"Southern",72.7,4,24,0,5,5,42,8.4,0,2,0,0,0,5,0,0,28,5.6,14,"0.00%",1.75,2.8,0,1,"100%","0.00%","0.00%",101.7,"16.70%","20.80%","0.00%","100%","FCS"
"Camden Lewis","MERCYHURST",50,68.88,"B",25,"TE",2026,"Northeast",89.6,5,21,0,5,5,41,8.2,1,5,0,0,0,5,0,0,17,3.4,5,"0.00%",1.95,4.8,0,0,"100%","0.00%","0.00%",140.4,"14.30%","23.80%","0.00%","100%","FCS"
"Mariano Birdno","MONTANA",45,62.24,"B",81,"TE",2026,"Big Sky",52.5,0,17,2,6,4,39,9.8,0,2,0,0,0,0,0,0,22,5.5,14,"0.00%",2.29,4.8,1,0,"0.00%","0.00%","0.00%",84.7,"0.00%","35.30%","0.00%","66.70%","FCS"
"Lonnie Shinn","SE LA",28,58.67,"C",88,"TE",2026,"Southland",90.2,5,16,0,5,4,54,13.5,2,4,0,0,0,5,0,0,23,5.8,10,"0.00%",3.38,6.4,1,1,"80.00%","0.00%","0.00%",151.3,"0.00%","31.30%","20.00%","80.00%","FCS"
"Jack Perozek","DAVIDSON",60,48.98,"C",85,"TE",2026,"Pioneer",50.2,6,36,2,8,2,26,13,0,1,2,0,0,4,1,0,7,3.5,4,"0.00%",0.72,13.1,1,0,"50.00%","50.00%","12.50%",40.6,"8.30%","22.20%","12.50%","25.00%","FCS"
"Xavier Phipps","TEXAS STHN",43,48.47,"C",13,"TE",2026,"SWAC",45.8,3,17,0,5,3,12,4,0,0,1,0,0,4,0,0,3,1,2,"0.00%",0.71,2.8,0,0,"75.00%","25.00%","0.00%",64.6,"11.80%","29.40%","0.00%","60.00%","FCS"
"Greyton Gannon","S DAK ST",32,45.41,"C",88,"TE",2026,"Missouri Valley",45.1,4,20,2,7,2,16,8,0,1,2,0,0,4,2,1,4,2,2,"50.00%",0.8,10.3,0,0,"50.00%","50.00%","28.60%",39.6,"20.00%","35.00%","0.00%","28.60%","FCS"
"Alex Herrera","ILL STATE",42,44.9,"C",13,"TE",2026,"Missouri Valley",57.8,2,25,0,4,3,33,11,1,1,1,0,0,4,1,1,8,2.7,0,"100%",1.32,12,1,0,"75.00%","25.00%","25.00%",138.5,"12.00%","16.00%","50.00%","75.00%","FCS"
"Keiden Gutierrez","STNY BROOK",35,44.9,"C",18,"TE",2026,"CAA",63,3,24,2,4,3,38,12.7,1,1,0,0,0,3,0,0,7,2.3,3,"0.00%",1.58,11.8,1,0,"100%","0.00%","0.00%",143.8,"12.50%","16.70%","25.00%","75.00%","FCS"
