"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Sean Clarke","RICHMOND",62,100,"A"
"Joshua Acord","SO UTAH",52,76.02,"B"
"Tanner Beaman","PORTLAND",84,69.39,"B"
"Garrett Harstad","N COLORADO",49,68.88,"B"
"Bode Burns","W CAROLINA",35,68.88,"B"
"Camden Lewis","MERCYHURST",50,68.88,"B"
"Mariano Birdno","MONTANA",45,62.24,"B"
"Lonnie Shinn","SE LA",28,58.67,"C"
"Jack Perozek","DAVIDSON",60,48.98,"C"
"Xavier Phipps","TEXAS STHN",43,48.47,"C"
"Greyton Gannon","S DAK ST",32,45.41,"C"
"Alex Herrera","ILL STATE",42,44.9,"C"
"Keiden Gutierrez","STNY BROOK",35,44.9,"C"
"Jack Ewell","WOFFORD",39,44.9,"C"
"Jaylan Johnson","INDIANA ST",27,44.9,"C"
"Evan Morris","N COLORADO",42,41.84,"C"
"Nicolas Brown","SCAR STATE",56,41.33,"C"
"Itty Henry","ABILENE CH",47,34.69,"D"
"Maddox McKim","SAMFORD",43,34.69,"D"
"Coleman Kuntz","S DAK ST",80,31.12,"D"
"Will Dixon","RHODE ISLD",46,31.12,"D"
"Elijah Smalls","MAINE",31,31.12,"D"
"Hayden Daugherty","N ARIZONA",35,31.12,"D"
"Rayden Aphayvong","STNY BROOK",33,31.12,"D"
"Kordell Rodgers","TEXAS STHN",38,28.06,"D"
"Danny Joiner","TARLETON",54,27.55,"D"
"Titus Rohrer","MONTANA",45,27.55,"D"
"Davin Driskell","LAMAR",31,27.55,"D"
"Nolan Clayton","VILLANOVA",47,27.55,"D"
"Nathanial Clark","HOWARD",59,27.55,"D"
"Nick Petrillo","ALBANY",28,27.55,"D"
"Jaylen King","MS VLY ST",51,27.55,"D"
"Jeter Purdy","N ARIZONA",36,24.49,"D"
"Edward Khutsishvili","UC DAVIS",37,24.49,"D"
"Kaleb Costner","TENN MARTN",62,20.92,"D"
"Ethan Hosak","LAFAYETTE",33,20.92,"D"
"Austin Bray","YNGTOWN ST",40,17.35,"F"
"Alex McDonald","YNGTOWN ST",28,17.35,"F"
"Reed Boyd","MCNEESE",25,17.35,"F"
"Brayden Welch","N COLORADO",39,17.35,"F"
"Chris Herrin","S DAKOTA",37,17.35,"F"
"Drew Sullivan","BUTLER",29,17.35,"F"
"Jayden York","ABILENE CH",37,13.78,"F"
"Charlie Browder","E TENN ST",38,13.78,"F"
"Miles Marshall","S ILLINOIS",59,13.78,"F"
"Larry Benton III","ABILENE CH",31,13.78,"F"
"Greg Genross","MONMOUTH",49,13.78,"F"
"Kayden Stuit","E WASHGTON",37,13.78,"F"
"Mason McSweeney","HOLY CROSS",34,13.78,"F"
"Tyler Bonkowski","LAMAR",45,13.78,"F"
"Aiden Grote","LNDNWD",72,13.78,"F"
"Ty Brown","MURRAY ST",33,13.78,"F"
"Aidan Sefa","W GEORGIA",38,13.78,"F"
"Andrew Korkosz","MERRIMACK",30,13.78,"F"
"Will McKissick","E WASHGTON",38,13.78,"F"
"Jack Roland","CHISTA",36,13.78,"F"
"Tyreke Jinks","ROB MORRIS",43,7.14,"F"
"Jake Young","W CAROLINA",29,7.14,"F"
"Landon Strickland","CHATTNOOGA",46,7.14,"F"
"David Hargro","W ILLINOIS",64,7.14,"F"
"Jackson Head","AUSTINPEAY",39,3.57,"F"
"Jackson Pryor","FURMAN",28,3.57,"F"
"Ryan Johnson","E WASHGTON",36,0,"F"
