"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Will Tellers","ELON",59,100,"A",73.7,0.136,77.1,0.147,0,0,0,0,0,0,0
"EJ Pullins","ARKAPB",36,94.02,"A",58.7,0.056,83.4,0.25,0,100,0,0,0,0,0
"Hunter Gulley","E KENTUCKY",25,91.9,"A",71.9,0.12,79.8,0.077,0,0,0,0,0,0,0
"Kiande Marsh","SCAR STATE",64,91.57,"A",70,0.109,87.2,0.103,0,0,0,0,0,0,0
"Kamron Barnes","NICHOLLS",42,90.8,"A",72.8,0.143,62.6,0.227,0,0,0.05,1,0,0,0
"Jacob Messina","LEHIGH",70,90.18,"A",67,0.1,84.9,0.174,0,0,0,0,0,0,0
"Chris McCullers","VILLANOVA",47,89.95,"A",70.4,0.106,83.5,0.1,0,0,0,0,0,0,0
"Daz Galloway","MURRAY ST",42,89.21,"A",70.4,0.143,39.4,0.227,0.05,0,0.05,0,0,1,0
"Noah Okoye","NC A&T",27,88.66,"A",67.6,0.111,70.8,0.231,0,0,0,0,1,0,0
"Antonio Gaines","E KENTUCKY",50,88.45,"A",77.5,0.14,63.3,0.107,0,0,0.045,1,0,0,0
"Jamarius Wilson","SCAR STATE",64,84.81,"A",69.3,0.094,87.2,0.051,0,0,0,0,0,0,0
"Spencer Adams","LAFAYETTE",59,82.73,"A",78.8,0.102,60.7,0.105,0,0,0.025,1,0,0,0
"Michael Dincher","LAFAYETTE",59,80.21,"A",71.2,0.085,74,0.105,0,0,0,0,1,0,0
"Frank Moss","GRAMBLING",47,79.63,"B",63.5,0.064,84.7,0.182,0,0,0,0,0,0,0
"Kahini Austin","DUQUESNE",35,79.29,"B",59.3,0.057,85.3,0.267,0,0,0,0,0,0,0
"Marcus Smith","HOUCHR",60,78.54,"B",64,0.067,85.5,0.138,0,0,0,0,0,0,0
"Sean Haney","COLGATE",51,78.52,"B",68.3,0.078,83.7,0.036,0,0,0,0,0,0,0
"Arvid Sillberg","NEW HAMP",61,78.49,"B",64.7,0.082,68.2,0.172,0.031,0,0.031,0,0,0,1
"Dezmond Penn","ALABAMA ST",53,77.91,"B",68.3,0.075,84,0.035,0,0,0,0,0,0,0
"Panayiotis Mihalopoulos","E ILLINOIS",45,77.91,"B",51.4,0.044,63.6,0.292,0,100,0,0,1,0,0
"Kelan Washington","MERCER",44,77.62,"B",68.9,0.068,83.6,0.05,0,0,0,0,0,0,0
"Will Evans","GEORGETOWN",53,77.35,"B",75.1,0.075,72.3,0.04,0,0,0,0,1,0,0
"Tyler James","WAGNER",77,77.08,"B",61.8,0.065,84.9,0.158,0,0,0,0,0,0,0
"Tyrone McDuffie III","NWSTATE",29,76.37,"B",60.5,0.069,81.9,0.167,0,0,0,0,0,0,0
"Leon Evans","IDAHO",61,76.25,"B",60.6,0.049,73.9,0.12,0,97.2,0.028,1,0,0,0
"Kellen Francis","S ILLINOIS",73,76.07,"B",64.8,0.069,85.1,0.075,0,0,0,0,0,0,0
"Reggie Houston","WOFFORD",55,75.99,"B",67.6,0.055,87.4,0.071,0,0,0,0,0,0,0
