"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"Jackson Kostmayer","MERCER",30,100,"A",82.4,72.2,0.167,0,0,0.063,0,0,0,0,0
"Sean Tanner","ELON",59,92.39,"A",86,71.1,0.136,0,0,0.059,0.04,0,1,0,0
"Mikale Perry","W GEORGIA",54,92,"A",79.6,56.5,0.093,98.5,0.029,0.05,0.029,2,0,1,0
"Justin Frost","IDAHO ST",65,90.22,"A",69.3,83.8,0.046,98.7,0,0.037,0.026,0,1,0,0
"Aaron Session","MCNEESE",39,89.21,"A",87,71.8,0.128,0,0,0,0.04,0,1,0,0
"Jaylen Robinson","STF AUSTIN",35,85.94,"A",71.6,78.8,0.114,0,0,0.042,0,0,0,0,0
"Jezniah Thurston","UC DAVIS",30,85.06,"A",60.6,82.9,0.067,0,0,0.286,0,0,0,0,0
"Andrew Kocan","MAINE",60,83.57,"A",69.6,81,0.067,0,0.029,0.192,0.029,0,0,1,0
"Justin Kaye","STNY BROOK",67,83.12,"A",78.9,79.6,0.075,0,0,0.087,0,2,0,0,0
"Braden Zimmer","MONTANA ST",49,82.19,"A",67.1,87,0.061,0,0,0.125,0,0,0,0,0
"Matthew Mena","CAL POLY",60,80.98,"A",67.8,87.9,0.067,0,0,0.067,0,0,0,0,0
"Isaiah Hayes","SE LA",38,79.92,"B",74.3,75,0.079,0,0,0.063,0,1,0,0,0
"Moses Umoren","SCAR STATE",40,79.75,"B",80.9,61.3,0.15,0,0,0.043,0.118,0,2,0,0
"Johnny Holly","STF AUSTIN",66,78.79,"B",71.8,74.8,0.076,0,0.032,0.086,0.032,0,0,1,0
"Hayes Formby","TENN MARTN",72,78.01,"B",71.8,76.4,0.069,0,0,0.079,0,1,0,0,0
"Brandin Carpenter","E ILLINOIS",35,76.6,"B",76.8,39.5,0.086,97.2,0,0,0.056,2,1,0,0
"Nathan Shaw","ARKAPB",32,75.12,"B",54,52,0.031,97.4,0,0.308,0.053,1,1,0,0
"Trinidad Wilson","SOUTHERN U",66,74.62,"B",66.2,76.8,0.061,0,0,0.111,0,1,0,0,0
"Brody Balliew","MERCER",44,74.05,"B",65.5,84.7,0.045,0,0,0.05,0,0,0,0,0
"Cameron Pascal","PRVIEW A&M",50,73.63,"B",62.1,80.4,0.04,0,0,0.136,0,0,0,0,0
"Charles Soska","LEHIGH",63,72.89,"B",64.1,67.1,0.095,0,0,0.179,0.042,1,1,0,0
"Sirri Kandiyeli","SO UTAH",71,72.32,"B",64.6,87,0.042,0,0,0.02,0,0,0,0,0
"Travis Gray","TENN MARTN",64,72.24,"B",65.8,62.8,0.078,0,0.035,0.171,0.035,1,0,1,0
"AJ Hasson","UC DAVIS",62,71.38,"B",69.7,81.8,0.048,0,0,0.039,0.028,0,1,0,0
"Jacob Katauskas","S ILLINOIS",74,71.21,"B",66.8,83.1,0.054,0,0,0.05,0.029,0,1,0,0
"Sam Browder","E TENN ST",40,71.02,"B",71.4,38.4,0.1,0,0.059,0.136,0.059,0,0,1,0
"John Pica","S DAK ST",59,70.98,"B",68.8,81.5,0.051,0,0,0.039,0.03,0,1,0,0
"Jarvis Williams","ROB MORRIS",67,70.5,"B",61.7,87.5,0.03,0,0,0.056,0,0,0,0,0
"Samuel Petros","MERCYHURST",56,70.26,"B",60.1,83.9,0.036,0,0,0.083,0,0,0,0,0
"Andrew Nicholson","BUCKNELL",72,69.51,"B",65,83,0.042,0,0,0.036,0,1,0,0,0
"Ben Wallace","ILL STATE",71,69.01,"B",62.1,87.2,0.028,0,0,0.029,0,0,0,0,0
"Sawyer Prementine","MERCYHURST",61,68.89,"B",66.8,65.1,0.049,0,0.029,0.111,0.029,0,0,1,0
"Chris Leonardo","MERRIMACK",38,68.78,"B",50.6,69.1,0.026,95.8,0.042,0.071,0.042,1,0,0,1
"Jelani Lomotey","STHLSK",59,68.72,"B",53,83.9,0.034,0,0,0.158,0,0,0,0,0
"Andrew Steger","E KENTUCKY",25,68.65,"B",65.6,48.8,0.08,0,0.182,0.214,0.182,0,0,0,2
"Joshua Sales Jr.","AUSTINPEAY",35,68.56,"B",67.1,87.7,0.029,0,0.043,0,0.043,0,0,0,1
"Ryan Cregan","VILLANOVA",53,68.44,"B",59.6,89.1,0.019,0,0,0.065,0,0,0,0,0
"Kaleb May","SAMFORD",68,68.21,"B",50.3,75,0.044,0,0,0.318,0,2,0,0,0
"Ryan Murphy","COLGATE",51,67.85,"B",65.5,78.8,0.039,0,0,0.036,0,1,0,0,0
"Xavier Parker","TARLETON",60,67.28,"B",58.8,68.7,0.017,96.8,0,0.033,0.067,0,2,0,0
"Woody Celucien","SCAR STATE",33,67.1,"B",63.8,82,0.03,0,0,0,0,0,0,0,0
"KT Carter","N ARIZONA",46,67.02,"B",74.2,64.1,0.065,0,0.029,0.167,0.088,1,2,0,1
"Dondiago Collins","MS VLY ST",42,66.88,"B",59.9,85.1,0.024,0,0,0.045,0,0,0,0,0
"Daniel Cole","MURRAY ST",52,66.74,"B",63.9,56.9,0.058,0,0.042,0.143,0.042,0,0,1,0
"Kirk Doskocil","BUTLER",49,66.68,"B",61,78.7,0.041,0,0.042,0.08,0.042,0,0,0,1
"Christopher Harris","WAGNER",25,66.62,"B",62,69.8,0.04,0,0,0.077,0,0,0,0,0
"Elijah Baker","ALABAMA ST",53,66.39,"B",55.8,85.7,0.019,0,0,0.103,0,0,0,0,0
"Leavy Johnson","N ALABAMA",46,65.86,"B",67.8,80.7,0.022,0,0,0,0,1,0,0,0
"James Aldrich","WAGNER",77,65.35,"B",68.2,73.6,0.039,0,0,0.026,0.026,0,1,0,0
"Parker Peterson","FURMAN",32,65.07,"B",66.6,77.3,0.031,0,0,0,0,1,0,0,0
"Cameron Vann","ABILENE CH",57,65.01,"B",66.2,61.9,0.053,0,0,0.238,0.028,3,1,0,0
"Watts Alexander","CHATTNOOGA",57,64.88,"B",60.5,83,0.018,0,0,0.03,0,0,0,0,0
"Anthony Patt","CAL POLY",60,64.75,"B",63.4,63.8,0.033,0,0,0.133,0,1,0,0,0
"Rashad Turner","SE MO ST",69,64.6,"B",49.8,76.8,0.043,0,0,0.243,0,2,0,0,0
"Nick Nielsen","YNGTOWN ST",66,64.52,"B",63.8,70.2,0.045,0,0,0.125,0.024,1,1,0,0
"Jordan Yandila","E ILLINOIS",35,64.35,"B",52.4,45.5,0.029,91.7,0.056,0.353,0.167,1,2,1,0
"Brady O'Hara","MONMOUTH",52,64.23,"B",53.4,83.4,0.019,0,0,0.111,0,0,0,0,0
"Steven O'Dell","FURMAN",26,64.16,"B",51.7,73.2,0.039,0,0,0.286,0.083,0,1,0,0
"Beau Riley","NEW HAMP",61,63.91,"B",76.2,50.2,0.098,0,0.031,0,0.031,3,0,0,1
"Michael Muldrow Jr.","ELON",59,63.87,"B",77.8,33.8,0.102,0,0.04,0.029,0.04,2,0,1,0
"Zy'Terrio Lee","CAMPBELL",83,63.86,"B",66,74.1,0.036,0,0.021,0.086,0.042,0,1,0,1
"Anthony Iliano","MAINE",60,63.84,"B",61.2,84.5,0.017,0,0,0.039,0,1,0,0,0
"William Cook","HOUCHR",60,63.47,"B",73.4,38.1,0.083,0,0.065,0.069,0.065,0,0,1,1
"Yusef Sanogo-Kendrick","E KENTUCKY",25,63.42,"B",60.8,69.6,0.04,0,0.083,0.077,0.083,0,0,1,0
"Olivier Camerlain","LAFAYETTE",59,62.76,"B",62.8,76.7,0.017,0,0,0.053,0,1,0,0,0
"Abe Hilbert","MOREHEAD",30,62.72,"B",59.1,76.5,0.033,0,0,0.133,0.067,0,1,0,0
"Spencer McClintock","STHLSK",63,62.44,"B",59.5,67.7,0.032,0,0.043,0.125,0.043,0,0,0,1
"Anfernee Crease","LAMAR",52,62.37,"B",63.1,59.7,0.058,0,0,0.095,0,2,0,0,0
"Coleon Smith","S ILLINOIS",73,61.89,"B",51.1,74,0.041,0,0,0.15,0,1,0,0,0
"Brendon Crispe","S DAKOTA",58,61.29,"B",52.2,88,0,0,0,0.091,0,0,0,0,0
"Secrea Algie","W CAROLINA",44,61.19,"B",68,75.2,0.023,0,0.026,0,0.026,1,0,0,1
"Zach Corrigan","SE LA",38,61.19,"B",62.1,67,0.026,0,0,0.125,0,2,0,0,0
"Khavijae Nixon","CHARLES SO",25,60.96,"B",60,84.6,0,0,0,0,0,0,0,0,0
"Torin Jeske","MONTANA",58,60.32,"B",56.3,89.9,0,0,0,0,0,0,0,0,0
"Wyatt Whalen","BRYANT",45,59.76,"C",62.6,67.7,0.044,0,0,0.042,0.048,0,1,0,0
"Eric Aschenbeck","MCNEESE",50,59.74,"C",60,79.2,0.02,0,0,0.05,0.033,0,1,0,0
"Quinten Christensen","S DAK ST",92,59.7,"C",55,90.7,0,0,0,0,0,0,0,0,0
"Austin Buehler","MONTANA",69,59.6,"C",56.5,87.6,0,0,0,0,0,0,0,0,0
"Gabriel Rzany","E WASHGTON",73,59.36,"C",55.9,88.1,0,0,0,0,0,0,0,0,0
"Freddie Pelling","W GEORGIA",54,59.26,"C",57.8,61.1,0.018,94.1,0.029,0.05,0.088,1,2,0,1
"Ty Williams","E TENN ST",38,59.07,"C",60.4,78.8,0,0,0,0,0,0,0,0,0
"Alex Willis","TENN TECH",58,59.07,"C",56.5,86.2,0,0,0,0,0,0,0,0,0
"Russell Hutchens","DAVIDSON",64,59.05,"C",65.8,62.7,0.031,0,0,0.118,0.043,0,2,0,0
"Kaikoa Kanakaole","MONTANA",43,58.95,"C",55.9,87,0,0,0,0,0,0,0,0,0
"Josh Duran","MONMOUTH",43,58.81,"C",52.2,84.6,0,0,0,0.067,0,0,0,0,0
"Jayden Simmons","N ALABAMA",36,58.62,"C",58.5,81.2,0,0,0,0,0,0,0,0,0
"Marvin Lee Jr.","ALABAMA ST",31,58.57,"C",58.7,80.7,0,0,0,0,0,0,0,0,0
"Tyler Sulsberger","W ILLINOIS",65,58.55,"C",51.6,81.3,0,0,0.023,0.143,0.023,0,0,1,0
"Gavin Allen","E WASHGTON",77,58.49,"C",56.2,85.2,0,0,0,0,0,0,0,0,0
"Messiah Johnson","IDAHO ST",65,58.42,"C",60.7,39.2,0.031,96.1,0.053,0.074,0.053,3,0,1,1
"Nick Carter","ARKAPB",41,58.25,"C",62.3,27.7,0.049,95.8,0,0.176,0.083,3,2,0,0
"Bradford Blattner","HOLY CROSS",51,57.98,"C",52.4,80,0.02,0,0,0.167,0.037,1,1,0,0
"Noah Juliussen","MOREHEAD",34,57.94,"C",52,83.2,0,0,0,0.063,0,0,0,0,0
"James Wright","SOUTHERN U",66,57.86,"C",57.3,63,0.061,0,0,0.194,0.033,3,1,0,0
"Andrew Threatt","W CAROLINA",64,57.36,"C",62.3,75.3,0.016,0,0,0,0.02,0,1,0,0
"Kiegan Henson","IDAHO",59,57.25,"C",51.4,36.4,0.051,94.4,0.028,0.261,0.111,1,3,1,0
