"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"DJ WESOLAK","COAST CAR",16,38.88,"D","DI",2026,"Sun Belt",73.1,64.6,73.9,NA,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,7,0.429,0.143,7.1,9,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,"G5",35,35
"AJ MILLER","KENNESAW",25,38.88,"D","DI",2026,"C-USA",78.1,77.5,57.6,61.7,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,0,0,0,16,1.5,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,4,0,1,2,0,0,2,1,0,1,1,0,4,4,0,1,0,"G5",118,118
"BRIAN BOOKER","NEW MEXICO",20,38.47,"D","DI",2026,"MWC",65,65.8,75.2,60,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,13,0.231,0.154,7.7,6,0,0,0.167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G5",11,11
"KEVIN HORNBEAK JR.","TEMPLE",33,38.15,"D","DI",2026,"The American",72.3,67.4,71.9,59.7,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,19,0.211,0.105,5.3,13,0,0,0.077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"G5",283,283
"CAM CUNNINGHAM","UAB",37,37.85,"D","DI",2026,"The American",60.9,67.2,57.5,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,10,0,0,0,27,0.5,0.111,0.148,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,0,2,2,1,0,2,2,0,0,0,0,4,4,0,0,0,"G5",245,245
"AJ VAUGHNS","GA STATE",26,37.34,"D","DI",2026,"Sun Belt",65.5,67.5,54.6,61.8,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,20,0.05,0.05,2.5,6,0,0,0.167,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,3,0.25,1,1,1,0,1,1,0,1,0,0.5,4,4,0,1,1,"G5",287,287
"DANIEL MATAGI","OREGON ST",39,37.18,"D","DI",2026,"Pac-12",59,58.5,59.1,NA,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,20,0,0.05,5,19,1,0.158,0.053,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,3,0,1,1,0,0,1,1,0,1,0,0,3,3,0,0,0,"G5",156,156
"MARQUIS HOOD","JVILLE ST",35,37.16,"D","DI",2026,"C-USA",60.7,62.6,53.5,60.4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,0,0,0,20,2.67,0.1,0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,7,0,3,2,0,0,3,2,0,0,0,0,7,7,1,1,0,"G5",7,7
"KENDRICK GILBERT","BALL ST",21,36.6,"D","DI",2026,"MAC",64.7,63.5,62,NA,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,15,0,0.067,6.7,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,2,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,"G5",132,132
"NATHANIEL CHANDLER","TOLEDO",31,36,"D","DI",2026,"MAC",66.7,62.7,65.5,NA,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,22,0.136,0.091,4.5,9,0,0.111,0.111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,"G5",147,147
