"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"RODRICK HUNTER","AKRON",43,47.45,"C"
"DAEH MCCULLOUGH","W MICHIGAN",29,47.32,"C"
"XAVIER SMITH","UTEP",33,47.11,"C"
"JELANI MCLAUGHLIN","S DIEGO ST",49,46.9,"C"
"JORDAN PERRY","TROY",29,46.84,"C"
"KJ FLOWE","JAMES MAD",40,46.69,"C"
"KAMAURRI MCKINLEY","E CAROLINA",32,46.29,"C"
"TY JONES","LA TECH",41,46.26,"C"
"MJ MOULTRIE II","LA TECH",31,46,"C"
"CHRISTIAN FORD","MO STATE",43,45.95,"C"
"HUDSON ARTZ","N DAK ST",16,45.87,"C"
"CORNELL ALLEN","CHARLOTTE",16,45.78,"C"
"NICHOLAS THOMPSON","TOLEDO",19,45.72,"C"
"BARON TAYLOR","SO MISS",17,45.65,"C"
"DONOVAN FARIA","GA STATE",30,45.4,"C"
"JOSHUA PRINCE","JAMES MAD",15,44.59,"C"
"JALYN STANFORD","SM HOUSTON",18,44.4,"C"
"KONA MOORE","HAWAII",59,43.84,"C"
"TYLER BAILEY","SM HOUSTON",57,43.39,"C"
"BOOGSIE SILVERA","SACRAMENTO",31,43.08,"C"
"JUSTIN POWE","TROY",36,42.95,"C"
"NASIR EATMON","DELAWARE",24,42.83,"C"
"NAYTEL MITCHELL","SACRAMENTO",22,42.7,"C"
"JAYDEN SWEENEY","FAU",52,42.56,"C"
"KAHLIL ALI","DELAWARE",31,42.48,"C"
"JOHN KEOUGH","BUFFALO",29,42.32,"C"
"DRAKE VICKERS","OREGON ST",63,42.16,"C"
"CARLO THOMPSON","GA SOUTHRN",25,42.12,"C"
"STERLING SMITH","BALL ST",52,42.07,"C"
"BRYCE LLEWELLYN","E MICHIGAN",53,41.96,"C"
"JORDAN HOLMES","KENNESAW",30,41.6,"C"
"KAM FRANKLIN","LA TECH",31,41.57,"C"
"OREL GRAY","TEMPLE",18,41.39,"C"
"TAYVION BEASLEY","USF",27,41.27,"C"
"JEREMIAH BERNARD","WASH STATE",48,41.26,"C"
"NICK SESSION","NEW MEX ST",71,41.15,"C"
"DEONDRE SHEPHERD","BALL ST",29,40.92,"C"
"BRIAN DUKES JR.","S JOSE ST",66,40.82,"C"
"DAMON ALLEN","FAU",21,40.26,"C"
"JAHEIM PATTERSON","OREGON ST",31,40.17,"C"
"KEENAN NELSON","GA STATE",29,40.08,"C"
"AHMERE FOSTER","MEMPHIS",73,40.04,"C"
"DEREK GANTER JR.","BOISE ST",46,39.83,"D"
"ASHTON WHITNER","LIBERTY",18,39.82,"D"
"BRYCE GARZA","N TEXAS",24,39.78,"D"
"JOEL CORDOBA","KENT STATE",30,39.67,"D"
"D.J. BARNES","KENT STATE",20,39.19,"D"
"FIVE HAMILTON","ARK STATE",39,39.16,"D"
"ISAAC PAUL","KENNESAW",56,39.13,"D"
"ROGER JONES JR.","AIR FORCE",56,39.07,"D"
"D-ICEY HOPKINS","LIBERTY",58,39.01,"D"
"BLAKE MATTHEWS","DELAWARE",50,38.96,"D"
"LOGAN CHRISTENSEN","UNLV",25,38.89,"D"
"JAMARCUS PIERRE","TEMPLE",17,38.86,"D"
"KEVIN LONGSTREET","NEW MEXICO",22,38.58,"D"
"JACKQUINTIN BAL","WASH STATE",33,38.24,"D"
"CHAKAI SCOTT","SACRAMENTO",19,38.22,"D"
"AHRAN OGBOR","RICE",26,38.13,"D"
"DONOVAN TURNER","SACRAMENTO",18,38,"D"
"JOSHUA MOORE","TULANE",34,37.45,"D"
"ALEXANDER FORD","KENNESAW",49,36.79,"D"
"DYLAN SMITH","MEMPHIS",72,36.74,"D"
"BRANDON JONES","N TEXAS",39,36.49,"D"
"DAEVON ILES","DOMINION",54,36.47,"D"
"RONNELL DAVIS","BUFFALO",63,36.42,"D"
"CHAPMAN LEWIS","UTAH ST",63,36.23,"D"
"NOREY JOHNSON","KENT STATE",34,36.08,"D"
"DONAVAN HOWARD","UTEP",27,35.9,"D"
"CHASE DAVIS","TEXAS ST",36,35.75,"D"
"JAMARION KEYES","TROY",16,35.45,"D"
"GERAYAS GRIMES","FRESNO ST",52,35.38,"D"
"JAYLEN ARCHIBALD","N DAK ST",28,34.75,"D"
"CAMERON UPSHAW JR.","UTSA",43,34.39,"D"
"BEN MINICH","MIAMI OH",28,34.33,"D"
"ESTEBAN GUILLORY","UTEP",35,34.33,"D"
"CEDRICK HAWKINS JR.","USF",16,34.24,"D"
"JOE REDDISH","APP STATE",16,34.03,"D"
"SHAMAR MCINTOSH","CHARLOTTE",24,33.83,"D"
"CHASE JACKSON","COAST CAR",44,33.59,"D"
"KYON CONYERS","N ILLINOIS",66,33.44,"D"
"BRANDON BARNES","ARK STATE",18,32.91,"D"
"KEVIN ADAMS III","TULANE",56,32.74,"D"
"TYLAN BOYKIN","E MICHIGAN",29,32.63,"D"
"TONY NEWSOME JR.","W KENTUCKY",29,32.05,"D"
"DJ WALKER","OHIO",46,31.09,"D"
"KOA AKUI","RICE",41,30.92,"D"
"DOUG NELSON","TROY",37,30.89,"D"
"SETH GATHERS","JAMES MAD",38,30.54,"D"
"JAKE POPE","UNLV",52,30.34,"D"
"KODY JACKSON","LA LAFAYET",59,30.33,"D"
"AYDEN DUNCANSON","E CAROLINA",21,30.16,"D"
"ZYEIR GAMBLE","E CAROLINA",55,29.95,"D"
"DEVIN HENDERSON","APP STATE",66,29.82,"D"
"DAVION WILLIAMS","E MICHIGAN",23,29.48,"D"
"CJ MCBEAN","NEW MEXICO",24,29.45,"D"
"SABOOR KARRIEM","TEMPLE",44,29.31,"D"
"BO SIMPSON-NEALY","FAU",36,29.27,"D"
"DAYTIONE SMITH","MARSHALL",64,28.93,"D"
"MUMU BIN-WAHAD","UNLV",46,28.44,"D"
"GRANT STEWART","UTEP",23,28.16,"D"
"COLLIN JACOB","LA LAFAYET",72,27.96,"D"
"MILES GREER","BUFFALO",71,27.61,"D"
"JUSTIN WEATHERALL","FAU",15,26.82,"D"
"AJ BROWN","RICE",57,26.79,"D"
"PRESTON ESTOESTA","BOWL GREEN",57,26.6,"D"
"AVERY POWELL","TEMPLE",33,26.3,"D"
"NOAH JEFFERSON","DELAWARE",15,26.05,"D"
"J.J. O'NEAL","MO STATE",46,25.4,"D"
"STONE PERKINS","BALL ST",19,25.11,"D"
"TRE FULTON","UNLV",30,24.04,"D"
"CHACE CALICUT","GA SOUTHRN",25,23.7,"D"
"ISAIAH JORDAN","NEVADA",45,23.15,"D"
"SAM FONGANG","LA TECH",43,22.86,"D"
"WILLIE NELSON III","UTSA",33,22.46,"D"
"AJ GRAHAM","DELAWARE",29,21.98,"D"
"MAKAI SHAHID","ARK STATE",45,21.94,"D"
"MICHAEL ROBINSON III","SO MISS",38,21.4,"D"
"AAMII BRANCH","AKRON",46,20.67,"D"
"BRANDON GREIL","ARK STATE",21,19.44,"F"
"MALIK ARMSTRONG","N ILLINOIS",48,17.3,"F"
"AUSTIN BRAWLEY","NEW MEXICO",30,17.28,"F"
"BISHOP TURNER","NEVADA",54,16.35,"F"
"ZYIL POWELL","TEMPLE",22,15.78,"F"
"ELIJAH MC-CANTOS","COLO STATE",57,15,"F"
"JO CHAVEZ","RICE",32,12.71,"F"
"AISIAH PAOGOFIE","HAWAII",15,10.21,"F"
"WESLEY MILLER","FIU",54,3.22,"F"
"LORENZO SMITH","NEW MEX ST",38,2.28,"F"
"D.J. MOORE","S ALABAMA",16,0,"F"
