"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"AUSTIN ALEXANDER","W MICHIGAN",58,78.05,"B","ED",2026,"MAC",82.6,81.2,72.3,NA,1,1,2,0,0,2,1,3,4,0,0,0,1,0,0,1,0,3,0,34,0.176,0.088,4.4,24,1,0,0.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,0,1,2,0,0,2,1,0,0,0,0,3,3,0,0,0,"G5",197,197
"JABRIEL RHODES-NELSON","GA STATE",44,77.26,"B","ED",2026,"Sun Belt",69.7,76.1,61.2,NA,0,0,3,2,0,0,1,3,0,0,0,0,0,2,0,2,0,3,0,35,0.029,0.086,7.1,9,-2,0,0.333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,2,2,0,2,0,0,1,0,0,4,4,0,0,0,"G5",213,213
"MYLES BRADLEY","BOWL GREEN",54,76.6,"B","ED",2026,"MAC",77.5,67.3,77.4,NA,0,0,1,1,0,2,4,7,1,0,0,0,0,0,0,1,0,3,1,28,0.214,0.214,12.5,26,6,0.039,0.077,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,"G5",41,41
"MAX STEGE","BOISE ST",39,75.15,"B","ED",2026,"Pac-12",80.4,77.7,71.6,60,0,1,2,1,0,1,3,5,0,0,0,0,0,1,0,0,1,3,0,18,0.222,0.278,16.7,20,0,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,0,1,1,1,0,1,1,0,1,0,0,3,3,0,0,0,"G5",87,87
"KEVONTAY WELLS","LA MONROE",31,75.06,"B","ED",2026,"Sun Belt",81,77.8,70.6,NA,0,0,3,1,0,0,2,3,1,0,0,0,0,0,0,1,0,8,1,11,0.273,0.273,18.2,20,3.25,0.05,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5,0,0,2,0,0,4,0,0,1,0,0,5,5,0,0,0,"G5",134,134
"JAIHIEN ROY","KENT STATE",40,74.91,"B","ED",2026,"MAC",87.7,73,68.2,90.9,0,0,3,1,0,2,0,3,0,1,1,0,0,0,1,0,1,5,0,22,0.091,0.136,9.1,15,3,0,0.133,0,3,0,0,0,0,0,0,1,0,0,0,0,0.667,0,0,1,0,1,0,0,0,1,0,6,0,33,5,0,0,2,0,0,3,0,0,1,0,0,5,5,0,1,0,"G5",146,146
"AIDEN BENTON","APP STATE",58,73.99,"B","ED",2026,"Sun Belt",81.7,74.9,71.1,74.5,0,1,3,0,0,0,5,5,2,0,0,0,0,1,0,0,0,6,0,31,0.226,0.161,8.1,27,4.33,0,0.148,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,7,0,1,1,0,0,2,1,0,2,1,0,7,7,0,4,0,"G5",143,143
"BEN MARSH","BALL ST",31,72.98,"B","ED",2026,"MAC",90.2,47.8,92,NA,0,0,1,1,0,0,6,7,1,0,0,0,0,0,0,1,1,1,1,24,0.25,0.292,16.7,7,0,0.143,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"G5",91,91
"KENDRICK DUJOUR","E CAROLINA",26,72.48,"B","ED",2026,"The American",63.7,71.3,68.4,44.2,0,1,3,1,0,0,2,3,0,0,0,0,0,1,0,0,1,5,1,8,0.25,0.375,25,13,7.5,0,0.154,0,5,2,1,26,13,0,1,0,0,118.8,5.2,1,0.4,0,0,0,1,0,0.2,0,0.5,0,13,4,0,9,5,0,1,1,1,0,2,1,0,2,0,0,5,5,0,1,0,"G5",28,28
"KIERAN DAVIS","E CAROLINA",33,70.82,"B","ED",2026,"The American",72,73.7,60.7,62.5,0,3,3,1,0,0,2,3,0,0,0,0,0,0,0,1,1,3,1,12,0.083,0.167,12.5,19,1,0.053,0.211,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,1,0,0,1,2,0,2,0,0,6,6,1,1,0,"G5",98,98
"ESAIA BOGAR","WYOMING",41,70.67,"B","ED",2026,"MWC",85.4,51.9,92.1,NA,2,1,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,1,3,23,0.217,0.043,4.3,18,0,0.167,0.056,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,"G5",201,201
"BRODY HENDERSON","SM HOUSTON",51,68.37,"B","ED",2026,"C-USA",69.2,71.7,59.6,63.8,0,1,5,1,0,1,0,2,0,0,0,0,0,1,0,0,2,5,2,25,0,0.08,6,23,1,0.087,0.217,2,3,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,3,1,0,3,1,0,2,0,0,6,6,0,1,0,"G5",200,200
"BRAYDEN KNOX","N TEXAS",28,67.75,"B","ED",2026,"The American",84.1,69.6,86.8,61.2,0,0,1,1,0,0,3,4,0,0,0,0,0,0,0,1,0,1,1,12,0.25,0.333,20.8,13,0,0,0.154,0,3,0,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"G5",188,188
"ANDREW ZOCK","TOLEDO",31,67.48,"B","ED",2026,"MAC",74,76.2,63.9,NA,1,1,4,1,0,1,0,2,0,0,0,0,0,1,0,0,0,2,0,22,0.091,0.091,6.8,9,1,0,0.333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,1,3,1,0,3,1,0,1,0,0,5,5,0,0,0,"G5",151,151
"JULIEN DAVIS","E CAROLINA",43,66.91,"B","ED",2026,"The American",73.7,77.6,55.1,63.4,0,1,6,0,0,1,0,1,0,0,0,0,0,4,0,0,1,8,1,11,0,0.091,4.5,27,1.14,0.037,0.222,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0.1,1,6,4,0.111,7,1,1,0,0,0,10,10,0,1,0,"G5",97,97
"DAVID ONUOHA","N TEXAS",37,66.79,"B","ED",2026,"The American",70.7,61.6,73.3,64.2,0,1,2,1,0,2,0,3,0,0,0,0,0,0,0,1,0,4,2,14,0.143,0.214,14.3,17,1,0.118,0.118,2,6,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,1,0,0,1,1,0,1,0,0,5,5,0,2,0,"G5",36,36
"BRENTON WILLIAMS","LIBERTY",54,65.99,"B","ED",2026,"C-USA",68.3,61.9,73.7,51.3,0,2,1,1,0,0,2,3,2,0,0,1,0,0,0,0,0,2,2,32,0.156,0.094,6.3,19,0,0.053,0.053,1,3,1,1,19,19,0,1,0,0,118.8,6.33,1,0.667,0,0,0,1,0,0.333,0,1,0,19,14,0,8,4,0,2,0,0,0,0,2,0,1,0,0,4,4,0,1,0,"G5",80,80
"JAY'SHON THOMAS","N ILLINOIS",52,65.94,"B","ED",2026,"MWC",63.7,68.2,64.7,61.5,0,1,3,1,0,1,2,4,0,0,0,0,0,1,0,0,0,2,3,22,0.182,0.182,11.4,29,1.67,0.069,0.069,2,1,1,1,0,0,0,0,0,0,79.2,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,18,5,0,1,3,1,0,3,1,0,0,0,0,5,5,0,0,0,"G5",70,70
"TAKARI HICKLE","OREGON ST",55,65.9,"B","ED",2026,"Pac-12",68.9,73.4,64.9,NA,0,1,3,1,0,0,3,4,0,0,0,1,0,1,0,0,0,3,5,27,0.148,0.148,9.3,28,2.5,0.143,0.071,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4,0,1,2,1,0,2,1,0,1,0,0,4,4,0,0,0,"G5",32,32
"JUSTIN STEARNS","S JOSE ST",28,65.33,"B","ED",2026,"MWC",76.5,66,74.4,NA,0,0,1,1,0,0,3,4,2,0,0,0,0,0,0,1,0,1,0,19,0.263,0.211,13.2,9,0,0,0.111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"G5",20,20
"ZACH JOHNSON","TOLEDO",25,65.09,"B","ED",2026,"MAC",81.7,65.7,80.8,60,0,0,0,1,0,1,1,3,2,0,0,0,0,0,0,0,0,1,0,16,0.25,0.125,9.4,8,0,0,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"G5",203,203
"THOMAS DAVIS","TULSA",42,64.96,"B","ED",2026,"The American",73.8,70.8,69.1,61.9,0,0,2,1,0,0,4,5,0,0,0,0,0,1,0,0,2,2,0,27,0.111,0.185,11.1,11,0,0,0.091,0,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,1,1,0,1,0,0,1,0,0,2,2,0,0,0,"G5",3,3
"JACOB CRUZ","JVILLE ST",56,64.96,"B","ED",2026,"C-USA",73.9,64.2,62.8,79.3,0,1,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,7,0,20,0.05,0.1,7.5,28,7,0,0,0,8,1,1,14,14,0,0,0,0,118.8,1.75,0,0.375,0,0,0,0,0,0,0,0,0,14,3,0,13,6,0,1,0,0,0,1,0,0,2,0,0,6,6,1,3,0,"G5",60,60
