"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"SAVEON BROWN","BUFFALO",77,100,"A",74.4,71.5,73.7,63.4,10,2,4,0,NA,0,6.17,1.5,1,6.5,1,0,0,0,0,2,1,0,10,2,0,2,0,0,0,0,0,0,0,3,2,2,2,2,0,1,1,0.5,3,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0
"JIQUAVIOUS MARSHALL","LIBERTY",49,99.64,"A",80.2,80.6,65.6,NA,8,0,5,2,NA,0,6,2.4,2,9.2,4,0,0,0,1,0,1,0,NA,0,1,0,0,0,0,0,0,0,0.111,1,1,0,0,3,2,5,5,0.556,22,1,2,0,0,0,0,0.111,0,0.222,0.333,0,9,0,8,0,0
"MYKE GUNN","LIBERTY",38,91.72,"A",85.2,86.8,62.3,NA,NA,0,0,3,NA,0,0,0,1,7.8,NA,0,NA,NA,NA,NA,1,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0.75,NA,NA,NA,0,0,0,0
"JAYDEN BRADLEY","TEXAS ST",77,89.63,"A",70.3,71.9,70.4,59.6,11,3,5,0,NA,0,2,1.9,2,4.1,4,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,5,3,4,5,0.714,13,1,0,0,0,0,0,0.143,0,0,0,0,11,0,8,0,0
"JOSHUA BARNES","NEW MEXICO",17,89.61,"A",90,88.5,66,NA,1,0,1,1,NA,1,0,2.3,1,13.7,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.333,7,0,1,0,0,0,0,0,0.333,0.333,0,0,1,0,1,0,1
"MIKE LINDSAY","S DIEGO ST",58,89.61,"A",78.1,75.8,76.6,NA,3,0,2,1,NA,1,-34,-1,1,14.7,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,0.333,-3,0,1,0,1,0,0.333,0,0.333,0.333,0,0,3,0,3,0,1
"KEN WILLIS","JAMES MAD",40,80.64,"A",90.2,67.5,69.9,99.9,6,1,3,0,NA,0,10,5,3,7.1,3,1,0,1,0,0,0,0,100,0,0,0,0,1,0,1,1,0,0,0,0,1,1,2,2,2,4,0.571,35,1,0,0,0,0.036,0,0.143,0,0,0,0,6,0,5,0,0
"AARON WARREN","N ILLINOIS",21,80.62,"A",86.8,80.4,78.9,60,4,0,2,0,NA,0,1.67,1.5,0,1,1,0,0,0,0,0,0,0,NA,1,1,0,1,0,1,0,0,0,0,1,1,2,0,0,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
"ELLIS ELLIS JR.","MEMPHIS",40,80.51,"A",74,67.1,82.3,NA,5,0,3,1,NA,0,8.25,1.3,0,22.7,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,2,1,0.333,4,0,1,0,0,0,0,0,0,0.333,0,0,5,0,2,0,0
"EDDIE PLEASANT III","MARSHALL",72,79.22,"B",78.5,78.5,65.5,NA,4,0,1,2,NA,0,4,5.3,0,10.8,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0.5,21,1,3,0,0,0.019,0,0.25,0,0.75,0,0,4,0,4,0,0
"DENVER HARRIS","UNLV",52,77.33,"B",76.9,74.3,66,76,7,1,3,0,NA,0,43,8.6,1,11.8,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,2,5,4,0.8,43,2,0,0,0,0.074,0,0.4,0,0,0,0,7,0,6,0,0
"JAHMIR TORRES","NEW MEXICO",24,77.25,"B",73.6,70.7,69.4,NA,2,0,1,0,NA,1,-3,0,2,6.5,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,1,0,1
"PEYTON TAYLOR","N TEXAS",35,75.88,"B",74.1,74.4,65.5,59.1,2,1,0,1,NA,0,5,0,0,28.5,0,0,0,1,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,2,0,1,0,0
"ADRIAN LAING","TEMPLE",20,75.63,"B",84.4,88,57.4,NA,2,0,2,1,NA,0,0,2.7,0,16.7,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0.667,8,0,1,0,0,0,0,0,0,0.333,0,0,2,0,2,0,0
"JARVARIUS SIMS","W MICHIGAN",77,75.53,"B",66.2,65.1,68.1,58.3,7,2,1,1,NA,0,6,3.2,2,5,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,4,3,2,2,0.4,16,1,1,0,0,0.023,0,0.2,0,0.2,0,0,7,0,5,0,0
"IAN FOSTER","MEMPHIS",50,75.41,"B",72.1,67.2,78.1,60,9,3,2,0,NA,0,37,7,0,4,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,3,0.75,28,2,1,0,0,0.056,0,0.5,0,0.25,0,0,9,0,6,0,0
"JAI-AYVIAUYNN CELESTINE","FIU",64,74.64,"B",75.8,74.2,73.4,NA,2,0,2,0,NA,1,-2,0.3,1,6.3,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0.333,2,1,0,0,3,2,1,1,0.333,1,0,0,0,0,0,0,0,0.333,0,0.333,0,3,0,2,0,1
