"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"DYLAN HAMPSTEN","FRESNO ST",30,38.38,"D"
"BRAYDIN WARD","MARSHALL",28,38.29,"D"
"DJ WARNER","WASH STATE",59,37.92,"D"
"SEDRICK VESSAH","BUFFALO",33,37.86,"D"
"IAN MITCHELL","JVILLE ST",15,37.79,"D"
"WARREN ROBERTS JR.","TULANE",26,37.63,"D"
"AUSTIN CHAMBERS","SACRAMENTO",27,37.42,"D"
"CURLEE THOMAS IV","N TEXAS",30,37.18,"D"
"CHRIS FORBES","DOMINION",42,36.99,"D"
"KOURI CRUMP","W MICHIGAN",18,36.93,"D"
"ASHTON MOSLEY","USF",27,36.88,"D"
"FAWZY OMOTOSO","N ILLINOIS",15,36.68,"D"
"SHAKU SANGARIE","CHARLOTTE",17,36.43,"D"
"KEI'TRONE SIMPSON","JAMES MAD",22,36.39,"D"
"DJIBRIL RAHMAN","S DIEGO ST",40,36.35,"D"
"JORDAN PENDLETON","UTAH ST",31,36.3,"D"
"MATTHEW STENBROTEN","N DAK ST",56,36.24,"D"
"ELIJAH BALDWIN","UTSA",19,36.19,"D"
"NATE LEWIS","S JOSE ST",19,35.9,"D"
"AUSTIN STIEF","BALL ST",19,35.82,"D"
"JAH'RIE GARNER","TULANE",52,35.71,"D"
"CAMRON COOPER","UTSA",36,35.47,"D"
"MICHAEL WILLIAMS II","USF",30,34.69,"D"
"REEVES BALLER","NEW MEX ST",16,34.64,"D"
"SHAMAR MEIKLE","USF",18,34.55,"D"
"PRIEST ASHE","LA LAFAYET",29,34.3,"D"
"JAYLON JOSEPH","TEMPLE",26,34.14,"D"
"LINUS ZUNK","WASH STATE",41,34.03,"D"
"MERHAUTI XEPERA","FRESNO ST",31,34.02,"D"
"BRANDON GORHAM","DELAWARE",51,33.96,"D"
"UGONNA NWOHA","KENNESAW",30,33.38,"D"
"KA'EO AKANA","HAWAII",38,33.25,"D"
"J'MOND TAPP","MEMPHIS",60,33.07,"D"
"DARREN AGU","NEW MEXICO",22,32.44,"D"
"C.J. HICKS","USF",42,32.31,"D"
"COLE FUNDERBURK","MARSHALL",51,31.99,"D"
