"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"CARSON TUJAGUE","UTAH ST",54,100,"A"
"KA'SHAWN THOMAS","BALL ST",40,92.3,"A"
"MIKAIO EDWARD","BOISE ST",34,80.55,"A"
"JACK MORAN","COLO STATE",26,73.78,"B"
"BRADEN BAYS","RICE",29,73.06,"B"
"ZEION SIMPSON-SMITH","MIDDLE TN",50,72.33,"B"
"HUNTER ZIRKLE","C MICHIGAN",29,70.82,"B"
"ELIAS SHERMAN","ARK STATE",39,70.79,"B"
"DOMINICK BROGNA","DELAWARE",59,70.57,"B"
"BLAKE BURRIS","FAU",33,70.02,"B"
"JAKOLBI WILSON","JAMES MAD",18,68.99,"B"
"NATHAN PIROLLI","LIBERTY",32,66.74,"B"
"RUSSELL SYKES IV","TEMPLE",28,66.48,"B"
"MASE LEWIS","S ALABAMA",40,65.96,"B"
"GRIFFEN WILLIS","NAVY",62,65.29,"B"
"KEENAN WILSON","N DAK ST",42,63.06,"B"
"XZAVIER BOOKER","COAST CAR",23,62.25,"B"
"RAKEEM DAVIS","TROY",27,62.21,"B"
"BRACH RICE","MIAMI OH",15,61.89,"B"
"TANNER VAUGHAN","NEVADA",58,60.49,"B"
"TYREE MORRIS","UTAH ST",49,60.04,"B"
"MARKUS CLARK","LIBERTY",31,59.96,"C"
"CHANCELLOR OWENS","TEXAS ST",56,59.09,"C"
"LUCAS CONTI","UNLV",39,58.51,"C"
"KAMERON HAMILTON","TULANE",47,57.71,"C"
"LOPEZ SANUSI","BOISE ST",23,56.79,"C"
"JAMES SMITH","LA MONROE",54,56.32,"C"
"ED SMITH IV","TULANE",48,56.1,"C"
"JAYLAND MCGLOTHEN","S JOSE ST",33,55.38,"C"
"ANTHONY BYNUM","GA SOUTHRN",50,55.09,"C"
"TYLER BAILEY","OREGON ST",37,53.96,"C"
"OZZY POLLARD","HAWAII",38,53.12,"C"
"WESLEY HUDSON","N TEXAS",30,52.51,"C"
"TYLER DIKOS","MIAMI OH",15,52.45,"C"
"RESHAD STERLING","TULANE",39,52.43,"C"
"SHAKAUN BOWSER","UTEP",23,52.07,"C"
"ROBBY HARRISON","COLO STATE",28,51.71,"C"
"WILL UPSHAW","TULSA",16,51.62,"C"
"JEREMIAH SANDIFORD","NEW MEX ST",33,51.43,"C"
"WILKY DENAUD","FAU",37,50.67,"C"
"JAWAUN CAMPBELL","JVILLE ST",56,50.03,"C"
"ENZO-PIERRE TAYOU","NEW MEX ST",24,49.73,"C"
"KHURTISS PERRY","JVILLE ST",45,49.5,"C"
"PAUL HUTSON III","WASH STATE",36,49.49,"C"
"NATE BLANC","MARSHALL",19,48.98,"C"
