"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Stop","Assist.Tackles.on.Run.Plays","Pass.Break.Up","Interceptions","Drops...Off.Targets.Receptions.Forced","Yards.per.Reception.Allowed","Run.Tackle.for.Losss.or.No.Gain","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Tackle","Lined.up.in.Press.Coverage","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Run.Plays","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Touchdowns.Allowed","Beaten.Defender","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"LUCAS STRUCK","DOMINION",58,100,"A",84.9,89.7,62.6,68.3,8,2,5,56.3,3,1,2,0,0,1.5,1,0.11,3.67,NA,7.3,1,0,0,2,33.3,0,1,0,0,0,0,0,0,1,0,0,0.2,2,2,1,2,2,0,5,2,0.5,3,0,2,0,0,0,0,0,0,0.8,0.5,0.333,0
"BREVIN HAMBLIN","UTAH ST",75,97.96,"A",81.9,72.7,80.6,90.8,9,4,3,56.3,3,4,0,0,1,1,0,0.02,6,NA,-1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0,0,1,4,0,0,3,1,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0
"JACK TCHIENCHOU","TULANE",58,91.56,"A",74.4,67.2,76.6,76.9,11,5,4,87.5,1,5,0,0,0,5,1,0.17,1,NA,5,0,1,0,1,50,1,0,0,0,0,1,0,0,0,0,0,0.154,3,1,2,5,2,1,1,1,1,5,0,0,0,0,0,0,0,0,5,0,0.111,0.25
"MATAGI THOMPSON","HAWAII",72,80.3,"A",72.2,71.2,69.1,63.8,9,5,0,62.5,1,3,1,0,0,9,0,0.44,7,NA,12.3,2,0,1,1,16.7,1,1,0,0,0,0,0,0,0,0,0,0.1,0,0,1,5,2,1,1,2,0.5,18,1,1,0,0,0.024,0,0.25,0,4.5,0.25,0.2,0
"TULI TAGOVAILOA-AMOSA","S JOSE ST",66,74.71,"B",75,73.6,71.8,NA,6,3,0,39.6,0,0,1,0,0,0,0,0,13.67,NA,12,3,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"JO'TAVION PIERCE","UAB",61,73.98,"B",69.4,53.5,86.6,NA,11,4,2,42.4,0,4,0,0,1,5,1,0.19,8.57,NA,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,4,2,2,0,1,0.333,5,1,0,0,0,0,0,0.333,0,1.7,0,0,0
"JAYLEN THOMAS","WASH STATE",64,73.95,"B",90.6,91,69,59.1,5,1,1,0,1,1,0,2,3,8.5,0,0.55,11,NA,12.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,1,4,3,3,2,0.286,17,1,0,0,0,0,0,0.143,0.286,2.4,0,0,0.4
"RYAN NOLAN","TEXAS ST",75,73.21,"B",65.9,63.4,70.1,NA,10,6,1,84,1,3,0,0,1,9.5,0,0.75,9.5,NA,11.8,3,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.091,0,0,0,6,4,3,1,4,0.667,38,3,0,0,0,0,0,0.5,0,6.3,0,0,0.167
"CARL FAUNTROY","LA MONROE",70,71.29,"B",53.5,42.4,62.5,71.9,9,4,2,45.8,1,4,0,1,0,10,1,0.91,3,NA,13,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,7,4,2,2,0.667,20,0,0,1,0,0,0,0,0.333,6.7,0,0,0
"DARIUS GIVANCE","N DAK ST",56,69.74,"B",61.2,48.8,82.1,NA,11,4,2,NA,0,3,0,NA,NA,NA,0,NA,5.67,NA,NA,1,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"JEREMIAH JORDAN","UAB",64,69.06,"B",66,59.1,74.2,NA,9,5,1,78.5,0,3,0,0,1,7.5,0,0.56,9,NA,3.3,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,2,0,2,0.667,15,0,0,0,0,0,0,0,0,5,0,0,0
"TRE'SHAWN MOORE","COLO STATE",54,69.05,"B",82.1,86.6,65.9,NA,6,1,1,39.6,0,1,1,0,0,0,0,0,6.67,NA,14.5,0,1,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0.143,1,0,0,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.333
"COLE BLAYLOCK","S ALABAMA",51,68.11,"B",72.1,78.7,56.6,58.3,8,1,5,79.2,3,0,0,0,0,3,1,0.26,-1,NA,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.111,2,1,0,1,2,0,2,2,1,6,0,0,0,0,0,0,0,0,3,0,0.333,0
"JUAN SALAS","E MICHIGAN",41,67.68,"B",68.2,68.6,64.5,60,8,4,1,58.3,0,2,0,0,0,7,0,0.39,2.33,NA,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0.5,7,0,0,0,0,0,0,0,0,3.5,0,0,0
"JAYDEN DAVIS","LIBERTY",24,66.92,"B",92.4,92.6,64.4,NA,1,1,0,0,0,1,0,1,1,0,0,0,0,NA,7,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BROOKLYN CHEEK","WYOMING",64,66.33,"B",74.1,70,76,59.6,6,1,3,70.1,2,1,0,0,1,2.5,1,0.17,7,NA,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,2,0.667,5,0,0,0,0,0,0,0,0,1.7,0,0,0
"JUSTIN TAYLOR","C MICHIGAN",62,66.03,"B",76.3,74.2,74.4,NA,6,1,0,39.6,0,1,1,0,1,0,0,0,9,NA,15.8,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0
"JORDAN MCRAE","LA TECH",59,65.34,"B",62,59.2,68,NA,14,5,3,74.1,1,2,0,1,1,13.2,1,2.19,4.67,NA,5.9,3,0,3,1,NA,0,0,0,0,0,0,1,0,0,0,0,0.067,2,1,0,5,7,6,3,6,0.857,79,4,0,0,4,0.083,0.571,0.571,0.143,11.3,0,0.167,0
"JONATHAN PATTERSON","CHARLOTTE",42,65.26,"B",73.9,72.6,71.2,58.5,5,2,2,79.2,1,1,0,0,0,-2,1,-0.1,8.5,NA,-4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,1,1,-2,0,0,0,1,0,1,0,0,-2,0,0,0
"ELIJAH PALMER","HAWAII",68,65.25,"B",71.7,63.5,50.9,96.5,5,2,2,91.1,2,0,0,0,1,6.8,0,1,7.5,NA,2.3,1,0,0,1,100,0,1,0,0,0,0,1,0,1,0,0,0.167,0,1,1,1,5,3,2,6,0.857,41,0,0,0,0,0,0,0,0,5.9,0,0.333,0
"GREG JOHNSON","DOMINION",25,65.08,"B",81.9,83.8,62,59.4,5,2,2,94.4,2,0,0,0,0,6.7,0,1.43,0,NA,1.3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,4,3,1,20,1,0,0,0,0.071,0,0.333,0,6.7,0,0,0
"RAILYN ADAMS","SM HOUSTON",70,64.75,"B",68,70,59.4,NA,8,3,1,0,0,1,0,0,0,0,0,0,3.5,NA,0,2,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.167
"KAMRON CHAMBLE","BALL ST",29,64.64,"B",90.3,90,61.7,NA,2,0,1,16.7,1,0,0,2,0,4,0,0.19,0,NA,6.5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0.5,4,0,0,0,0,0,0,0,1,2,0,0,0
"MAX MUSTELL","AIR FORCE",61,64.42,"B",69.1,63.1,77.1,59.2,8,2,3,0,0,2,0,0,0,0,1,0,0.33,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"ADARIUS HUTCHINSON","UTEP",23,63.71,"B",71.2,72.3,64.1,NA,5,0,5,79.2,1,0,0,0,0,0,3,0,-1.75,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"JABARI TILLER","LA MONROE",63,63.17,"B",52.9,50.5,56,NA,13,5,2,56.3,0,4,0,0,1,5,0,0.25,5.88,NA,9,1,0,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0.133,2,0,0,5,8,2,0,1,0.5,5,1,0,0,0,0,0,0.5,0,2.5,0,0.143,0
