"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Jayden Childers","INDIANA ST",40,40,1,57.17,"C+"
"Carl Nesmith","DELWARE ST",63,31.5,2,57.06,"C+"
"Julian Rampino","STHLSK",52,26,2,57,"C+"
"Jake Thorner","WOFFORD",44,22,2,56.95,"C+"
"Joe Edwards","W ILLINOIS",46,23,2,56.94,"C+"
"Gabriel Batres","VALPO",43,43,1,56.82,"C+"
"Isaiah Washburn","BETH COOK",111,55.5,2,56.74,"C+"
"Tre Rankin","STHLSK",64,32,2,56.71,"C+"
"Dorian Gates","PRVIEW A&M",21,21,1,56.63,"C+"
"Kye Pressley","MAINE",93,46.5,2,56.42,"C+"
"Okemdi Eze","BUTLER",37,37,1,56.36,"C+"
"Myles Amey","SO UTAH",105,52.5,2,56,"C+"
"Jayden Walker","MURRAY ST",95,47.5,2,55.96,"C+"
"Chris Bacon","MAINE",85,42.5,2,55.72,"C+"
"Dexter Niekamp","ILL STATE",106,53,2,55.58,"C+"
"Peter Eyabi","INDIANA ST",32,32,1,55.36,"C+"
"Malik Denkins","AUSTINPEAY",68,34,2,52.78,"C"
"Janier Armstead","SACR HEART",80,40,2,52.76,"C"
"Withchiel Filamar","TXRG",65,32.5,2,52.63,"C"
"Nick Reinicke","W ILLINOIS",55,55,1,52.56,"C"
"Justin Buckner","W ILLINOIS",109,54.5,2,52.46,"C"
"Ethan McDowell","MERCER",44,22,2,52.39,"C"
"Brandon Martin","ROB MORRIS",29,29,1,52.34,"C"
"Justin Garza","CAMPBELL",69,34.5,2,52.24,"C"
"Christopher Gill","STHLSK",60,30,2,52.16,"C"
"Lukus McDaniels","S ILLINOIS",59,29.5,2,52.13,"C"
"Jacob Logan","DUQUESNE",15,15,1,52.11,"C"
"Jaden Few","UC DAVIS",84,42,2,51.85,"C"
"Ezra Ekuban","N COLORADO",54,27,2,51.8,"C"
"Irv Briggs","NEWHVN",99,49.5,2,51.7,"C"
"Elijah Barnes","W GEORGIA",84,42,2,51.66,"C"
"Dominic Solano","MONTANA ST",55,27.5,2,51.63,"C"
"Kaden Vig","N DAKOTA",53,53,1,51.12,"C"
"Kealamaikahiki Loo","SO UTAH",30,30,1,51.12,"C"
"Andrew Jordan","SAMFORD",34,34,1,51.07,"C"
"Kaleb Pleis","CAL POLY",27,27,1,50.96,"C"
"Richard Garrett","TENN STATE",26,26,1,50.94,"C"
"Talan Bingham","NICHOLLS",52,52,1,50.72,"C"
"Tyce Donnelly","WOFFORD",47,23.5,2,50.72,"C"
"RJ Staten","MCNEESE",57,28.5,2,50.7,"C"
"Dawson Ripperda","S DAK ST",43,21.5,2,50.2,"C"
"Reis Kirschenman","S DAK ST",53,26.5,2,50.17,"C"
"Carlo Crocetti","HOLY CROSS",56,28,2,50.03,"C"
"Charles Woodard","E TENN ST",65,32.5,2,49.91,"C"
"Lucas Manderbach","LEHIGH",67,33.5,2,49.69,"C"
"Doug Quarles III","ELON",41,20.5,2,49.64,"C"
"Zach Adamo","DRAKE",34,34,1,49.63,"C"
"Korede Sogbesan","HAMPTON",87,43.5,2,49.21,"C"
"Trehsyn Fesili","IDAHO ST",91,45.5,2,49.1,"C"
"Faisal Mass","HOWARD",38,38,1,49.06,"C"
"Mark Pullman","CHISTA",78,39,2,49.06,"C"
"Aiden Holewski","MERCER",18,18,1,48.91,"C"
"Jake Parrella","S ILLINOIS",79,39.5,2,48.76,"C"
"Duncan Parham","TXAMEA",75,37.5,2,48.66,"C"
"Orlando Daniels","CHATTNOOGA",109,54.5,2,48.66,"C"
"Mason Smith","NEW HAMP",98,49,2,48.54,"C"
"Emerson Martin III","DELWARE ST",20,20,1,48.52,"C"
"Jayven Anderson","HOUCHR",59,59,1,48.42,"C"
"River Abenroth","SAN DIEGO",39,39,1,48.27,"C"
"Kaleb Brown","TARLETON",92,46,2,48.24,"C"
"Koda Canady","LAMAR",25,25,1,48.16,"C"
"Sadonnie Gay","BETH COOK",22,22,1,48.12,"C"
"Jerrium Berry Jr.","MERRIMACK",28,28,1,47.95,"C"
"Emmanuel Harris","STF AUSTIN",65,32.5,2,47.93,"C"
"Ta'kai Chisolm","MAINE",47,23.5,2,47.78,"C"
"Damontez McDowell","STETSON",30,30,1,47.69,"C"
"Hudson Tucker","TENN TECH",34,34,1,47.64,"C"
"Jordyn Dickerson","SOUTHERN U",92,46,2,47.58,"C"
"Barrett Kennedy","STETSON",43,43,1,47.46,"C"
"Logan Graham","MERRIMACK",92,46,2,47.28,"C"
"Ethan Aghakhan","NEW HAMP",64,32,2,47,"C"
"Donte Hookfin","GRAMBLING",79,39.5,2,46.83,"C"
"Jordan Edgecomb","COLGATE",55,27.5,2,46.8,"C"
"Will Alovao","UTAHTC",98,49,2,46.77,"C"
"Joel Queisser","MS VLY ST",37,37,1,46.61,"C-"
"Macray Madruga","UC DAVIS",52,26,2,46.56,"C-"
"Jackson Irwin","IDAHO ST",30,30,1,46.34,"C-"
"Jordan Thompson","TEXAS STHN",57,28.5,2,46.33,"C-"
"Camden Byrd","RICHMOND",91,45.5,2,46.3,"C-"
"Samuel Horton","CENT ARK",17,17,1,45.96,"C-"
"Adrian Bowers","CHISTA",57,57,1,45.91,"C-"
"Josiah Aidoo","SACR HEART",16,16,1,45.87,"C-"
"Evan Aubrey","SE LA",88,44,2,45.65,"C-"
"Levi Hoss","PRESBYTERN",19,19,1,45.56,"C-"
"Jake Vigen","MONTANA ST",28,28,1,45.46,"C-"
"Ishaun Abdul-Ali","HOWARD",22,22,1,45.44,"C-"
"John Gayer","ROB MORRIS",90,45,2,45.25,"C-"
"Dashawn Fields","DUQUESNE",36,36,1,45.07,"C-"
"David Amaliri","LNDNWD",77,38.5,2,45.07,"C-"
"Carter Sitzman","S DAK ST",35,35,1,45.03,"C-"
"Jahide Lesaine Jr.","MONMOUTH",74,37,2,44.94,"C-"
"Josh Dorsainvil","TEXAS STHN",23,23,1,44.94,"C-"
"Solomon Oduma","ILL STATE",45,45,1,44.92,"C-"
"Dinellson Exume","GRAMBLING",53,26.5,2,44.91,"C-"
"Jamari Young","ALBANY",53,53,1,44.63,"C-"
"Logan Fredericksen","MONTANA ST",19,19,1,44.59,"C-"
"Sean Dubose","MCNEESE",73,36.5,2,44.52,"C-"
"Terrill Hopkins","GARD-WEBB",27,27,1,44.49,"C-"
"Knowledge Davis","TEXAS STHN",21,21,1,44.34,"C-"
"Jamar Hodges","RICHMOND",66,33,2,44.18,"C-"
"Khalil Hunter","ROB MORRIS",71,35.5,2,44.17,"C-"
"Kaleb Harris","INDIANA ST",32,32,1,44.09,"C-"
"Andrew Sharga","LEHIGH",24,24,1,44,"C-"
"Josiah Raven","SE MO ST",100,50,2,43.97,"C-"
"Tyler Hammel","NEWHVN",90,45,2,43.84,"C-"
"Adeon Farmer","FL A&M",29,29,1,43.42,"C-"
"Caleb Redd","E KENTUCKY",54,27,2,43.41,"C-"
"Jaden Meeks","W CAROLINA",51,25.5,2,43.35,"C-"
"Mitchell Garner","RHODE ISLD",72,36,2,43.27,"C-"
"Andrew Jackson","CITADEL",56,56,1,43.21,"C-"
"Eli Lipscomb","FURMAN",91,45.5,2,43.19,"C-"
"Jalonn Booth","CAL POLY",48,24,2,43.16,"C-"
"Joshua Lloyd","AUSTINPEAY",53,26.5,2,43.13,"C-"
"Darien Riley","LAFAYETTE",41,41,1,42.93,"C-"
"Jon Horton","GRAMBLING",70,35,2,42.61,"C-"
"Dominic Jones","ALBANY",31,31,1,42.6,"C-"
"Bronson Childs","IDAHO ST",95,47.5,2,42.49,"C-"
"Javieane Stevens","MS VLY ST",31,31,1,42.39,"C-"
"Percy Jackson III","TXRG",71,35.5,2,42.28,"C-"
"Weston Woodard","TOWSON",28,28,1,42.11,"C-"
"Brock Winsett","COLGATE",36,36,1,41.98,"C-"
"Khalib Robinson","CHISTA",31,31,1,41.86,"C-"
"Dalton Epps","W GEORGIA",82,41,2,41.84,"C-"
"Hunter Watson","MONMOUTH",93,46.5,2,41.84,"C-"
"Mason Charles","SAN DIEGO",19,19,1,41.7,"C-"
"Eli Hiscock","WAGNER",36,18,2,41.58,"C-"
"Julius Ray","UC DAVIS",18,18,1,41.54,"C-"
"Jalil Smith","WAGNER",18,18,1,41.47,"C-"
"Ose Oriabure","CHISTA",21,21,1,39.49,"D+"
"Anthony Rosier","FL A&M",16,16,1,39.39,"D+"
"Kolben Miller","N IOWA",115,57.5,2,39.38,"D+"
"Jamarion Augustus","IDAHO",50,25,2,39.35,"D+"
"Mateo Brink","HOLY CROSS",16,16,1,39.33,"D+"
"Kevin Nizolek","FORDHAM",47,23.5,2,39.25,"D+"
"Eldridge Shelton","ALABAMA ST",37,37,1,39.21,"D+"
"Aiden Hall","SO UTAH",110,55,2,39.09,"D+"
"Micah Wing","NEW HAMP",92,46,2,38.95,"D+"
"Antonio Camon","FL A&M",18,18,1,38.86,"D+"
"Blaine Downing","MONTANA ST",67,33.5,2,38.79,"D+"
"Aiden McComber","UTAHTC",42,42,1,38.75,"D+"
"Alec Haynes","NICHOLLS",60,30,2,38.69,"D+"
"Gabe Stephens","HOWARD",65,32.5,2,38.69,"D+"
"Sandy Lewis","MCNEESE",28,28,1,38.51,"D+"
"Shaun Aletor","SAN DIEGO",26,26,1,38.31,"D+"
"Aidan Buggey","DUQUESNE",20,20,1,38.29,"D+"
"Bernard Blakey","DUQUESNE",62,31,2,38.26,"D+"
"Connor Carrigan","TXRG",61,30.5,2,38.25,"D+"
"Marcellus Nash","HAMPTON",16,16,1,38.11,"D+"
"Max Elkman","SE LA",57,28.5,2,38.1,"D+"
"Toby Brown Jr.","BRYANT",69,34.5,2,37.94,"D+"
"John Scott III","SAMFORD",40,40,1,37.88,"D+"
"Lewon Lurry Jr.","BETH COOK",60,60,1,37.73,"D+"
"Blake Weslin","N COLORADO",84,42,2,37.16,"D+"
"Boyd Sorensen","WEBER ST",15,15,1,37.14,"D+"
"Isaac Engle","E ILLINOIS",16,16,1,36.97,"D+"
"Nick Felago","SAN DIEGO",88,44,2,36.94,"D+"
"LaZaryus Toombs","CENT CT ST",45,45,1,36.9,"D+"
"Mason Krahn","IDAHO",70,35,2,36.88,"D+"
"Larry Jones III","STF AUSTIN",41,20.5,2,36.85,"D+"
"Joshua Modupe","CHARLES SO",25,25,1,36.61,"D+"
"Anthony Schettino","BRYANT",58,29,2,36.4,"D+"
"Tyrese Whitaker","TENN TECH",34,34,1,36.34,"D+"
"Sani Tuala","IDAHO ST",43,21.5,2,36.29,"D+"
"Phillip Baynes Jr.","LIUSHAR",24,24,1,36.2,"D+"
"Jordan Johnson","WOFFORD",29,29,1,36.14,"D+"
"Javian Jones","BRYANT",20,20,1,36.1,"D+"
"Mylan Bowen","CHARLES SO",44,44,1,35.95,"D+"
"Josh Cashiola","TXRG",30,30,1,35.93,"D+"
"Dom Rausch","N ARIZONA",18,18,1,35.81,"D+"
"Marion Smokes","SCAR STATE",16,16,1,35.79,"D+"
"Ayden Guess","E TENN ST",22,22,1,35.73,"D+"
"JC Wilson","MOREHEAD",63,31.5,2,35.6,"D+"
"Justin Eklund","MONTANA",34,34,1,35.57,"D+"
"Mike Hastie","MORGAN ST",25,25,1,35.52,"D+"
"Jaco Pegha","NORFOLK",20,20,1,35.42,"D+"
"Toddrick Brewton","RHODE ISLD",57,28.5,2,35.38,"D+"
"Brogan De'Asis","PORTLAND",89,44.5,2,35.33,"D+"
"Travon Dye","NC A&T",36,36,1,35.24,"D+"
"Olanrewaju Adeyemi","WAGNER",59,29.5,2,35.12,"D+"
"Grant Garretson","UC DAVIS",44,22,2,35.05,"D+"
"Caleb Baczek","VALPO",36,36,1,34.94,"D+"
"Kenny Seymour","NEWHVN",100,50,2,34.89,"D+"
"Rashaud Pernell","NEW HAMP",57,28.5,2,34.86,"D+"
"Gideon Bedada","BRYANT",63,31.5,2,34.77,"D+"
