"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"NATE FISCHER","FAU",20,46.29,"C"
"JUSTYCE BETTS","W MICHIGAN",19,46.01,"C"
"CHARLIE CHRISTOPHER","OHIO",57,45.17,"C"
"JORDAN DONALD","W KENTUCKY",36,45.16,"C"
"AIDAN VAUGHAN","LIBERTY",32,44.89,"C"
"HARRISON TAGGART","UTAH ST",46,44.68,"C"
"ASHTON TAYLOR","MIDDLE TN",34,44.54,"C"
"TIM THOMAS","SACRAMENTO",23,44.46,"C"
"BARRY MANNING","E MICHIGAN",24,44.44,"C"
"ALEX ROCHA","SACRAMENTO",17,44,"C"
"JACKSON BARKER","E CAROLINA",32,43.88,"C"
"ELIJAH GROVES","SM HOUSTON",23,43.83,"C"
"MIKE MONTGOMERY","MEMPHIS",54,43.62,"C"
"DIEGO AVILES","GA SOUTHRN",21,43.44,"C"
"ZAVIER HAMILTON","USF",21,43.34,"C"
"SHAY SMITH","UTEP",25,42.34,"C"
"SIONE HALA","S DIEGO ST",67,42.16,"C"
"KARSON MOSS","KENNESAW",18,42.04,"C"
"TJ BURKHALTER","TEXAS ST",15,42.03,"C"
"A.J. ODOM","BOWL GREEN",18,42.01,"C"
"DONOVAN WOOLEN","N DAK ST",18,41.9,"C"
"JAMARRI VINSON","UTSA",15,41.71,"C"
"GAVIN FORSHA","BALL ST",29,41.41,"C"
"JOB GRANT","NAVY",36,41.22,"C"
"TREYLIN PAYNE","TEXAS ST",18,41.21,"C"
"KHAMANI POTTS","COLO STATE",23,41.17,"C"
"ASHER CUNNINGHAM","UTAH ST",37,40.69,"C"
"XAVIER WHITE","C MICHIGAN",45,40.69,"C"
"BRETT MCCALLA","C MICHIGAN",57,40.67,"C"
"KESHAWN THOMAS","APP STATE",15,40.51,"C"
"KOLBE FIELDS","LA TECH",28,40.24,"C"
"CONOR MCPHERSON","LA LAFAYET",50,40.01,"C"
"ERIC BUTLER JR.","GA STATE",15,39.75,"D"
"RAY JAMES JR.","N DAK ST",20,39.64,"D"
"MONTRELL CHAPMAN","DOMINION",16,39.48,"D"
"CHRIS THOMPSON JR.","TULSA",81,39.42,"D"
"PERCY COURTNEY JR.","FIU",26,39.35,"D"
"DEE CRAYTON","UNLV",39,39.34,"D"
"AUSTIN HARNETIAUX","RICE",27,38.79,"D"
"TREY RUBINSTEIN","KENT STATE",44,38.63,"D"
"AYDEN JONES","TEXAS ST",21,38.52,"D"
"STONE COMBS","RICE",27,38.46,"D"
"KENDELL ANDERSON","MARSHALL",15,38.46,"D"
"NAKIAN JACKSON","JAMES MAD",60,38.41,"D"
"MICAH JOHNSON","LA LAFAYET",41,38.4,"D"
"JAVANTE MACKEY","TEXAS ST",24,38.15,"D"
"JOSH ANGLIN","KENNESAW",17,37.71,"D"
"CAM SANTEE","UNLV",40,37.01,"D"
"ROCCO NICHOLL","KENT STATE",40,36.87,"D"
"JOSEPH SIPP JR.","FAU",49,36.77,"D"
"JACK FRIES","OHIO",64,36.75,"D"
"BRADLEY ILUNGA-BISSELELE","BUFFALO",18,36.64,"D"
"JASHAWN COOPER","MO STATE",35,36.52,"D"
"K'VION THUNDERBIRD","FRESNO ST",42,36.22,"D"
"KEITH BROWN","WASH STATE",57,36.08,"D"
"TAYLOR POWELL","FRESNO ST",37,35.55,"D"
"CHANCE BARRON","NEW MEX ST",25,35.25,"D"
"RICKEY BANKS","LA MONROE",18,35.17,"D"
"XAVIOUS ANDERSON JR.","S ALABAMA",20,35.05,"D"
"ETHAN POWELL","S JOSE ST",41,34.87,"D"
"AVERY JONES","N ILLINOIS",54,34.77,"D"
"PEDER HAUGO","N DAK ST",15,34.57,"D"
"CLAY MARTINEAU","NEW MEXICO",18,34.55,"D"
"CALEB OLABODE","MO STATE",19,34.35,"D"
"JAWARREN CORBIN","DELAWARE",29,33.63,"D"
"COOPER KING","RICE",19,33.33,"D"
"BARON HOPSON","KENNESAW",19,33.29,"D"
"MYLES BUTLER","JVILLE ST",20,33.14,"D"
"BRYCE STEELE","TROY",29,33.11,"D"
"KELBEE HOLMES","LA MONROE",15,32.91,"D"
"ETHAN JOHNSON","GA SOUTHRN",24,32.81,"D"
"MARTAVIS BLACKMON","MO STATE",32,32.67,"D"
"JALEN MARSHALL","MARSHALL",46,32.24,"D"
"TJ WILLIAMS","LA MONROE",23,31.92,"D"
"JADEN KELLY","GA STATE",21,31.83,"D"
"JACE ARNOLD","SM HOUSTON",58,31.61,"D"
"CJ ALLEN JR.","GA SOUTHRN",21,30.87,"D"
"GARY RUTHERFORD","WYOMING",60,30.52,"D"
"ZACH BERGMANN","BUFFALO",41,30.49,"D"
"DREW SPEECH","NEW MEXICO",38,30.36,"D"
"JABARI ODOEMENEM","OREGON ST",43,29.9,"D"
"RAFAEL TERRERO JR.","KENT STATE",37,29.15,"D"
"BRONSON OLEVAO JR.","UTAH ST",27,28.6,"D"
"JORDAN WILLIAMS","S ALABAMA",18,28.23,"D"
"CHRIS JOE","UTAH ST",17,27.97,"D"
"HECTOR CHAVEZ","FAU",23,27.78,"D"
"LEON HART JR.","FAU",46,27.24,"D"
"JAYDEN STUDIO","JAMES MAD",16,26.99,"D"
"NIKO BAUMGARTNER","FRESNO ST",18,26.93,"D"
"DAUNTE CURTIS","AKRON",31,26.91,"D"
"JAKE RIPP","BOISE ST",22,26.88,"D"
"SEMAJ BRIDGEMAN","KENT STATE",24,26.52,"D"
"JJ CLAYTON","MEMPHIS",17,26.05,"D"
"ISAAC PRINCE","TOLEDO",34,23.98,"D"
"BLAYNE MYRICK","MIAMI OH",47,23.77,"D"
"LOGAN STUDT","FRESNO ST",23,23.35,"D"
"ISAIAH HUNG","WASH STATE",26,23.21,"D"
"ISAIAH BOGERTY","UTEP",26,22.9,"D"
"JAIYDEN THOMPSON","MIDDLE TN",18,22.83,"D"
"DYLAN LAYNE","OREGON ST",39,22.68,"D"
"SAYED ABUHAMDEH","KENT STATE",25,21.97,"D"
"OWEN PEWEE","UTSA",33,21.56,"D"
"BROCK UIHLEIN","MIAMI OH",22,21.13,"D"
"MAYSON HITCHENS","C MICHIGAN",39,20.89,"D"
"MARCUS ROSS","LA MONROE",46,20.29,"D"
"JACK MURRAY","N ILLINOIS",66,20.16,"D"
"STRATTON SHUFELT","MO STATE",31,20.01,"D"
"CANNON LEWIS","MARSHALL",55,19.59,"F"
"CADE LAW","E CAROLINA",29,19.4,"F"
"BLESYNG ALUALU-TUIOLEMOTU","UNLV",32,19.21,"F"
"JULIUS PURYEAR","DELAWARE",17,19.03,"F"
"ZACH SMITH","W KENTUCKY",34,19.01,"F"
"LOGAN BRANTLEY","BOISE ST",37,18.1,"F"
"KOREY SMITH","MIDDLE TN",49,17.21,"F"
"JOE DREW","ARK STATE",55,17.18,"F"
"CHRISTIAN ROSS","S ALABAMA",22,16.44,"F"
"DEUCE SPURLOCK","LIBERTY",17,16.3,"F"
"CINCEAR LEWIS","BALL ST",46,14.99,"F"
"RODNEY HILL","USF",61,14.85,"F"
"GYRIECE GOODMAN","OREGON ST",67,14.54,"F"
"LUCAS SZYMBORSKI","BALL ST",25,14.54,"F"
"BRYCE ELIUK","E MICHIGAN",39,14.17,"F"
"PARKER SHATTUCK","S ALABAMA",33,13.97,"F"
"KAJUAN BANKS","TULANE",21,13.05,"F"
"DOMANICK MOON","W MICHIGAN",26,12.5,"F"
"CJ YOUNG","MIAMI OH",41,11.74,"F"
"JAASAI SIMMONS","MARSHALL",16,11.21,"F"
"WYNDEN HO'OHULI","HAWAII",53,10.48,"F"
"JAVAE GILMORE","MARSHALL",44,9.25,"F"
"DALTON HUGHES","TULANE",23,9.09,"F"
"JAYDEN WILSON","UTEP",32,8.9,"F"
"DEVIN REEVES","AKRON",18,7.07,"F"
"MICHAEL MOLNAR","OHIO",18,5.49,"F"
"ANDRE PARKER","MARSHALL",21,0.49,"F"
"CHRIS RODGERS","TULANE",49,0,"F"
