"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Pass.Break.Up","Lined.up.in.Press.Coverage","Interception","Average.Depth.of.Tackle","Receiving.Yards.per.Coverage.Target","Drops...Off.Targets.Receptions.Forced","Average.Depth.of.Target.per.Coverage","Pass.Stop","Plays.of.15..Yards.Allowed","Missed.Tackles.on.Pass.Plays","Assist.on.Pass.Plays","Missed.Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Dropped.Int","Touchdowns.Allowed","Pass.Rush.Productivity","Hurries","Pass.Tackle.for.Loss.or.No.Gain","Run.Tackle.for.Losss.or.No.Gain","Hits","Forced.Fumble","Pursuit.Pressure","Sacks","Fumble.Recovery","Beaten.Defender","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interceptions"
"ANTHONY PINNACE","BALL ST",41,100,"A",70,66,63.9,80.8,7,1,4,2,NA,0,-0.5,5.8,0,12.8,2,1,1,0,1,1,0,0,NA,0,0,1,0,0,0,1,0,0,0.222,2,1,1,2,5,4,3,2,0.5,23,1,2,0,2,0.039,0.5,0.25,0,0.5,0.25,0.25,9,0,5,0,0
"JANARD LOCKHARDT","LA TECH",25,98.08,"A",83.4,84.4,66,NA,3,0,3,1,NA,0,1,0,3,9,2,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,0.2,0,0,1,0,1,0,0.2,0,0,0.2,0,0,3,0,2,0,0
"ISHMEL ATKINS","SM HOUSTON",41,97.86,"A",74.3,72.9,70.7,NA,4,1,1,2,NA,0,7.5,0,2,19,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,2,0,1,0,0.25,0,0,0.5,0,0,4,0,4,0,0
"CALEB RICKS","S DIEGO ST",45,92.24,"A",76.4,74.7,72.1,NA,5,2,2,1,NA,0,2,0,2,11.2,2,0,0,1,0,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,2,0.333,0,0,1,0,3,0,0.5,0,0,0.167,0,0,5,0,2,0,0
"CHANCE GAMBLE","GA SOUTHRN",28,91,"A",78.8,74.2,77.2,NA,2,0,2,1,NA,0,-1.5,0,0,10,0,0,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0
"CAESAR MAGEE","SM HOUSTON",37,88.41,"A",74.7,79,57.3,NA,6,1,1,1,NA,0,12.67,0,1,28,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0.143,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,7,0,4,0,0
"QUANDARIUS KEYES","UNLV",76,86.88,"A",75.4,75.6,64,60,5,0,2,1,NA,1,0,3.2,4,11.4,2,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,4,0.4,32,3,2,0,5,0,0.5,0.3,0.1,0.2,0,0,5,0,7,0,1
"SAVEON BROWN","BUFFALO",74,86.68,"A",70.4,74.6,59.2,54.6,8,4,4,0,NA,1,0.5,16,1,12,2,1,1,1,0,3,0,0,NA,0,0,1,0,0,0,0,0,0,0.111,2,1,0,4,6,3,5,2,0.667,48,1,0,0,2,0.023,0.667,0.333,0.333,0,0,0.25,9,0,5,0,1
"KOBI ALBERT","SO MISS",33,86.67,"A",90.8,90.9,62.3,NA,2,0,1,0,NA,3,0,2.7,3,14.2,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0.333,16,1,0,0,1,0,0.167,0.167,0.5,0,0,0,2,0,1,0,3
"KOBI BLACKWELL","BUFFALO",71,84.59,"A",75.9,76,67.6,58.8,5,0,3,1,NA,0,9,3.2,1,7.7,3,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,4,0.667,19,1,1,0,3,0,0.5,0.167,0,0.167,0,0,5,0,3,0,0
