"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"CHIBBY NWAJUAKU","RICE",25,100,"A"
"DYLAN LABARBERA","NEVADA",63,95.98,"A"
"ZACH JOHNSON","TOLEDO",61,93.51,"A"
"ESAIA BOGAR","WYOMING",60,84.29,"A"
"JABRIEL RHODES-NELSON","GA STATE",22,83.63,"A"
"TAKARI HICKLE","OREGON ST",53,82.64,"A"
"BRANDON GORHAM","DELAWARE",23,79.71,"B"
"JEREMIAH TUIILEILA","S JOSE ST",37,78.77,"B"
"XAVIER ESQILLION","GA STATE",19,78.42,"B"
"JAHZON JACKS","FRESNO ST",39,76.3,"B"
"NOAH MATTHEWS","DELAWARE",29,76.27,"B"
"MATTHEW STENBROTEN","N DAK ST",25,76.15,"B"
"THOMAS DAVIS","TULSA",61,76.12,"B"
"IAN MITCHELL","JVILLE ST",24,75.89,"B"
"MITCHELL TONEY","COAST CAR",58,74.54,"B"
"J'MOND TAPP","MEMPHIS",47,74.31,"B"
"ELIAS RUDOLPH","UNLV",31,74.06,"B"
"OMARI ABOR","AKRON",61,73.96,"B"
"CAMRON COOPER","UTSA",46,71.73,"B"
"BRADY NASSAR","S DIEGO ST",54,70.85,"B"
"WILL HAVERLAND","OREGON ST",50,70.67,"B"
"KELVON MCBRIDE","MARSHALL",52,69.79,"B"
"JUSTIN STEARNS","S JOSE ST",36,68.15,"B"
"MICHAEL WILLIAMS II","USF",48,67.22,"B"
"KORVER DEMMA","C MICHIGAN",46,67.04,"B"
"DONNIE SMITH","TROY",67,66.42,"B"
"KAMERON CYPRIEN","SO MISS",25,64.36,"B"
"AUSTIN CHAMBERS","SACRAMENTO",23,63.75,"B"
"KA'EO AKANA","HAWAII",36,61.78,"B"
"KAI WALLIN","S DIEGO ST",36,61.74,"B"
"CURTIS SIMPSON","CHARLOTTE",42,61.44,"B"
"KYRAN DUHON","TULSA",46,61.26,"B"
"DARREN AGU","NEW MEXICO",31,61.22,"B"
"KELTON MCCASLIN","N DAK ST",20,61.06,"B"
"JAYDEN VIRGIN-MORGAN","BOISE ST",53,60.42,"B"
"MATYUS MCLAIN","WASH STATE",48,59.89,"C"
"JAMES WALLEY JR.","UTSA",36,58.66,"C"
"BRETT KARHU","NEW MEXICO",28,58.47,"C"
"POASA UTU","NEVADA",43,58.35,"C"
"WARREN ROBERTS JR.","TULANE",23,57.8,"C"
"FESTUS DAVIES","GA SOUTHRN",19,56.98,"C"
"TYMERE JACKSON","TEXAS ST",25,56.92,"C"
"BRODY HENDERSON","SM HOUSTON",45,56.86,"C"
"KAI RUSSELL","KENNESAW",19,56.57,"C"
"RAMON PERNAS","SO MISS",19,55.56,"C"
"NATHAN VANTIMMEREN","C MICHIGAN",30,54.98,"C"
"KEVONTAY WELLS","LA MONROE",29,54.74,"C"
"JAMAIR DIAZ","TEMPLE",17,54.21,"C"
"JOSAIAH KNIGHT","W KENTUCKY",23,53.89,"C"
"JAMEER LEWIS","SO MISS",16,53.88,"C"
"TYLER GILLISON","OHIO",44,53.83,"C"
"ANDRE PORTER","UNLV",38,52.6,"C"
"GABE PETERSON","NEW MEX ST",31,52,"C"
"ANDREW ZOCK","TOLEDO",62,51.92,"C"
"KADE KOSTUS","BOWL GREEN",54,51.83,"C"
"JACARI BENNETT","BUFFALO",19,51.66,"C"
"KENJI SCANLAN","UNLV",22,51.6,"C"
"QUINCY BYAS","E MICHIGAN",61,51.35,"C"
"MJ STROUD","GA SOUTHRN",23,51.16,"C"
"DYLAN HAMPSTEN","FRESNO ST",35,51.09,"C"
"ELIJAH KINSLER","MEMPHIS",42,50.04,"C"
"MARLIN DEAN","UAB",39,49.32,"C"
"KENO JONES","TROY",46,49.06,"C"
"IKE ACKERMAN","OHIO",42,48.73,"C"
"JAVEN GIBSON","DOMINION",30,48.72,"C"
"AMAR THOMAS","JAMES MAD",42,48.6,"C"
"DJIBRIL RAHMAN","S DIEGO ST",52,48.57,"C"
"BOL BOL","BOISE ST",19,48.49,"C"
"MUAAZ BYARD","UAB",39,47.42,"C"
"JULIEN DAVIS","E CAROLINA",35,47.17,"C"
"C.J. HICKS","USF",66,47.03,"C"
"KENYON AGURS","COLO STATE",32,46.72,"C"
"CAMERON JONES","TEMPLE",24,46.72,"C"
"DAVIER BISHOP","TEMPLE",18,46.68,"C"
"MARCUS PATTERSON","KENNESAW",19,46.36,"C"
"MAX STEGE","BOISE ST",48,46.23,"C"
"JAEDEN CALENDER","LA MONROE",44,46.22,"C"
"DJ WARNER","WASH STATE",45,46.09,"C"
"REEVES BALLER","NEW MEX ST",21,45.8,"C"
"AHMAAD FOSTER","DOMINION",19,45.37,"C"
"MATHIAS MALAKI-DONALDSON","MIDDLE TN",23,45.03,"C"
"LINUS ZUNK","WASH STATE",48,44.41,"C"
"KALEB STEWART","BALL ST",26,44.12,"C"
"LAYTON STARKS","BALL ST",27,44.08,"C"
"DJ BURGESS","CHARLOTTE",47,43.68,"C"
"JALEN CHARLES","NEW MEXICO",16,43.64,"C"
"JUSTIN THOMAS","BALL ST",25,43.3,"C"
"RONN HARDIN","E MICHIGAN",33,42.24,"C"
"AIDEN LYCZEK","NAVY",34,41.84,"C"
"SEDRICK VESSAH","BUFFALO",26,41.67,"C"
"JACARIUS CLAYTON","MARSHALL",29,41.3,"C"
"CHRIS FORBES","DOMINION",25,40.57,"C"
"JOJO ODOM","LA TECH",18,40.56,"C"
"PRIEST ASHE","LA LAFAYET",30,40.53,"C"
"ASHLEY WILLIAMS","LA LAFAYET",25,40.35,"C"
"ELIJAH BALDWIN","UTSA",39,40.17,"C"
"MYLES BRADLEY","BOWL GREEN",53,39.82,"D"
"REGGIE JOHNSON","MIDDLE TN",21,39.33,"D"
"KEVON MERRELL","E CAROLINA",37,39.31,"D"
"KENDRICK DUJOUR","E CAROLINA",28,38.7,"D"
"AIDAN BUTTS","MIDDLE TN",24,38.24,"D"
"TRE'MON HENRY","S ALABAMA",17,38.02,"D"
"KAMERON BROWN","NEVADA",30,37.89,"D"
"AIDEN BENTON","APP STATE",36,37.87,"D"
"OBINNA OKEKE","NEW MEX ST",21,37.76,"D"
"JOSH LEWIS","TULANE",48,37.58,"D"
"ETHAN CRISP","LIBERTY",19,37.54,"D"
"KAVION HENDERSON","TROY",27,37.49,"D"
"CALEB SANDSTROM","APP STATE",36,37.32,"D"
"CJ WILSON","LA MONROE",30,37.31,"D"
"TRACE SCOTT III","DELAWARE",33,37.08,"D"
"MARVELL EGGLESTON","E MICHIGAN",16,36.91,"D"
"CHANDAVIAN BRADLEY","COAST CAR",32,36.85,"D"
"JAMES STEEL","DELAWARE",21,36.8,"D"
"UDOKA EZEANI","N TEXAS",19,36.75,"D"
"RICHARD KRAMER","GA STATE",19,36.7,"D"
