"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"DORIAN PRINGLE","BOWL GREEN",60,100,"A",70.6,86.3,56.8,49.3,15,2,10,5,2,1,1,0,109.7,1.84,NA,0,0.7,0,23,0,1,0,0,1,0,1,0,NA,0,0,0,0,0,0,0.063,10,0,5,2,2,2,6,2,0,2,0.667,46,1,0,0,3,0.04,1,0.333,0,15.3,0,0,0.5,16,0,9
"MATHIS HAYGOOD","SO MISS",32,98.72,"A",88.5,91.9,66.1,63.1,9,3,6,1,3,0,0.6,0,0,0,NA,1,0,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,5,1,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3
"JORDAN THOMPSON","COAST CAR",67,89.86,"A",65.5,61,68.8,65.7,11,6,5,0,6,0,3,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,2,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5
"DILLON MOORE","W MICHIGAN",47,85.39,"A",88.6,75.1,64.6,88.8,9,1,5,1,1,0,5.14,1,0,0,NA,1,6,0,0,1,1,0,0,1,0,0,0,NA,0,0,1,0,0,0,0.1,5,0,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111,0,10,0,8
"JULIAN FOX","TOLEDO",88,84.39,"A",82.7,74,57.7,83.9,10,3,3,1,3,0,3.5,0,70.1,0.18,NA,0,2.3,0,3.5,0,0,1,0,0,0,0,1,NA,1,0,0,0,0,0,0,2,1,2,0,0,3,2,0,3,2,0.667,7,0,1,0,1,0,0.333,0,0,2.3,0.333,0,0,10,0,5
"JA'MEZ DRUMMER","DOMINION",37,83.9,"A",77.8,77.8,74.6,62.7,9,2,5,2,2,0,3.2,0,39.6,0,NA,0,-3,0,0,1,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,4,1,2,0,1,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,5
"ZHERIC HILL","LA TECH",29,82.64,"A",84.6,90.1,63.6,62.5,4,1,3,3,1,0,-2.67,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"EJ SMITH","NEVADA",61,80.49,"A",73.9,68.5,72.6,74.6,15,4,5,1,3,1,7.5,0,96.9,0.85,NA,0,3,1,7.3,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0.063,1,4,2,1,1,4,5,2,4,4,1,29,1,0,0,4,0,1,0.25,0,7.3,0,0,0.125,16,0,10
"TYTUS KHAJAVI","FRESNO ST",38,79.8,"B",73.2,83.4,56.5,59.8,8,4,4,1,2,0,2,0,56.3,0.28,NA,1,9,2,5,0,0,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,4,0,1,1,1,4,1,1,1,1,0.5,5,0,0,0,2,0,1,0,0,2.5,0,0,0,8,0,2
"CURLY ORDONEZ","TEMPLE",53,79.25,"B",79.1,91.9,68.3,59.4,8,1,5,3,1,1,1.57,0,87.5,0.16,NA,0,-5,0,5,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.111,5,0,3,1,2,1,1,1,0,1,1,5,0,0,0,1,0,1,0,0,5,0,0,1,9,0,6
