"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"HAUSS HEJNY","COLO STATE",70,100,"A"
"DAVID MCCOMB","MIAMI OH",48,88.74,"A"
"MICHAEL VAN BUREN JR.","USF",56,87.6,"A"
"CADEN VELTKAMP","FAU",90,83.44,"A"
"DRU DESHIELDS","KENT STATE",39,78.42,"B"
"CIBASTIAN BROUGHTON","AKRON",57,78.2,"B"
"EJ COLSON JR.","UTEP",40,77.5,"B"
"JAYDEN MANDAL","FRESNO ST",45,76.69,"B"
"LUNCH WINFIELD","LA LAFAYET",52,73.94,"B"
"CADEN CREEL","JVILLE ST",58,70.96,"B"
"BRADEN ATKINSON","OREGON ST",78,69.81,"B"
"TAYVEN JACKSON","N TEXAS",58,68.13,"B"
"MADDUX MADSEN","BOISE ST",68,67.85,"B"
"DEUCE BAILEY","COAST CAR",69,67.23,"B"
"MARCUS STOKES","MEMPHIS",60,66.12,"B"
"BISHOP DAVENPORT","S ALABAMA",82,65.89,"B"
"KELDRIC LUSTER","BALL ST",55,64.26,"B"
"SKYLER LOCKLEAR","MO STATE",41,63.9,"B"
"JJ KOHL","FIU",78,63.76,"B"
"MALACHI SINGLETON","APP STATE",52,63.46,"B"
"BROC LOWRY","W MICHIGAN",69,63.11,"B"
"QUINN HENICLE","DOMINION",56,61.39,"B"
"RICKIE COLLINS","KENNESAW",58,60.62,"B"
"CAMERAN BROWN","GA STATE",42,60.56,"B"
"LUKE WEAVER","S JOSE ST",80,58.93,"C"
"JOHN ALAN RICHTER","TOLEDO",45,54.31,"C"
"MITCH GRIFFIS","E CAROLINA",34,53.95,"C"
"TOA FA'AVAE","NEW MEXICO",33,51.16,"C"
"CARLOS DEL RIO-WILSON","MARSHALL",48,50.4,"C"
"GRADY BROSTERHOUS","UTAH ST",26,49.72,"C"
"BRAD JACKSON","TEXAS ST",46,49.61,"C"
"LANDYN LOCKE","SM HOUSTON",73,49.44,"C"
"BROCK GLENN","W KENTUCKY",4,48.07,"C"
"TYLER HUGHES","WYOMING",55,47.42,"C"
"KADIN SEMONZA","TULANE",40,46.53,"C"
"JASON WRIGHT","BUFFALO",NA,46.11,"C"
"NOAH KIM","E MICHIGAN",69,46.09,"C"
"GOOSE CROWDER","TROY",69,45.82,"C"
"CAMDEN COLEMAN","JAMES MAD",15,45.37,"C"
"AJ BIANCO","NEVADA",NA,44.06,"C"
"RYDER BURTON","UAB",82,43.56,"C"
"MICAH ALEJADO","HAWAII",77,43.25,"C"
"TREY OWENS","ARK STATE",63,41.21,"C"
"ROMAN GAGLIANO","MIDDLE TN",51,39.01,"D"
"MATT VEZZA","OHIO",8,38.97,"D"
"LIAM SZARKA","AIR FORCE",50,38.23,"D"
"AUSTIN CARLISLE","LA MONROE",29,38.18,"D"
"JACKSON ARNOLD","UNLV",65,37.88,"D"
"TARON DICKENS","N ILLINOIS",30,37.47,"D"
"OWEN MCCOWN","UTSA",52,35.29,"D"
"CADEN PINNICK","WASH STATE",58,33.02,"D"
"TREY HEDDEN","NEW MEX ST",55,32.46,"D"
"NICK MINICUCCI","DELAWARE",59,32.03,"D"
"JACURRI BROWN","RICE",53,31.54,"D"
"MAX JOHNSON","GA SOUTHRN",59,31.27,"D"
"ANGEL FLORES","C MICHIGAN",25,29.66,"D"
"COLE GONZALES","CHARLOTTE",76,29.23,"D"
"DESHAWN PURDIE","LIBERTY",67,28.17,"D"
"BAYLOR HAYES","TULSA",61,27.65,"D"
"ELIJAH HOLMES","BUFFALO",84,26.6,"D"
"ETHAN HAMPTON","SO MISS",64,22.97,"D"
"JAXON SMOLIK","TEMPLE",30,21.45,"D"
"BLAKE BAKER","LA TECH",28,15.43,"F"
"JAYDEN DENEGAL","S DIEGO ST",49,14.45,"F"
"JAY KASTANTIN","BOWL GREEN",69,11.33,"F"
"RODNEY TISDALE JR.","W KENTUCKY",81,0.31,"F"
"LUKE DUNCAN","NEVADA",4,0,"F"
