"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"DYLAN RILEY","BOISE ST",0,"HB",2026,"Pac-12",83,14,21,218,10.4,0,8,0,0,9,124,5.9,94,4.5,0,0.381,0.43,6,0,"BOISE ST",0,"Pac-12",67,3,22,1,2,2,11,5.5,0,1,0,0,0,2,0,0,16,8,4,0,0.5,-2.5,0,0,"100%","0.00%","0.00%",89.6,0.091,0.091,0,"100%","Pac-12","G5",40,100,"A"
"MEL BROWN","COLO STATE",1,"HB",2026,"Pac-12",92.5,6,9,171,19,2,4,0,0,6,59,6.6,112,12.4,0,0.444,0.67,2,0.111,"COLO STATE",1,"Pac-12",28.8,2,7,0,3,1,3,3,0,0,2,0,0,3,0,0,5,5,1,0,0.43,2,0,0,"33.30%","66.70%","0.00%",42.4,0.143,0.429,0,"33.30%","Pac-12","G5",26,94.67,"A"
"JAHIEM WHITE","N TEXAS",1,"HB",2026,"The American",84.2,9,13,122,9.4,1,7,0,0,8,35,2.7,87,6.7,0,0.538,0.62,5,0.154,"N TEXAS",1,"The American",54.3,2,21,0,3,2,34,17,1,1,1,0,0,3,0,0,42,21,35,0,1.62,-4.7,1,2,"66.70%","33.30%","0.00%",144.4,0,0.143,0,"66.70%","The American","G5",44,92.02,"A"
"JAYLIN LUCAS","TULANE",12,"HB",2026,"The American",84,8,11,214,19.4,1,4,0,0,4,87,7.9,127,11.6,0,0.364,0.36,4,0.091,"TULANE",12,"The American",56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",18,91.01,"A"
"JABARI BATES","S JOSE ST",6,"HB",2026,"MWC",78.5,14,27,163,6,0,12,0,0,4,70,2.6,93,3.4,0,0.444,0.15,8,0.222,"S JOSE ST",6,"MWC",63.2,1,17,0,1,1,14,14,0,1,0,0,0,1,0,0,19,19,4,0,0.82,-5,0,0,"100%","0.00%","0.00%",118.8,0,0.059,0,"100%","MWC","G5",58,87.8,"A"
"TORRANCE BURGESS JR.","TEXAS ST",4,"HB",2026,"Pac-12",81.2,13,18,151,8.4,0,6,0,0,12,12,0.7,139,7.7,0,0.333,0.67,4,0.056,"TEXAS ST",4,"Pac-12",56.1,0,10,0,1,1,6,6,0,0,0,0,0,1,0,0,4,4,0,0,0.6,2,0,0,"100%","0.00%","0.00%",91.7,0,0.1,0,"100%","Pac-12","G5",23,85.7,"A"
"JAHEIM MERRIWEATHER","TROY",3,"HB",2026,"Sun Belt",71.8,7,13,127,9.8,3,6,0,0,4,44,3.4,83,6.4,0,0.462,0.31,4,0.077,"TROY",3,"Sun Belt",59.5,1,8,0,1,1,3,3,0,0,0,0,0,1,0,0,4,4,2,0,0.38,-1,0,0,"100%","0.00%","0.00%",79.2,0,0.125,0,"100%","Sun Belt","G5",16,78.28,"B"
"NICK HERMAN","JAMES MAD",23,"HB",2026,"Sun Belt",71.6,6,9,132,14.7,2,4,0,0,3,102,11.3,30,3.3,0,0.444,0.33,4,0,"JAMES MAD",23,"Sun Belt",61.9,1,6,0,1,1,11,11,0,0,0,0,0,1,0,0,17,17,4,0,1.83,-6,0,0,"100%","0.00%","0.00%",112.5,0,0.167,0,"100%","Sun Belt","G5",3,73.92,"B"
"ASHTON GRAY","E CAROLINA",3,"HB",2026,"The American",84.4,9,17,125,7.3,0,6,0,0,9,36,2.1,89,5.2,0,0.353,0.53,3,0,"E CAROLINA",3,"The American",61.1,1,19,0,1,1,9,9,0,0,0,0,0,1,0,0,5,5,1,0,0.47,4,0,0,"100%","0.00%","0.00%",104.2,0,0.053,0,"100%","The American","G5",18,72.98,"B"
"TJ HORTON","BALL ST",4,"HB",2026,"MAC",89.5,5,9,125,13.9,1,4,0,0,3,41,4.6,84,9.3,0,0.444,0.33,4,0,"BALL ST",4,"MAC",57.9,0,17,0,4,3,-4,-1.3,0,0,0,0,0,3,0,0,10,3.3,4,0,-0.24,-2.8,0,3,"100%","0.00%","0.00%",77.1,0.118,0.235,0,"75.00%","MAC","G5",26,70.71,"B"
"BRYSON DONELSON","FRESNO ST",6,"HB",2026,"Pac-12",81.6,6,13,102,7.8,3,4,0,0,5,52,4,50,3.9,0,0.308,0.38,2,0,"FRESNO ST",6,"Pac-12",57.6,0,11,0,1,1,-1,-1,0,0,0,0,0,1,0,0,0,0,0,0,-0.09,-1,0,0,"100%","0.00%","0.00%",79.2,0,0.091,0,"100%","Pac-12","G5",19,67.99,"B"
"JORDAN GANT","AKRON",1,"HB",2026,"MAC",84.5,9,12,82,6.8,1,6,0,0,4,23,1.9,59,4.9,0,0.5,0.33,4,0.167,"AKRON",1,"MAC",73.6,2,22,0,4,4,20,5,0,1,0,0,0,4,0,0,25,6.3,12,0,0.91,-1.3,0,1,"100%","0.00%","0.00%",87.5,0,0.182,0,"100%","MAC","G5",33,66.69,"B"
"JAMES JONES","NEW MEX ST",2,"HB",2026,"C-USA",77.7,10,14,79,5.6,1,6,0,0,6,0,0,79,5.6,0,0.429,0.43,3,0.214,"NEW MEX ST",2,"C-USA",67.3,1,15,0,3,2,14,7,0,1,0,0,0,3,0,0,24,12,2,0,0.93,-3,1,0,"66.70%","0.00%","0.00%",77.1,0,0.2,0,"66.70%","C-USA","G5",28,65.53,"B"
"TREQUAN JONES","TULSA",3,"HB",2026,"The American",78,6,9,121,13.4,2,3,0,0,4,24,2.7,97,10.8,0,0.333,0.44,2,0,"TULSA",3,"The American",56.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","The American","G5",16,64.87,"B"
"MARKELL HOLMAN","WYOMING",8,"HB",2026,"MWC",70.8,8,12,97,8.1,0,5,1,1,4,12,1,85,7.1,0,0.417,0.33,5,0.083,"WYOMING",8,"MWC",84.1,4,15,0,5,5,27,5.4,0,0,0,0,0,5,0,0,37,7.4,7,0,1.8,-2,0,0,"100%","0.00%","0.00%",89.2,0.2,0.333,0,"100%","MWC","G5",3,60.61,"B"
"TELLY JOHNSON JR.","N ILLINOIS",45,"HB",2026,"MWC",70.6,10,22,85,3.9,1,10,0,0,5,18,0.8,67,3,0,0.455,0.23,3,0.045,"N ILLINOIS",45,"MWC",61.5,4,29,0,4,3,6,2,0,1,0,0,0,3,0,0,13,4.3,3,0,0.21,-2.5,0,0,"100%","0.00%","0.00%",37.5,0.069,0.138,0,"75.00%","MWC","G5",29,59.69,"C"
"PJ MARTIN","S ALABAMA",0,"HB",2026,"Sun Belt",72.3,6,15,73,4.9,1,5,0,0,2,18,1.2,55,3.7,0,0.333,0.13,3,0.2,"S ALABAMA",0,"Sun Belt",81.2,4,18,0,5,5,37,7.4,0,1,0,0,0,5,0,0,59,11.8,28,0,2.06,-4.4,1,6,"100%","0.00%","0.00%",97.5,0,0.278,0,"100%","Sun Belt","G5",39,58.57,"C"
"JALEN BONDS","BALL ST",2,"HB",2026,"MAC",79.7,3,6,77,12.8,1,2,0,0,0,24,4,53,8.8,0,0.333,0,2,0,"BALL ST",2,"MAC",79.7,2,7,1,1,1,23,23,1,1,0,0,0,1,0,0,0,0,0,0,3.29,28,1,0,"100%","0.00%","0.00%",158.3,0,0.143,1,"100%","MAC","G5",18,57.46,"C"
"SCOTTRE HUMPHREY","NEW MEXICO",22,"HB",2026,"MWC",68.5,8,16,110,6.9,2,7,0,0,2,26,1.6,84,5.3,0,0.438,0.13,4,0,"NEW MEXICO",22,"MWC",56,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MWC","G5",32,56.91,"C"
"ROD ROBINSON II","UAB",2,"HB",2026,"The American",74.7,14,22,120,5.5,0,6,0,0,4,53,2.4,67,3,0,0.273,0.18,3,0.136,"UAB",2,"The American",36.4,1,14,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,"0.00%","100%","0.00%",39.6,0,0.071,0,"0.00%","The American","G5",32,54.93,"C"
"BRYSON ROLAND","LA MONROE",25,"HB",2026,"Sun Belt",75.8,10,19,86,4.5,0,6,0,0,6,43,2.3,43,2.3,0,0.316,0.32,3,0.053,"LA MONROE",25,"Sun Belt",57,1,10,0,1,1,8,8,0,0,0,0,0,1,0,0,11,11,2,0,0.8,-3,0,0,"100%","0.00%","0.00%",100,0,0.1,0,"100%","Sun Belt","G5",27,54.37,"C"
"DEVON RICE","HAWAII",1,"HB",2026,"MWC",75.1,6,15,60,4,2,4,0,0,3,10,0.7,50,3.3,0,0.267,0.2,2,0.4,"HAWAII",1,"MWC",56.2,0,19,0,2,1,-3,-3,0,0,0,0,0,1,0,0,3,3,1,0,-0.16,-4.5,0,0,"100%","0.00%","0.00%",56.3,0,0.105,0,"50.00%","MWC","G5",53,53.78,"C"
"TAVORUS JONES","UTEP",0,"HB",2026,"MWC",72.5,11,18,111,6.2,1,5,0,0,1,60,3.3,51,2.8,0,0.278,0.06,3,0.222,"UTEP",0,"MWC",54,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MWC","G5",27,51.96,"C"
"SIRE GAINES","BOISE ST",26,"HB",2026,"Pac-12",75.5,11,18,97,5.4,1,5,0,0,2,44,2.4,53,2.9,0,0.278,0.11,3,0.056,"BOISE ST",26,"Pac-12",58.5,0,11,0,1,1,4,4,0,0,0,0,0,1,0,0,7,7,2,0,0.36,-3,0,0,"100%","0.00%","0.00%",83.3,0,0.091,0,"100%","Pac-12","G5",31,51.8,"C"
"LANEAR MCCRARY JR.","GA STATE",5,"HB",2026,"Sun Belt",66.9,11,19,108,5.7,1,5,1,1,4,47,2.5,61,3.2,0,0.263,0.21,5,0,"GA STATE",5,"Sun Belt",53.8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",24,51.49,"C"
"RAMONE GREEN JR.","MO STATE",22,"HB",2026,"C-USA",69.5,7,12,80,6.7,2,4,0,0,2,35,2.9,45,3.8,0,0.333,0.17,2,0.083,"MO STATE",22,"C-USA",60.4,0,8,0,1,1,3,3,0,0,0,0,0,1,0,0,2,2,1,0,0.38,1,0,0,"100%","0.00%","0.00%",79.2,0,0.125,0,"100%","C-USA","G5",10,50.94,"C"
"JAYLIN CARTER","MEMPHIS",6,"HB",2026,"The American",64.6,2,9,95,10.6,1,1,0,0,1,68,7.6,27,3,0,0.111,0.11,1,0.222,"MEMPHIS",6,"The American",65.9,1,8,0,1,1,13,13,0,1,0,0,0,1,0,0,15,15,3,0,1.63,-2,0,1,"100%","0.00%","0.00%",118.8,0,0.125,0,"100%","The American","G5",30,50.29,"C"
"SEAN PATRICK","AKRON",13,"HB",2026,"MAC",72.4,6,9,58,6.4,0,3,0,0,2,27,3,31,3.4,0,0.333,0.22,1,0,"AKRON",13,"MAC",79,2,19,0,4,4,72,18,1,2,0,0,0,4,0,0,37,9.3,18,0,3.79,8.8,2,1,"100%","0.00%","0.00%",158.3,0,0.211,0.25,"100%","MAC","G5",26,49.03,"C"
