"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Receiving.Yards","Receiving.Touchdowns","Targets","Receptions","Receiving.Yards.after.Contract","Contested.Targets","Receiving.Grade","Snaps.on.Press.Coverage","Yards.per.Route.Run","Passer.Rating.when.Targetted","Missed.Tackles.forced.on.Receptions","Yards.After.Catch.per.Reception","Average.Depth.of.Target","Contested.Catches","Dropped.Passes","Fumbles","Fumbles.Lost","Receiving.Snaps","Receiving.First.Downs","Catchable.Targets","Contested.Catches.Percentage","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Explosive.Plays","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Percentage.of.Targets.per.Receiving.Snaps"
"TY THOMPSON","TULANE",27,15.74,"F",8,0,2,2,-1,1,57.7,0,1,83.3,0,-0.5,4.5,1,0,0,0,8,0,2,1,0.125,0.25,0,0,1,0,1
"JEREMIAH SCOBY","BOWL GREEN",49,15.7,"F",19,0,6,2,1,1,54.2,0,0.95,3.5,0,4,2.2,0,1,0,0,20,1,3,0,0.15,0.3,0,0,0.667,0.333,0.333
"FABIAN ROGOSCH","TROY",30,15.45,"F",8,0,1,1,2,0,62.7,0,8,100,0,5,3,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
"HUNTER HOPPERTON","KENT STATE",22,15.25,"F",16,0,4,4,3,0,60,0,1.45,83.3,0,1.3,2.8,0,0,0,0,11,0,4,0,0,0.364,0,0,1,0,1
"JORDAN CLARK","RICE",25,14.87,"F",17,0,3,2,6,0,62.8,0,1.42,81.3,1,4,7,0,0,0,0,12,0,2,0,0.167,0.25,0,0,1,0,0.667
"TREVOR WILSON","BUFFALO",52,14.81,"F",32,0,3,2,3,0,54.2,0,1.19,102.1,0,5.5,12.7,0,1,0,0,27,1,3,0,0,0.111,0,1,0.667,0.333,0.667
"ISAIAH BUTLER-TANNER","UTSA",29,14.81,"F",14,0,1,1,2,0,59.2,1,0.74,118.8,0,8,6,0,0,0,0,19,1,1,0,0,0.053,0,0,1,0,1
"LEON HAUGHTON JR.","DOMINION",55,14.58,"F",7,1,1,1,0,0,60.1,0,0.29,135.4,0,0,13,0,0,0,0,24,1,1,0,0,0.042,0,0,1,0,1
"MAX WHISNER","SM HOUSTON",27,14.54,"F",17,0,3,3,4,0,63.4,0,1.06,90.3,0,5,0.7,0,0,0,0,16,0,3,0,0,0.188,0,0,1,0,1
"ELI JACON-DUFFY","BOWL GREEN",63,14.25,"F",16,0,2,2,3,0,63.4,0,1,100,0,7.5,0.5,0,0,0,0,16,1,2,0,0,0.125,0,0,1,0,1
"ISMAEL SMITH FLORES","E CAROLINA",23,14.16,"F",11,0,2,1,0,0,52.2,2,0.52,66.7,0,0,23,0,0,0,0,21,0,1,0,0.095,0.095,0.5,0,1,0,0.5
"ELIJAH SESSOMS","DELAWARE",30,13.88,"F",0,0,2,0,0,1,52.5,2,0,39.6,0,0,10,0,0,0,0,18,0,1,0,0.111,0.111,0,0,0,0,0
"JACK PEDERSEN","WASH STATE",54,13.41,"F",1,0,4,2,0,1,45.7,1,0.06,56.3,0,0,5,0,1,0,0,17,0,3,0,0.059,0.235,0,0,0.667,0.333,0.5
"KACHE KAIO","UTAH ST",57,12.98,"F",7,0,1,1,1,0,52,2,0.44,95.8,0,2,5,0,0,0,0,16,0,1,0,0.063,0.063,0,0,1,0,1
"TATE HOOVER","BALL ST",43,12.83,"F",3,1,2,1,0,0,55,0,0.12,95.8,0,0,15,0,0,0,0,26,1,1,0,0.039,0.077,0,0,1,0,0.5
"JERRY LYDIATT","NEW MEX ST",28,12.56,"F",3,0,2,1,1,1,59.3,0,0.75,56.3,0,3,0.5,0,0,0,0,4,0,1,0,0,0.5,0,0,1,0,0.5
