"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"BRIAN WILLIAMS JR.","UTEP",52,100,"A",80.9,0.154,67.1,0.037,0,0,0,0,0,0,0
"ADAM LEPKOWSKI","UAB",70,82.36,"A",69.1,0.114,75,0.104,0,0,0,0,1,0,0
"COLIN LYONS","AKRON",71,75.37,"B",78.4,0.085,76.2,0,0,0,0.022,1,0,0,0
"VAN WELLS","OREGON ST",74,74.41,"B",67.9,0.04,86.9,0.167,0,0,0,0,0,0,0
"PHILLIP OCON","COLO STATE",66,73.41,"B",68.1,0.061,83.6,0.071,0,0,0,0,0,0,0
"ISAAC LUCAS","S DIEGO ST",57,73.38,"B",62.1,0.07,82.8,0.152,0,0,0,0,0,0,0
"ALEXIS SANCHEZ","BOWL GREEN",49,72.57,"B",67.1,0.061,83.2,0.077,0,0,0,0,0,0,0
"JOHN BOCK II","TULANE",44,71.36,"B",64.9,0.068,74.9,0.125,0,0,0,0,0,0,0
"GRANT HAWORTH","BALL ST",73,70.89,"B",68.3,0.055,79.7,0.074,0,0,0,0,0,0,0
"DAVEION HARLEY","FIU",77,66.17,"B",63.1,0.052,85.2,0.056,0,0,0,0,0,0,0
"LANDON HRON","N ILLINOIS",70,64.34,"B",63,0.043,85,0.065,0,0,0,0,0,0,0
"CHANDLER STRONG","N TEXAS",66,64.24,"B",71.5,0.091,67.2,0.094,0.029,0,0.059,1,0,1,0
"KAIN MCDONALD","COAST CAR",50,63.97,"B",56.3,0.04,83.8,0.211,0,0,0,0,0,0,0
"JACOB NORCROSS","NEVADA",74,63.84,"B",62.3,0.027,86.3,0.133,0,0,0,0,0,0,0
"LOSINI MAKA","C MICHIGAN",43,62.8,"B",67.6,0.07,61.3,0.083,0.053,0,0.053,0,0,0,1
