"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"JESSE LEGREE","OREGON ST",46,100,"A",12,"WR",2026,"Pac-12",85.4,11,48,5,12,8,240,30,2,8,0,0,0,8,0,0,99,12.4,20,0,5,20.8,7,1,1,0,"0.00%",114.6,0.146,0.25,0.5,0.667,"G5",0.666666666666667,20,0.25
"CHANCE MORROW","BUFFALO",69,99.12,"A",6,"WR",2026,"MAC",84.3,12,42,10,16,12,190,15.8,2,8,0,0,0,12,2,0,52,4.3,17,0,4.52,14.2,5,1,1,0,"12.50%",127.6,0.024,0.381,0.375,0.75,"G5",0.75,11.875,0.380952380952381
"EASTON MESSER","FAU",90,96.46,"A",8,"WR",2026,"The American",81,10,38,2,12,11,210,19.1,2,6,0,1,0,11,0,0,105,9.6,31,0,5.53,9.3,4,3,1,0,"0.00%",158.3,0.316,0.316,0.167,0.917,"G5",0.916666666666667,17.5,0.31578947368421
"MAGUIRE ANDERSON","FIU",48,81.87,"A",2,"WR",2026,"C-USA",79.7,5,19,3,7,5,99,19.8,2,4,0,0,0,5,2,1,34,6.8,15,0.5,5.21,16.1,3,2,1,0,"28.60%",153.3,0.211,0.368,0.286,0.714,"G5",0.714285714285714,14.1428571428571,0.368421052631579
"BRENDAN JENKINS","S ALABAMA",76,79.32,"B",5,"WR",2026,"Sun Belt",72.9,9,43,5,14,9,119,13.2,1,6,0,0,0,9,5,4,23,2.6,12,0.8,2.77,13.7,4,2,1,0,"35.70%",114.9,0.07,0.326,0.071,0.643,"G5",0.642857142857143,8.5,0.325581395348837
"DA'WAIN LOFTON","DELAWARE",38,76.25,"B",5,"WR",2026,"C-USA",79.1,3,37,2,6,4,142,35.5,1,3,0,0,0,4,0,0,88,22,87,0,3.84,10.8,3,5,1,0,"0.00%",109.7,0,0.162,0.167,0.667,"G5",0.666666666666667,23.6666666666667,0.162162162162162
"TERRENCE SMITH JR.","COLO STATE",35,74.47,"B",15,"WR",2026,"Pac-12",79.7,6,21,2,5,4,90,22.5,2,3,0,0,0,4,0,0,30,7.5,10,0,4.29,18.6,2,1,1,0,"0.00%",158.3,0,0.238,0.6,0.8,"G5",0.8,18,0.238095238095238
"CHRIS REED","SM HOUSTON",65,73.63,"B",2,"WR",2026,"C-USA",71.5,4,38,17,6,4,93,23.3,1,3,0,0,0,4,3,2,7,1.8,6,0.667,2.45,19,2,1,1,0,"50.00%",149.3,0,0.158,0.333,0.667,"G5",0.666666666666667,15.5,0.157894736842105
"JACKSON HARPER","COLO STATE",27,73.2,"B",6,"WR",2026,"Pac-12",83.1,7,20,1,8,6,102,17,1,5,0,0,0,6,1,0,56,9.3,25,0,5.1,7.6,2,3,1,0,"12.50%",156.3,0.35,0.4,0.125,0.75,"G5",0.75,12.75,0.4
"TK KEYES","TROY",49,72.64,"B",8,"WR",2026,"Sun Belt",72.2,5,29,11,6,5,119,23.8,1,3,0,0,0,5,0,0,77,15.4,75,0,4.1,9.2,1,3,1,0,"0.00%",158.3,0,0.207,0,0.833,"G5",0.833333333333333,19.8333333333333,0.206896551724138
"ISAIAH MYERS","MO STATE",30,72.31,"B",3,"WR",2026,"C-USA",78.7,5,25,7,6,5,155,31,1,3,0,0,0,5,0,0,52,10.4,7,0,6.2,19.8,2,0,1,0,"0.00%",158.3,0.04,0.24,0.333,0.833,"G5",0.833333333333333,25.8333333333333,0.24
