"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Pass.Block.Efficiency","Percentage.of.Negative.Grade","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"CHANDLER DONAWAY","WYOMING",48,100,"A",83.9,83.6,0.167,0,0,0,0,0,0,0,0
"WIL SAXTON","ARK STATE",46,99.87,"A",85.4,83,0.174,0,0,0.022,0,0,0,0,0
"NICK BAKKEN","WASH STATE",49,98.43,"A",85.4,85.6,0.143,0,0,0,0,0,0,0,0
"JUSTIN DELEON","TEXAS ST",30,87.65,"A",70.9,78.8,0.133,0,0,0,0,0,0,0,0
"BRANDON SMITH","AKRON",49,84.62,"A",73.3,86.1,0.082,0,0,0,0,0,0,0,0
"KADEN MOREAU","LA LAFAYET",45,84.24,"A",72,83,0.133,0,0,0.067,0,0,0,0,0
"KEON JOHNSON","N TEXAS",66,83.67,"A",73.8,85.9,0.091,0,0,0.03,0,0,0,0,0
"ISAIAH BULLERDICK","CHARLOTTE",28,83.6,"A",71.7,84.3,0.107,0,0,0.036,0,0,0,0,0
"JOHNATHAN BUSH","WYOMING",30,82.97,"A",73.8,79.4,0.1,0,0,0.033,0,0,0,0,0
"JAYMON LAMB","UTEP",36,81.96,"A",73.2,83.5,0.083,0,0,0.028,0,0,0,0,0
"DEVONTAE ARMSTRONG","MIAMI OH",25,80.6,"A",68.6,73.6,0.12,0,0,0.04,0,0,0,0,0
"CHASE MIDEAU","MO STATE",31,79.83,"B",69.6,77.1,0.097,0,0,0.032,0,0,0,0,0
"KALAN ELLIS","S DIEGO ST",57,79.77,"B",69.5,85,0.105,0,0,0.07,0,0,0,0,0
"TRISTIAN SMITH","ARK STATE",52,76.51,"B",75,83,0.154,0,0,0.096,0.053,1,0,0,0
"JOEP ENGBERS","LIBERTY",65,74.72,"B",70.5,71.1,0.077,0,0,0.015,0,0,1,0,0
"CALIB PEREZ","UAB",59,74.38,"B",66.6,83.8,0.085,0,0,0.085,0,0,0,0,0
"JONATHAN HARDER","TOLEDO",45,74.36,"B",69.8,78.4,0.067,0,0,0.022,0,0,1,0,0
"JACOB SCHORSCH","MIAMI OH",31,73.34,"B",66.9,82.5,0.065,0,0,0.065,0,0,0,0,0
"AHMAD CARWISE","TOLEDO",61,73.17,"B",63.2,85.9,0.033,0,0,0,0,0,0,0,0
"DYLAN SENDA","TOLEDO",31,73.09,"B",62.5,81.2,0.065,0,0,0.032,0,0,0,0,0
"BRANDON LAWHORN MOORE","MIAMI OH",26,72.55,"B",62.9,74.2,0.077,0,0,0.039,0,0,0,0,0
"GRAYSON MAINS","TEMPLE",57,72.43,"B",62.4,88.1,0.07,0,0,0.07,0,0,0,0,0
"RHETT LARSON","W KENTUCKY",74,72.39,"B",62.6,87,0.027,0,0,0,0,0,0,0,0
"MATTHEW GREENE","MO STATE",33,72.23,"B",62.1,86,0.03,0,0,0,0,0,0,0,0
"JOSIAH PETAIA","WYOMING",49,72.11,"B",64.5,83.6,0.061,0,0,0.061,0,0,0,0,0
"KALIEM CROSWELL","LA MONROE",64,71.42,"B",63.8,84.2,0.078,0,0,0.094,0,0,0,0,0
"NATHAN ELU","OREGON ST",75,70.22,"B",61.9,90.6,0.013,0,0,0.013,0,0,0,0,0
"HUNTER WHITENACK","W MICHIGAN",45,69.69,"B",60.3,83.5,0.022,0,0,0,0,0,0,0,0
"GREG SMITH JR.","MIAMI OH",30,69.28,"B",62.1,82.5,0.033,0,0,0.033,0,0,0,0,0
"EVAN BUSHONG","JAMES MAD",26,69.17,"B",62.5,80,0.039,0,0,0.039,0,0,0,0,0
"DYLAN SHAW","N TEXAS",66,68.93,"B",60.6,85.9,0.076,0,0,0.106,0,0,0,0,0
"JUBILEE SIITIA-TASI","NEW MEXICO",25,68.26,"B",61.6,70.6,0.08,0,0,0.08,0,0,0,0,0
"MALIK ALIANE","NEW MEXICO",44,68.21,"B",60,84.7,0.023,0,0,0.023,0,0,0,0,0
"BRADY BARROWMAN","BALL ST",73,68.07,"B",70,60.9,0.082,0.022,0,0.055,0.022,0,0,0,1
"AIDEN JONES","FAU",80,67.65,"B",61.4,86.6,0.025,0,0,0.05,0,0,0,0,0
"DARRELL JONES","UTSA",80,67.42,"B",66.4,79.8,0.038,0,0,0.013,0.019,1,0,0,0
"GAVIN DABO","W MICHIGAN",45,67.08,"B",59.9,83.5,0.044,0,0,0.067,0,0,0,0,0
"BRYCE PARSON","OHIO",69,66.99,"B",61,85.3,0.029,0,0,0.058,0,0,0,0,0
"VAL KONDRATENKO","BUFFALO",28,66.79,"B",59.2,84.9,0,0,0,0,0,0,0,0,0
"TYREEK MAJOR","W KENTUCKY",25,66.41,"B",60.8,79.6,0,0,0,0,0,0,0,0,0
"BRADEN HALES","COLO STATE",57,66.33,"B",73.9,79.5,0.123,0,0,0.105,0.061,2,0,0,0
"TYLER BROWN","JAMES MAD",34,66.24,"B",57.4,81.3,0.029,0,0,0.029,0,0,0,0,0
"MO CLIPPER JR.","GA SOUTHRN",26,66.02,"B",58.1,84.2,0,0,0,0,0,0,0,0,0
"NATE HAMPTON","AKRON",59,65.98,"B",77.7,54.5,0.102,0.027,0,0.068,0.054,1,0,0,1
"DOM SILVIA","CHARLOTTE",37,65.51,"B",67.4,63.4,0.054,0,0,0.054,0,0,1,0,0
"HADINE DIABY","JVILLE ST",62,65.38,"B",56.8,84.5,0,0,0,0,0,0,0,0,0
"JACKSON PRUITT","TEMPLE",57,65.12,"B",56.7,88.1,0.035,0,0,0.07,0,0,0,0,0
"AMARE TAASE","UNLV",67,65.04,"B",61.7,75.7,0.03,0.027,0,0.03,0.027,0,0,1,0
"GINO QUINONES","FRESNO ST",62,64.71,"B",57.1,85.4,0.032,0,0,0.065,0,0,0,0,0
"JAYDEN TRAPP","UTEP",28,64.44,"B",60.6,81.2,0.071,0,0,0.143,0,0,0,0,0
"RASHEED JACKSON","TEXAS ST",83,64.34,"B",60.1,78.4,0.036,0.029,0,0.048,0.029,0,0,1,0
