"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"HUNTER TIPTON","MEMPHIS",43,100,"A"
"ELIJAH ALEXANDER","AKRON",30,56.09,"C"
"LUKE GILBERT","JVILLE ST",31,43.05,"C"
"CHRISTIAN ROSS","MIAMI OH",25,38.78,"D"
"CADE KEITH","NEW MEXICO",53,37.55,"D"
"DARRIN FUGITT","APP STATE",29,37.11,"D"
"PETER CLARKE","TEMPLE",49,30.41,"D"
"RIVER HELMS","GA SOUTHRN",58,30.29,"D"
"COLE KELLER","JAMES MAD",48,30.13,"D"
"CASH CHEEKS","UTEP",32,29.97,"D"
"TEDDY GAWLIK","LA LAFAYET",36,28.83,"D"
"MATT WAGNER","BOISE ST",49,27.33,"D"
"COLESON ARENDS","W KENTUCKY",13,26.3,"D"
"WYATT SULLIVAN","USF",34,25.39,"D"
"JAKE WILSON","WYOMING",37,24.7,"D"
"KEYAN BURNETT","UNLV",38,24.25,"D"
"KYLE FRENDT","WYOMING",19,24.03,"D"
"MAX REESE","N TEXAS",47,22.19,"D"
"ZEKE WIMBUSH","LIBERTY",33,22.15,"D"
"NATE LEVICKI","W MICHIGAN",30,21.98,"D"
"RYDER KUSCH","TEMPLE",26,21.54,"D"
"JEREMIAH BECK JR.","SO MISS",24,21.42,"D"
"JUICE VEREEN","COLO STATE",28,21.36,"D"
"BRANDON YOUNG JR.","UTSA",17,20.76,"D"
"GRANT HOLLIER","GA STATE",13,19.84,"F"
"JACKSON FORD","S DIEGO ST",28,19.79,"F"
"ANDREW METZGER","OHIO",19,18.74,"F"
"SCOTT MOORE","DELAWARE",16,18.66,"F"
"TERIK MULDER","KENT STATE",25,18.31,"F"
"ERIC OLSEN","OREGON ST",45,18.18,"F"
"DEVON TAUAEFA","HAWAII",16,17.89,"F"
"LOFTON HOWARD","W KENTUCKY",34,17.88,"F"
"ELI FINLEY","LA TECH",33,17.7,"F"
"BLAKE SMITH","TEXAS ST",29,17.66,"F"
"JAKE APPLEGET","FRESNO ST",38,17.58,"F"
"KORAUN PERDUE","MIDDLE TN",12,17.3,"F"
"BRODERICK PETERS","SO MISS",38,17.14,"F"
"BLANE CLEAVER","BOWL GREEN",20,16.27,"F"
"AJ JOHNSON","FAU",74,16.25,"F"
"SCOTT ISACKS","UAB",42,16.19,"F"
"CONNER CRAVAACK","AKRON",29,16.1,"F"
"JOSH BURRELL","ARK STATE",27,16.02,"F"
"JASON FOWLER","N ILLINOIS",21,15.86,"F"
"JAMES RESAR","FIU",50,15.78,"F"
"TY THOMPSON","TULANE",27,15.74,"F"
"JEREMIAH SCOBY","BOWL GREEN",49,15.7,"F"
"FABIAN ROGOSCH","TROY",30,15.45,"F"
"HUNTER HOPPERTON","KENT STATE",22,15.25,"F"
"JORDAN CLARK","RICE",25,14.87,"F"
"TREVOR WILSON","BUFFALO",52,14.81,"F"
"ISAIAH BUTLER-TANNER","UTSA",29,14.81,"F"
"LEON HAUGHTON JR.","DOMINION",55,14.58,"F"
"MAX WHISNER","SM HOUSTON",27,14.54,"F"
"ELI JACON-DUFFY","BOWL GREEN",63,14.25,"F"
"ISMAEL SMITH FLORES","E CAROLINA",23,14.16,"F"
"ELIJAH SESSOMS","DELAWARE",30,13.88,"F"
"JACK PEDERSEN","WASH STATE",54,13.41,"F"
"KACHE KAIO","UTAH ST",57,12.98,"F"
"TATE HOOVER","BALL ST",43,12.83,"F"
"JERRY LYDIATT","NEW MEX ST",28,12.56,"F"
"DJ ASIASI","NEVADA",43,12.49,"F"
"ALEX SCHERLE","BALL ST",28,12.45,"F"
"DECORION TEMPLE","OREGON ST",54,12.32,"F"
"PRESTON KILGORE","SO MISS",34,12.24,"F"
"CLINT WALKER","BUFFALO",84,12.14,"F"
"ADAM PARKS","W MICHIGAN",52,11.87,"F"
"TOBY PAYNE","MARSHALL",49,11.65,"F"
"RUSTY VANWETZINGA IV","C MICHIGAN",21,11.55,"F"
"DAWSON JOHNSON","TULANE",26,11.45,"F"
"BRYCE ANDERSON","LA MONROE",37,10.89,"F"
"GABE MILBOURN","OREGON ST",18,10.8,"F"
"BREC LONG","N TEXAS",38,9.8,"F"
"JACKSON VERDUGO","FIU",44,9.62,"F"
"MATT SMITH","SM HOUSTON",22,9.47,"F"
"LONNIE JOHNSON","DOMINION",14,9.43,"F"
"JOSHUA LONG","E MICHIGAN",69,9.25,"F"
"LUKE DOUGLAS","APP STATE",25,8.45,"F"
"JAKE FURTNEY","OHIO",25,8.18,"F"
"GLEN WEBER","N ILLINOIS",20,8.1,"F"
"GRANT MCATEE","TULSA",11,7.79,"F"
"DILLON HIPP","MO STATE",21,7.58,"F"
"JACKSON WORLEY","TROY",60,7.46,"F"
"JAMEL HOWSE","APP STATE",22,7.29,"F"
"TAYVION GALLOWAY","MIDDLE TN",26,7.28,"F"
"ROD GIBBS","S ALABAMA",67,6.92,"F"
