"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"COLIN ALEXANDER","GA SOUTHRN",70,48.97,"C"
"BRADEN CAIN","SO MISS",60,48.36,"C"
"SAMUEL ADJIN","E MICHIGAN",53,47.84,"C"
"JOSEPH BORJON","S DIEGO ST",57,47.06,"C"
"TROY SMITH III","LA TECH",44,47,"C"
"GABRIEL ARENA","BUFFALO",71,46.81,"C"
"MATTHEW WILLIAMS","GA SOUTHRN",53,45.69,"C"
"AARON KARAS","MEMPHIS",56,44.74,"C"
"XAVIER ALLEN","MEMPHIS",43,44.55,"C"
"TRISTAN COOK","BALL ST",73,44.4,"C"
"LUKE MILLER","RICE",27,43.68,"C"
"QUENTIN BUTLER","MIDDLE TN",72,43.54,"C"
"JONATHAN GOULD","AKRON",45,42.83,"C"
"ARMOND OWENS","NEW MEX ST",41,42.49,"C"
"MYLES JOSEPH","SM HOUSTON",65,40.17,"C"
"DAUGHTRY RICHARDSON","COAST CAR",50,39.4,"D"
"RAYKWON GOLDTHWAITE","DOMINION",40,37.98,"D"
"DENNIS JONES","S DIEGO ST",57,37.19,"D"
"GABE FUNK","BOWL GREEN",52,36.54,"D"
"JAYLIN CALDWELL","WASH STATE",32,35.17,"D"
"TYRONE DAVIS","BUFFALO",39,34.19,"D"
"JACK LAIRD","MARSHALL",62,33.09,"D"
"JEREMY SMITH","FIU",77,32.62,"D"
"BOOGIE HENDERSON","HAWAII",58,32.36,"D"
"ISAAC SOHN","SM HOUSTON",66,31.15,"D"
"MARLEO NEOLIEN","E CAROLINA",71,30.87,"D"
"ALEKAI AFOA","UNLV",73,26.48,"D"
"ASHTON TRIPP","WASH STATE",51,25.76,"D"
"JAYLEN GARTH","UTSA",47,24.39,"D"
"A'MARION BRELAND","UTSA",74,24.23,"D"
"BARRETT MADDOX","UAB",69,22.61,"D"
"NIKOLA MILOVAC","KENNESAW",59,18.38,"F"
"KENDRICK HALL","DOMINION",43,0,"F"
