"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Knockdown.Percentage","Defeated.Runblock.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Sacks.Allowed","Hits.Allowed"
"JACOB ANDERSON","OREGON ST",53,100,"A",89.8,76.2,0.132,0,0.045,0,0,1,0,0,0
"AJ VINSON","LA MONROE",82,96.78,"A",87,85.9,0.098,0,0,0,0,0,0,0,0
"ETHAN HUBBARD","S ALABAMA",74,96.13,"A",76.4,83.6,0.108,0,0.085,0,0,0,0,0,0
"DENNIS JONES","S DIEGO ST",79,95.48,"A",81.8,86.4,0.101,0,0.024,0,0,0,0,0,0
"REESE OSEI-WUSU","S ALABAMA",74,92.28,"A",64.8,86.8,0.095,0,0.17,0,0,0,0,0,0
"JAYLIN CALDWELL","WASH STATE",70,92.19,"A",72.8,86.3,0.086,0,0.114,0,0,0,0,0,0
"ISAAC SOHN","SM HOUSTON",58,88.88,"A",75.6,85.4,0.069,0,0.091,0,0,0,0,0,0
"BRADEN CARTER","USF",42,88.07,"A",74.5,50.9,0.119,0.043,0.211,0,0.043,0,0,1,0
"MYLES JOSEPH","SM HOUSTON",58,81.92,"A",68.6,88.7,0.069,0,0.045,0,0,0,0,0,0
"TYLER ETHRIDGE","BOISE ST",80,81.86,"A",67.9,89,0.063,0,0.067,0,0,0,0,0,0
"JONNY LESTER","WASH STATE",68,79.38,"B",73.8,83.3,0.088,0,0.03,0,0.029,0,1,0,0
"JACOB BOOTH","C MICHIGAN",66,77.89,"B",57.4,78.8,0.076,0,0.138,0,0,0,0,0,0
"HUDSON CHASKO","KENT STATE",27,77.71,"B",52.5,78.6,0.037,0,0.3,0,0,0,0,0,0
"DJ FOX","JAMES MAD",51,77.54,"B",66.3,82.8,0.059,0,0.067,0,0,0,0,0,0
"TYLER LAWRENCE","NEW MEXICO",62,75.27,"B",71.1,76.4,0.081,0.029,0.107,0,0.029,1,0,1,0
"KAHARI FINLEY","USF",38,75.21,"B",69.3,66.7,0.105,0,0.105,0,0.053,0,1,0,0
"MAKHETE GUEYE","MO STATE",57,74.82,"B",75.1,77.2,0.07,0,0.04,0,0.031,0,1,0,0
"ERIC SMITH","MIAMI OH",58,73.49,"B",73.2,79.3,0.052,0,0.048,0,0,1,0,0,0
"COLIN ALEXANDER","GA SOUTHRN",76,70.76,"B",69.5,71.1,0.079,0.025,0.167,0,0.025,2,0,1,0
"CHEVY TRASK","N ILLINOIS",26,69.65,"B",67.9,81.7,0.039,0,0,0,0,0,0,0,0
"GEORGE JACKSON","LA LAFAYET",74,69.62,"B",68.5,67.4,0.068,0.036,0.065,0,0.036,0,0,1,0
"MATTHEW WILLIAMS","GA SOUTHRN",46,69.44,"B",69.6,51.5,0.087,0,0.08,0,0,1,0,0,0
"DAVID APPLEWHITE","LA MONROE",82,68.54,"B",68.3,80.6,0.061,0,0.138,0,0,3,0,0,0
"BEN GALLOWAY","FAU",70,68.39,"B",71.8,83.6,0.043,0.024,0,0,0.024,0,0,1,0
"TEKO SHOATS","OREGON ST",25,68.25,"B",67.9,69.4,0.08,0.056,0.143,0,0.111,0,1,0,1
"NICKOLAS MOLINA","FIU",82,67.39,"B",79.5,60.2,0.11,0,0.156,0,0.06,2,3,0,0
"JOHN HOLTHAUS","COLO STATE",71,66.98,"B",72.2,69.6,0.042,0.019,0.053,0,0.019,0,0,0,1
"ANTHONY CACCESE","DELAWARE",66,65.49,"B",60.2,85,0.015,0,0.071,0,0,0,0,0,0
"JA'KAVION NONAR","FAU",70,65.44,"B",62.8,80.8,0.029,0.024,0.107,0,0.024,0,0,1,0
"EVAN MALCORE","MIAMI OH",43,64.95,"B",59.5,80.7,0.023,0,0.143,0,0,1,0,0,0
"MATT HOFER","TOLEDO",80,63.94,"B",62.9,82,0.025,0,0.08,0,0,1,0,0,0
"DEVON MANUEL","APP STATE",76,63.86,"B",64.2,87.5,0.026,0,0.032,0,0,1,0,0,0
"TYRONE DAVIS","BUFFALO",34,63.56,"B",55.9,81.6,0,0,0.15,0,0,0,0,0,0
"HAYES CREEL","E CAROLINA",72,63.25,"B",61.7,68.9,0.042,0,0.178,0,0,2,0,0,0
"SULLY BURNS","TEXAS ST",73,61.99,"B",53.6,85.9,0.014,0,0.087,0,0,0,0,0,0
"CHRISTIAN WILLIAMS","LIBERTY",59,61.95,"B",60.6,81,0.017,0,0.032,0,0,0,0,0,0
"KING LARGE","MO STATE",71,61.83,"B",72.6,69.3,0.07,0,0.097,0,0.075,0,3,0,0
"WILLIAM BOONE","TEXAS ST",73,61.72,"B",54.5,83.5,0.014,0,0.087,0,0,0,0,0,0
"QUENTIN BUTLER","MIDDLE TN",71,59.46,"C",64.5,69.2,0.056,0,0.081,0,0.029,1,1,0,0
