"Name","Team","SNAPS","Composite_Score","Player_Grade"
"STEWART TAUFA","BOISE ST",80,100,"A"
"BRADEN CUNNINGHAM","FAU",70,85.79,"A"
"VAN WELLS","OREGON ST",64,84.06,"A"
"SEAN DUGERY","LA MONROE",82,75.8,"B"
"ANDREW DUDLEY","MARSHALL",75,72.29,"B"
"JOHN STONE","TEMPLE",76,68.31,"B"
"KRIS MANU","MIAMI OH",58,67.33,"B"
"AARON FENIMORE","LIBERTY",59,65.47,"B"
"BRAYDEN WALKER","DOMINION",67,65.06,"B"
"NATE BLEDSOE","RICE",63,65.03,"B"
"LUCAS MRACHKOVSKIY","JVILLE ST",52,65.01,"B"
"NOEL PORTNJAGIN","JAMES MAD",41,62.48,"B"
"COOPER FORDHAM","LA LAFAYET",69,62.25,"B"
"LOGAN SCRIVNER","MO STATE",61,60.11,"B"
"KARSON JONES","E CAROLINA",53,59.74,"C"
"LOSINI MAKA","C MICHIGAN",61,59.42,"C"
"LUKE RECTOR","TOLEDO",80,59.3,"C"
"BRANDON BEST","E CAROLINA",72,58.67,"C"
"NOAH DUNHAM","WASH STATE",68,58.57,"C"
"NINO FRANCAVILLA","BUFFALO",64,57.68,"C"
"MASON MYERS","ARK STATE",40,55.55,"C"
"BROCK STUKES","SM HOUSTON",58,53.85,"C"
"JOSEPH HARBERT","S JOSE ST",74,52.4,"C"
"JACOB NORCROSS","NEVADA",60,52.15,"C"
"ISAAC LUCAS","S DIEGO ST",79,52.12,"C"
"DAVEION HARLEY","FIU",82,51.9,"C"
"KENTON JERIDO","S ALABAMA",74,51.06,"C"
"JOE ROUNDS","SO MISS",67,49.99,"C"
"JOHN BOCK II","TULANE",62,49.42,"C"
"THOMAS SHRADER","USF",49,48.57,"C"
"TY FURNISH","GA SOUTHRN",76,47.34,"C"
"LANDON HRON","N ILLINOIS",69,46.43,"C"
"MALACHI PRECIADO","TULSA",51,46.09,"C"
"CHRIS MORENO","MIDDLE TN",71,44.06,"C"
"LANCE WILLIAMS","APP STATE",81,42.84,"C"
"STEVEN DEMBOSKI","DELAWARE",66,42.64,"C"
"CHANDLER STRONG","N TEXAS",89,42.56,"C"
"TYREEK MAJOR","W KENTUCKY",40,42.18,"C"
"KADEN ROBNETT","NEW MEXICO",62,41.9,"C"
"PHILLIP GRAY","MEMPHIS",47,41.46,"C"
"COLIN LYONS","AKRON",55,40.64,"C"
"GRANT HAWORTH","BALL ST",61,39.17,"D"
"ZACH GREENBERG","JAMES MAD",34,38.67,"D"
"BRENNAN SMITH","MIDDLE TN",71,36.21,"D"
"TYHLER WILLIAMS","GA STATE",86,35.54,"D"
"NIC CRUJI","CHARLOTTE",65,33.09,"D"
"BEN MIDEA","KENT STATE",44,32.4,"D"
"BEN BAKER","FRESNO ST",58,32.01,"D"
"KAIN MCDONALD","COAST CAR",62,29.87,"D"
"BRIAN WILLIAMS JR.","UTEP",45,25.82,"D"
"MIKEL UDENGWU","TEXAS ST",73,25.5,"D"
"ADAM LEPKOWSKI","UAB",60,23.71,"D"
"OSCAR WEIGEL","FRESNO ST",70,23.64,"D"
"LUKE LAPEZE","UTSA",53,23.25,"D"
"ROY BRACKINS III","LA TECH",71,17.14,"F"
"PHILLIP OCON","COLO STATE",71,15.84,"F"
"TYLER CAPPI","TROY",77,15.49,"F"
"SPENCER BECKEMAN","W MICHIGAN",65,14.53,"F"
"MATEO GUEVARA","KENNESAW",52,11.99,"F"
"NICHOLAS GALLEGOS","E MICHIGAN",66,5.59,"F"
"ALEXIS SANCHEZ","BOWL GREEN",52,0,"F"
