"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"SEAN WILSON","DELAWARE",63,100,"A"
"JOSHUA PORTER","USF",36,66.05,"B"
"KAMARI MAXWELL","SM HOUSTON",40,61.28,"B"
"PARKER FULGHUM","LA MONROE",68,59.32,"C"
"CHRIS DAWN JR.","TEXAS ST",68,58.77,"C"
"KYLE KOCH","N TEXAS",25,58.58,"C"
"RASEAN JONES","BOISE ST",61,58.22,"C"
"MAGUIRE ANDERSON","FIU",77,57.85,"C"
"MAKAI JACKSON","LIBERTY",39,57.56,"C"
"NIC TRUJILLO","LA MONROE",78,56.48,"C"
"JUSTIN STEVENSON","N TEXAS",60,56.43,"C"
"CHRIS LOFTON","APP STATE",50,55.71,"C"
"JOSIAH FREEMAN","FRESNO ST",65,55.18,"C"
"MALEEK HUGGINS","MIAMI OH",20,55.03,"C"
"JESSE LEGREE","OREGON ST",39,53.59,"C"
"RILEY NEER","OHIO",51,53.27,"C"
"DOM DORWART","OHIO",51,53.21,"C"
"TK KEYES","TROY",71,52.5,"C"
"RJ VICK","COLO STATE",57,52.32,"C"
"AVEION CHENAULT","W MICHIGAN",25,52.16,"C"
"AERYN HAMPTON","OREGON ST",30,51.86,"C"
"BRANDEN GANASHAMOORTHY","WASH STATE",61,50.49,"C"
"ANTHONY IVEY","S JOSE ST",50,50.39,"C"
"ISAIAH MYERS","MO STATE",71,50.03,"C"
"TERRELL CROSBY JR.","TOLEDO",69,48.07,"C"
"CORRI MILLINER","N TEXAS",59,47.7,"C"
"DEONDRE JOHNSON","JVILLE ST",50,46.8,"C"
"HOWARD KINCHEN","TROY",57,46.71,"C"
"ADJATAY DABBS","TOLEDO",46,45.88,"C"
"RODSHAUN DORSEY","GA STATE",54,45.16,"C"
"NATHAN ACEVEDO","S DIEGO ST",64,45,"C"
"DARYL BARNETT JR.","TOLEDO",44,44.44,"C"
"KYAN BERRY-JOHNSON","SM HOUSTON",32,44,"C"
"DARRICK BLEDSOE III","SM HOUSTON",18,43.6,"C"
"JAMARI PERSON","LIBERTY",36,43.46,"C"
"TIM BURNS JR.","SM HOUSTON",31,42.52,"C"
"BARON TIPTON","N TEXAS",29,42.44,"C"
"COLIN CHASE","TEMPLE",76,42.07,"C"
"DAMARION WITTEN","MIAMI OH",37,41.8,"C"
"NICK DEVEREAUX","E MICHIGAN",15,41.79,"C"
"EASTON MESSER","FAU",70,40.86,"C"
"JADEN BARNES","CHARLOTTE",63,40.82,"C"
"TY MIMS","UAB",33,40.53,"C"
"DJ RILES","GA STATE",54,40.46,"C"
"BARRY JACKSON JR.","RICE",24,39.39,"D"
"BRAEDEN WISLOSKI","JAMES MAD",40,39.24,"D"
"DA'WAIN LOFTON","DELAWARE",64,37.94,"D"
"LANDON STROTHER","LA LAFAYET",57,37.64,"D"
"ZION BOOKER","KENNESAW",53,37.26,"D"
"GRADY O'NEILL","SM HOUSTON",38,37.04,"D"
"DEAREE ROGERS","N ILLINOIS",46,37.01,"D"
"JEREMIAH JONES-THOMAS","S ALABAMA",28,36.72,"D"
"CARVER CHEEKS","UTEP",38,36.57,"D"
"COLTON HINTON","COAST CAR",18,36.53,"D"
"CAM THOMPSON","N ILLINOIS",40,36.03,"D"
"HUNTER SUMMERS","ARK STATE",40,35.99,"D"
"BRYSON RODGERS","USF",38,35.63,"D"
"MARIO SANDERS","SO MISS",68,35.51,"D"
"AARON BUTLER","OREGON ST",29,35.26,"D"
"DONNELL GEE JR.","TULSA",33,35.23,"D"
"CAM'RON LACY","MIDDLE TN",53,35.22,"D"
"KYLEN EVANS","TEXAS ST",39,34.96,"D"
"SAM PICKETT III","APP STATE",57,34.59,"D"
"GRANT PAGE","SO MISS",22,34.42,"D"
"WINN SHARP","BOWL GREEN",26,34.38,"D"
"CHRIS REED","SM HOUSTON",35,34.02,"D"
"ERIC RICHARDSON","WYOMING",37,33.75,"D"
"RICKEY TAYLOR JR.","N ILLINOIS",31,33.46,"D"
"JAYLEN HIMES","SO MISS",40,33.45,"D"
"JACKSON GRIER","APP STATE",17,33.19,"D"
"MARKUS ALLEN","MIDDLE TN",47,33.04,"D"
"ORAN SINGLETON JR.","TULSA",48,33.01,"D"
"DARIUS COPELAND","LIBERTY",21,32.91,"D"
"BREDELL RICHARDSON","TULANE",24,32.37,"D"
"MARCELLUS JACKSON","LA MONROE",30,32.32,"D"
"EZEKIEL AVIT","FRESNO ST",54,31.89,"D"
"BRYSON HAMMER","TOLEDO",23,31.79,"D"
"JERMANE HAYES","MEMPHIS",29,31.3,"D"
"CAM BATES","BOISE ST",32,31.29,"D"
"JALEN MICKENS","LA TECH",81,29.89,"D"
"JAYLEN HAMPTON","CHARLOTTE",62,29.44,"D"
"BERT EMANUEL JR.","S DIEGO ST",69,29.43,"D"
"KELBY VALSIN","FAU",69,29.3,"D"
"JOSIAH MARTIN","N TEXAS",54,28.93,"D"
"BRAYDEN MUNROE","KENNESAW",44,28.75,"D"
"MARCUS CALWISE JR.","LA TECH",35,28.69,"D"
"PRESTON BOWMAN","OHIO",43,28.66,"D"
"ELI WOOD","UTAH ST",42,28.47,"D"
"CHANCE MORROW","BUFFALO",64,28.45,"D"
"DAMIEN MORGAN","NEVADA",48,28.41,"D"
"CARSON CLARK","S JOSE ST",53,27.83,"D"
"CLAYTON COPPOCK JR.","COAST CAR",52,27.65,"D"
"ADRIAN NORTON","MARSHALL",67,27.21,"D"
"ALEXANDER SANCHEZ","APP STATE",32,27.17,"D"
"XAYVION TURNER-BRADSHAW","MARSHALL",59,27.05,"D"
"DARIUS CANNON","JVILLE ST",23,27.01,"D"
"TYSON CARTER","FIU",44,26.8,"D"
"RONNEL JOHNSON","JVILLE ST",47,26.46,"D"
"KRISTION BROOKS","LA LAFAYET",29,26.23,"D"
"TRISTIAN GARDNER","COAST CAR",30,25.83,"D"
"ISAIAH THACKER","BALL ST",31,25.3,"D"
"JMARIYAE ROBINSON","MO STATE",59,24.94,"D"
"A.J. LITTLE","SO MISS",43,24.88,"D"
"CJ SMITH","UAB",43,24.29,"D"
"LT ROBINSON","LA MONROE",31,24.05,"D"
"DYLAN GARY","KENNESAW",21,23.95,"D"
"JOJO BERMUDEZ","TEMPLE",56,23.77,"D"
"EJ REID","UAB",52,23.68,"D"
"JOSH DALLAS","GA SOUTHRN",49,23.45,"D"
"BRAYLON ISOM","MIAMI OH",40,23.2,"D"
"DANIEL BLOOD","WASH STATE",40,23.12,"D"
"JEREMIAH WARE","GA SOUTHRN",26,23.02,"D"
"KARMELLO ENGLISH","COAST CAR",47,22.85,"D"
"JOJO STONE","FIU",58,22.78,"D"
"DILLON LORICK","E CAROLINA",46,22.76,"D"
"JERRY MCCLURE","S JOSE ST",41,22.63,"D"
"LA'DON BRYANT","N ILLINOIS",29,22.63,"D"
"BAYLIN BROOKS","W MICHIGAN",53,22.62,"D"
"ANTONIO FLOYD","E MICHIGAN",52,22.55,"D"
"DAVIS DALTON","SO MISS",28,22.23,"D"
"DEMICK STARLING","UTAH ST",26,22.04,"D"
"JIMMY CALLOWAY","TULSA",49,21.94,"D"
"KYAN MASON","AKRON",44,21.87,"D"
"COREY SCOTT","JAMES MAD",53,21.41,"D"
"DARRIUS CLEMONS","WASH STATE",64,21.4,"D"
"CAMERON FLOWERS","W KENTUCKY",28,21.21,"D"
"JEMYRI DAVIS","MEMPHIS",34,21.16,"D"
"MARCEL WILLIAMS","AKRON",55,21.12,"D"
"JACE PETTY","TROY",40,20.94,"D"
"RICO BOND","TOLEDO",45,20.86,"D"
"TERRELL TIMMONS JR.","MEMPHIS",19,20.58,"D"
"NATE BRANCH","APP STATE",30,20.38,"D"
"MEKHI ANDERSON","UTSA",37,20.37,"D"
"TALYN SHETTRON","LA TECH",52,20.33,"D"
"DA'REALYST CLARK","KENT STATE",27,19.84,"F"
"GARY GIVENS III","NEVADA",54,19.76,"F"
"CYNAI THOMAS","OREGON ST",30,19.74,"F"
"CHRIS CULLIVER","MARSHALL",32,19.73,"F"
"JONATHAN STAFFORD JR.","W KENTUCKY",40,19.63,"F"
"COOPER HOCH","S JOSE ST",35,19.3,"F"
"WAYNE HARRIS","KENT STATE",21,18.99,"F"
"DWAYNE EARLY JR.","BUFFALO",44,18.99,"F"
"JP COULTER","LA MONROE",43,18.93,"F"
"KYLE WASHINGTON","GA STATE",37,18.92,"F"
"BRADY KLUSE","MEMPHIS",26,18.91,"F"
"STONKA BURNSIDE","MEMPHIS",32,18.41,"F"
"MEKHI MILLER","MO STATE",58,18.28,"F"
"JAVON ROGERS","KENNESAW",24,18.28,"F"
"JAYLEN BONELLI","ARK STATE",44,18.23,"F"
"RUSSELL BABINEAUX","LA LAFAYET",30,18.2,"F"
"LYNEL BILLUPS-WILLIAMS","MIAMI OH",38,17.86,"F"
"ZAIRE MCKINNEY","N ILLINOIS",16,16.9,"F"
"JEREMIAH NASH","UTEP",27,16.52,"F"
"JAYLON HAWKINS","S DIEGO ST",50,16.33,"F"
"CHARLIE COENEN","WYOMING",44,15.91,"F"
"OWEN SWEENEY","MARSHALL",33,15.91,"F"
"DERRICK ELEY","CHARLOTTE",59,15.68,"F"
"ARDELL BANKS","KENT STATE",18,15.45,"F"
"AJ WILSON","UTSA",35,14.86,"F"
"BAILEN GEORGE","NEW MEXICO",36,14.83,"F"
"CASH SEMONZA","TULANE",15,14.81,"F"
"KEDARIUS WADE","LA LAFAYET",47,14.76,"F"
"ANTHONY BROWN-STEPHENS","TULANE",38,14.57,"F"
"NEO CLIFTON","MIDDLE TN",29,14.55,"F"
"KENDALL HARRIS","DOMINION",25,14.49,"F"
"NIKKO BONCORE","UTAH ST",28,14.34,"F"
"AJ JONES","MIDDLE TN",54,14.27,"F"
"MALACHI RILEY","S JOSE ST",19,13.76,"F"
"JAYCE FREEMAN","TEMPLE",68,13.67,"F"
"JOSH RODRIGUEZ","DOMINION",58,13.6,"F"
"NAVELLE DEAN","KENNESAW",41,13.39,"F"
"ANTHONY EAGER","S ALABAMA",65,13.16,"F"
"ROBBY WASHINGTON","COAST CAR",23,12.71,"F"
"PHILLIP FOLMAR","BUFFALO",21,12.7,"F"
"JADEN SMITH","UTEP",16,12.69,"F"
"BRYSON GRAVES","DELAWARE",41,12.41,"F"
"NOREEL WHITE","TROY",20,12.28,"F"
"JORDAN ANDERSON","S JOSE ST",50,12.27,"F"
"TOMMY MAHER","COLO STATE",25,12.23,"F"
