"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"STEWART TAUFA","BOISE ST",80,100,"A",85,0.163,83.7,0.067,0,0,0.029,1,0,0,0
"BRADEN CUNNINGHAM","FAU",70,85.79,"A",72,0.086,85.3,0.143,0,0,0,0,0,0,0
"VAN WELLS","OREGON ST",64,84.06,"A",72.8,0.094,84,0.08,0,0,0,0,0,0,0
"SEAN DUGERY","LA MONROE",82,75.8,"B",77.2,0.098,68.9,0.069,0.019,0,0.019,0,1,0,1
"ANDREW DUDLEY","MARSHALL",75,72.29,"B",59.7,0.053,84.2,0.239,0,0,0,0,0,0,0
"JOHN STONE","TEMPLE",76,68.31,"B",65.7,0.066,82.3,0.044,0,0,0,0,0,0,0
"KRIS MANU","MIAMI OH",58,67.33,"B",61.8,0.035,84.4,0.191,0,0,0,0,0,0,0
"AARON FENIMORE","LIBERTY",59,65.47,"B",65.1,0.051,81.8,0.065,0,0,0,0,0,0,0
"BRAYDEN WALKER","DOMINION",67,65.06,"B",68.6,0.075,66.8,0.048,0.04,0,0.04,0,0,1,0
"NATE BLEDSOE","RICE",63,65.03,"B",67.9,0.048,81.8,0.026,0,0,0,0,0,0,0
"LUCAS MRACHKOVSKIY","JVILLE ST",52,65.01,"B",63.2,0.039,82,0.13,0,0,0,0,0,0,0
"NOEL PORTNJAGIN","JAMES MAD",41,62.48,"B",66.4,0.049,69.1,0.074,0,0,0,0,0,0,0
"COOPER FORDHAM","LA LAFAYET",69,62.25,"B",58.1,0.029,80.4,0.209,0,0,0,0,0,0,0
"LOGAN SCRIVNER","MO STATE",61,60.11,"B",56.3,0.033,86.3,0.154,0,0,0,0,0,0,0
"KARSON JONES","E CAROLINA",53,59.74,"C",62.1,0.038,83.3,0.057,0,0,0,0,0,0,0
"LOSINI MAKA","C MICHIGAN",61,59.42,"C",59.3,0.033,76.5,0.151,0,0,0,0,0,0,0
"LUKE RECTOR","TOLEDO",80,59.3,"C",64.9,0.025,86,0.04,0,0,0,0,0,0,0
"BRANDON BEST","E CAROLINA",72,58.67,"C",59,0.042,77,0.156,0,0,0,0,1,0,0
"NOAH DUNHAM","WASH STATE",68,58.57,"C",69.1,0.103,53.3,0.121,0,0,0.029,1,2,0,0
"NINO FRANCAVILLA","BUFFALO",64,57.68,"C",56.9,0.031,81.5,0.139,0,0,0,0,0,0,0
"MASON MYERS","ARK STATE",40,55.55,"C",61.6,0.025,81.7,0.053,0,0,0,0,0,0,0
"BROCK STUKES","SM HOUSTON",58,53.85,"C",60.4,0.052,68.3,0.182,0,0,0.028,1,0,0,0
"JOSEPH HARBERT","S JOSE ST",74,52.4,"C",53.4,0,85.3,0.2,0,0,0,0,0,0,0
"JACOB NORCROSS","NEVADA",60,52.15,"C",61.1,0.017,82,0.033,0,0,0,0,0,0,0
"ISAAC LUCAS","S DIEGO ST",79,52.12,"C",58.1,0.025,80.6,0.119,0.027,0,0.027,0,0,0,1
"DAVEION HARLEY","FIU",82,51.9,"C",70.3,0.073,65.8,0.125,0.02,0,0.06,2,0,1,0
"KENTON JERIDO","S ALABAMA",74,51.06,"C",61,0.04,53.7,0.191,0.037,0,0.037,0,1,1,0
"JOE ROUNDS","SO MISS",67,49.99,"C",56.6,0.015,72.8,0.174,0,0,0,0,1,0,0
"JOHN BOCK II","TULANE",62,49.42,"C",56.6,0,84.4,0.107,0,0,0,0,0,0,0
"THOMAS SHRADER","USF",49,48.57,"C",61.1,0.02,65.3,0.056,0,0,0,0,0,0,0
"TY FURNISH","GA SOUTHRN",76,47.34,"C",65.2,0.026,64.2,0.028,0.025,0,0.025,0,0,1,0
"LANDON HRON","N ILLINOIS",69,46.43,"C",56.4,0,85.3,0.056,0,0,0,0,0,0,0
"MALACHI PRECIADO","TULSA",51,46.09,"C",56.3,0,80.8,0.077,0,0,0,0,0,0,0
"CHRIS MORENO","MIDDLE TN",71,44.06,"C",59.2,0.014,78.2,0.027,0.029,0,0.029,0,0,1,0
"LANCE WILLIAMS","APP STATE",81,42.84,"C",54.5,0.012,77.3,0.171,0,0,0.022,1,0,0,0
"STEVEN DEMBOSKI","DELAWARE",66,42.64,"C",57.6,0.015,73.5,0.143,0,0,0.026,1,0,0,0
"CHANDLER STRONG","N TEXAS",89,42.56,"C",53.6,0,82.5,0.1,0,0,0,0,1,0,0
"TYREEK MAJOR","W KENTUCKY",40,42.18,"C",57.6,0,66.3,0.118,0.043,0,0.043,0,0,1,0
"KADEN ROBNETT","NEW MEXICO",62,41.9,"C",60.5,0.065,51.9,0.25,0,0,0.059,2,1,0,0
"PHILLIP GRAY","MEMPHIS",47,41.46,"C",57.4,0,62.8,0.188,0.032,0,0.032,0,1,0,1
"COLIN LYONS","AKRON",55,40.64,"C",58.9,0.018,75.1,0.067,0,0,0.025,1,0,0,0
"GRANT HAWORTH","BALL ST",61,39.17,"D",59.6,0.016,69.4,0.097,0,0,0.033,1,0,0,0
"ZACH GREENBERG","JAMES MAD",34,38.67,"D",58.5,0,59.9,0.063,0.056,0,0.056,0,0,1,0
"BRENNAN SMITH","MIDDLE TN",71,36.21,"D",56.8,0.014,70.3,0.081,0,0,0.029,1,0,0,0
"TYHLER WILLIAMS","GA STATE",86,35.54,"D",61.7,0.023,63.2,0.063,0,0,0.018,1,2,0,0
"NIC CRUJI","CHARLOTTE",65,33.09,"D",56.1,0.015,58.4,0.087,0,0,0.024,1,0,0,0
"BEN MIDEA","KENT STATE",44,32.4,"D",43.9,0,48.9,0.318,0,0,0,0,2,0,0
"BEN BAKER","FRESNO ST",58,32.01,"D",56.2,0.017,64,0.107,0,0,0.033,1,1,0,0
"KAIN MCDONALD","COAST CAR",62,29.87,"D",60.6,0.016,69.4,0.077,0,0,0.056,2,0,0,0
"BRIAN WILLIAMS JR.","UTEP",45,25.82,"D",58.6,0,63.6,0.04,0,0,0.05,1,0,0,0
"MIKEL UDENGWU","TEXAS ST",73,25.5,"D",51.7,0.014,54.3,0.152,0.037,0,0.074,1,0,1,0
"ADAM LEPKOWSKI","UAB",60,23.71,"D",61.3,0.033,50.2,0.074,0,0,0.061,2,1,0,0
"OSCAR WEIGEL","FRESNO ST",70,23.64,"D",57.2,0.043,38.6,0.222,0.029,0,0.088,2,1,1,0
"LUKE LAPEZE","UTSA",53,23.25,"D",58.5,0,56,0.042,0,0,0.035,1,1,0,0
"ROY BRACKINS III","LA TECH",71,17.14,"F",59.1,0.014,48.2,0.035,0,0,0.024,1,4,0,0
"PHILLIP OCON","COLO STATE",71,15.84,"F",60.7,0.014,41.1,0.053,0,0,0.039,2,2,0,0
"TYLER CAPPI","TROY",77,15.49,"F",61.8,0.026,43.9,0.056,0,0,0.073,3,0,0,0
"SPENCER BECKEMAN","W MICHIGAN",65,14.53,"F",63,0.031,43.9,0.027,0.036,0,0.107,2,1,1,0
"MATEO GUEVARA","KENNESAW",52,11.99,"F",54.4,0,47.2,0.12,0,0,0.074,2,0,0,0
"NICHOLAS GALLEGOS","E MICHIGAN",66,5.59,"F",52.8,0.015,21.5,0.259,0,0,0.077,3,1,0,0
"ALEXIS SANCHEZ","BOWL GREEN",52,0,"F",54.4,0,2.5,0.2,0,0,0.045,1,4,0,0
