"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"JALEN SLAPPY","MARSHALL",75,41.34,"C"
"DYLAN SHAW","N TEXAS",73,39.72,"D"
"KADEN MOREAU","LA LAFAYET",74,39.51,"D"
"REESE BAKER","TULANE",62,38.84,"D"
"SETH ANSTEAD","OHIO",60,37.77,"D"
"DENNIS STREY JR.","E MICHIGAN",66,33.31,"D"
"NATE HAMPTON","AKRON",60,30.69,"D"
"JULIUS TATE","USF",55,30.34,"D"
"DARRELL JONES","UTSA",49,29.79,"D"
"GAVIN DABO","W MICHIGAN",65,28.84,"D"
"PATRICK SCREWS JR.","TROY",77,28.47,"D"
"LAVAKA TAUKEIAHO","S JOSE ST",74,28.42,"D"
"TRENT RAMSEY","APP STATE",81,24.01,"D"
"THOMAS BARR","BUFFALO",64,22.11,"D"
"LUKE ROGERS","SO MISS",46,20.18,"D"
"ALEX HARRIS","BOWL GREEN",52,10.87,"F"
"MARQUISE THORPE-TAYLOR","FRESNO ST",70,5.63,"F"
"DUSTYN MORELL","KENT STATE",35,5.58,"F"
"BEN RIOS","UTSA",47,0,"F"
