"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"D.J. CROWTHER","USF",5,"HB",2026,"The American",89.3,5,8,101,12.6,3,4,0,0,13,34,4.3,67,8.4,0,0.5,1.63,3,0.125,"USF",5,"The American",75.2,2,21,0,2,2,40,20,0,2,0,0,0,2,0,0,39,19.5,13,0,1.9,0.5,1,3,"100%","0.00%","0.00%",118.8,0,0.095,0,"100%","The American","G5",33,100,"A"
"JAVION KINNARD","S DIEGO ST",21,"HB",2026,"Pac-12",65.2,15,33,181,5.5,1,11,0,0,6,66,2,115,3.5,0,0.333,0.18,5,0.091,"S DIEGO ST",21,"Pac-12",83,3,22,1,4,4,70,17.5,0,2,0,0,0,4,0,0,75,18.8,13,0,3.18,-1.3,2,1,"100%","0.00%","0.00%",118.8,0,0.182,0,"100%","Pac-12","G5",71,95.87,"A"
"DYLAN RILEY","BOISE ST",0,"HB",2026,"Pac-12",73.7,16,26,203,7.8,2,9,1,1,5,52,2,151,5.8,0,0.346,0.19,5,0,"BOISE ST",0,"Pac-12",70.4,1,10,0,2,2,18,9,0,1,0,0,0,2,0,0,20,10,8,0,1.8,-1,0,1,"100%","0.00%","0.00%",104.2,0,0.2,0,"100%","Pac-12","G5",43,94.17,"A"
"TORRANCE BURGESS JR.","TEXAS ST",4,"HB",2026,"Pac-12",78.8,11,24,208,8.7,0,8,0,0,6,136,5.7,72,3,0,0.333,0.25,6,0.292,"TEXAS ST",4,"Pac-12",72.5,2,5,0,2,2,6,3,0,1,0,0,0,2,0,0,8,4,1,0,1.2,-1,0,0,"100%","0.00%","0.00%",79.2,0,0.4,0,"100%","Pac-12","G5",34,91.46,"A"
"SAM BROWN V","TEMPLE",5,"HB",2026,"The American",67.5,7,15,109,7.3,2,7,0,0,1,13,0.9,96,6.4,0,0.467,0.07,2,0,"TEMPLE",5,"The American",89.4,3,9,0,3,3,27,9,1,3,0,0,0,3,2,2,7,2.3,2,1,3,7.7,0,0,"100%","0.00%","66.70%",143.8,0,0.333,0,"100%","The American","G5",40,70.29,"B"
"JABARI BATES","S JOSE ST",6,"HB",2026,"MWC",67.2,8,20,160,8,0,2,0,0,4,114,5.7,46,2.3,0,0.1,0.2,3,0.5,"S JOSE ST",6,"MWC",79.7,1,5,0,1,1,8,8,0,0,0,0,0,1,0,0,2,2,2,0,1.6,6,0,0,"100%","0.00%","0.00%",100,0.2,0.2,0,"100%","MWC","G5",46,70.18,"B"
"KIRBY VORHEES","WASH STATE",9,"HB",2026,"Pac-12",80.5,9,10,111,11.1,2,5,0,0,3,18,1.8,93,9.3,0,0.5,0.3,2,0,"WASH STATE",9,"Pac-12",63.1,2,15,1,2,2,16,8,0,0,0,0,0,2,1,1,7,3.5,3,1,1.07,4.5,0,0,"100%","0.00%","50.00%",100,0,0.133,0,"100%","Pac-12","G5",32,67.44,"B"
"KEENAN PHILLIPS","S ALABAMA",3,"HB",2026,"Sun Belt",76.1,11,18,116,6.4,1,6,0,0,6,54,3,62,3.4,0,0.333,0.33,3,0,"S ALABAMA",3,"Sun Belt",57.3,3,9,0,3,2,25,12.5,0,1,1,0,0,3,0,0,31,15.5,15,0,2.78,-1.7,1,1,"66.70%","33.30%","0.00%",92.4,0,0.333,0,"66.70%","Sun Belt","G5",30,66.69,"B"
"DAVIAN JACKSON","TEXAS ST",6,"HB",2026,"Pac-12",73,7,10,77,7.7,3,5,0,0,2,64,6.4,13,1.3,0,0.5,0.2,1,0.3,"TEXAS ST",6,"Pac-12",42,3,9,0,3,1,13,13,1,1,2,0,0,3,0,0,17,17,7,0,1.44,-2,0,1,"33.30%","66.70%","0.00%",87.5,0.111,0.333,0,"33.30%","Pac-12","G5",31,63.77,"B"
"MAXWELL WOODS","WASH STATE",3,"HB",2026,"Pac-12",77.4,7,12,118,9.8,0,4,0,0,4,56,4.7,62,5.2,0,0.333,0.33,5,0.167,"WASH STATE",3,"Pac-12",73.1,1,13,0,3,3,20,6.7,0,1,0,0,0,3,0,0,31,10.3,8,0,1.54,-3.7,0,1,"100%","0.00%","0.00%",94.4,0.154,0.231,0,"100%","Pac-12","G5",30,63.72,"B"
"SIRE GAINES","BOISE ST",26,"HB",2026,"Pac-12",81.9,12,17,102,6,1,9,0,0,5,27,1.6,75,4.4,0,0.529,0.29,2,0,"BOISE ST",26,"Pac-12",61.2,1,18,0,3,3,10,3.3,0,0,0,0,0,3,1,1,2,0.7,0,1,0.56,2.7,0,0,"100%","0.00%","33.30%",80.6,0,0.167,0,"100%","Pac-12","G5",40,63.17,"B"
"JORDAN THOMPSON","MEMPHIS",23,"HB",2026,"The American",66.3,3,6,110,18.3,1,3,0,0,5,2,0.3,108,18,0,0.5,0.83,2,0,"MEMPHIS",23,"The American",57.1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"0.00%","0.00%","0.00%",0,0,0.25,0,"0.00%","The American","G5",11,58.94,"C"
"TJ HORTON","BALL ST",4,"HB",2026,"MAC",80.9,7,8,79,9.9,2,6,0,0,5,20,2.5,59,7.4,0,0.75,0.63,4,0,"BALL ST",4,"MAC",54.9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MAC","G5",22,58.64,"C"
"JALEN BUCKLEY","W MICHIGAN",6,"HB",2026,"MAC",74.6,9,13,117,9,1,4,0,0,6,17,1.3,100,7.7,0,0.308,0.46,3,0.154,"W MICHIGAN",6,"MAC",55.8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","MAC","G5",31,58.25,"C"
"PJ MARTIN","S ALABAMA",0,"HB",2026,"Sun Belt",68.1,11,22,85,3.9,1,8,0,0,11,22,1,63,2.9,0,0.364,0.5,3,0.045,"S ALABAMA",0,"Sun Belt",54.7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Sun Belt","G5",39,58,"C"
"DERRICK JAMESON","LA MONROE",3,"HB",2026,"Sun Belt",78.5,8,10,88,8.8,2,5,0,0,3,24,2.4,64,6.4,0,0.5,0.3,3,0.1,"LA MONROE",3,"Sun Belt",54.2,0,21,0,1,1,4,4,0,0,0,0,0,1,0,0,10,10,2,0,0.19,-6,0,0,"100%","0.00%","0.00%",83.3,0,0.048,0,"100%","Sun Belt","G5",37,57.76,"C"
"QWANTAVIUS WIGGINS","GA STATE",24,"HB",2026,"Sun Belt",69.8,4,11,125,11.4,1,2,0,0,2,107,9.7,18,1.6,0,0.182,0.18,2,0,"GA STATE",24,"Sun Belt",59.2,1,24,2,3,2,23,11.5,0,1,0,0,0,2,0,0,33,16.5,2,0,0.96,1.3,1,0,"100%","0.00%","0.00%",89.6,0.042,0.125,0,"66.70%","Sun Belt","G5",41,57.52,"C"
