"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"ELI FINLEY","LA TECH",83,100,"A"
"KYLE FRENDT","WYOMING",29,92.85,"A"
"CADE KEITH","NEW MEXICO",60,81.69,"A"
"COLE KELLER","JAMES MAD",57,74.1,"B"
"JAMEL HOWSE","APP STATE",49,72.22,"B"
"BRODERICK PETERS","SO MISS",29,67.77,"B"
"SAM LEE","TOLEDO",58,64.08,"B"
"JACOB NEWELL","TOLEDO",33,59.73,"C"
"JABARI BUSH","ARK STATE",15,59.66,"C"
"ROD GIBBS","S ALABAMA",56,57.87,"C"
"ERIC OLSEN","OREGON ST",23,54,"C"
"LAKELSEY JOHNSON JR.","LIBERTY",26,53.57,"C"
"RIVER HELMS","GA SOUTHRN",61,52.93,"C"
"WITT EDWARDS","MO STATE",17,51.62,"C"
"JOSHUA LONG","E MICHIGAN",52,48.86,"C"
"BLAKE SMITH","TEXAS ST",41,47.87,"C"
"HUNTER TIPTON","MEMPHIS",33,46.75,"C"
"LOGAN MAULDIN","CHARLOTTE",22,46.33,"C"
"CC EZIRIM","W KENTUCKY",28,45.17,"C"
"ISMAEL SMITH FLORES","E CAROLINA",55,45.14,"C"
"JAMARI HARROLD","KENNESAW",50,44.86,"C"
"GRANT HOLLIER","GA STATE",44,44.15,"C"
"AIDAN O'CALLAGHAN","MEMPHIS",29,43.4,"C"
"JERON ASKREN","MO STATE",41,41.94,"C"
"KORAUN PERDUE","MIDDLE TN",27,41.91,"C"
"ARMAAD SHARP","E MICHIGAN",12,41.42,"C"
"BREC LONG","N TEXAS",46,41.4,"C"
"JAKE WILSON","WYOMING",42,40.61,"C"
"AJ MILLER","OHIO",18,39.54,"D"
"TOBY PAYNE","MARSHALL",70,39,"D"
"JAMES RESAR","FIU",55,37.79,"D"
"JORDAN CLARK","RICE",45,37.6,"D"
"AVION MCBRIDE","GA STATE",35,37.2,"D"
"LUKE GILBERT","JVILLE ST",25,36.94,"D"
"LIAM RUSSO","N ILLINOIS",15,36.49,"D"
"JEREMIAH SCOBY","BOWL GREEN",34,36.02,"D"
"ELIJAH SESSOMS","DELAWARE",41,34.14,"D"
"BRYCE ANDERSON","LA MONROE",58,32.83,"D"
"TANNER LEMASTER","E MICHIGAN",29,32.2,"D"
"AJ JOHNSON","FAU",64,31.49,"D"
"BROCK CHAPPELL","LA LAFAYET",67,30.92,"D"
"JACKSON VERDUGO","FIU",50,30.07,"D"
"EVAN DANGLER","USF",32,29.84,"D"
"ZEKE WIMBUSH","LIBERTY",31,29.58,"D"
"DAWSON JOHNSON","TULANE",23,29.4,"D"
"JACK PEDERSEN","WASH STATE",58,28.22,"D"
"LOFTON HOWARD","W KENTUCKY",30,27.93,"D"
"JAKE APPLEGET","FRESNO ST",63,27.6,"D"
"LEON HAUGHTON JR.","DOMINION",59,27.44,"D"
"NADER CHIRCHI","COLO STATE",31,27.38,"D"
"DARRIN FUGITT","APP STATE",56,27.29,"D"
"NICK HAMPTON","TROY",59,26.84,"D"
"TATE HOOVER","BALL ST",44,25.74,"D"
"JASON FOWLER","N ILLINOIS",27,24.87,"D"
"MATT WAGNER","BOISE ST",62,24.77,"D"
"BEN VERGES","COAST CAR",24,24.57,"D"
"JUICE VEREEN","COLO STATE",25,24.27,"D"
"MAX REESE","N TEXAS",68,23.29,"D"
"ADAM PARKS","W MICHIGAN",45,22.92,"D"
"GAVIN CORREIA","FRESNO ST",48,21.77,"D"
"MAX WHISNER","SM HOUSTON",31,19.47,"F"
"DOMINIC TOY","COLO STATE",17,18.9,"F"
"ELIJAH ALEXANDER","AKRON",38,18.08,"F"
"CLINT WALKER","BUFFALO",60,17.22,"F"
"SCOTT ISACKS","UAB",31,16.21,"F"
"JEREMIAH BECK JR.","SO MISS",23,16.08,"F"
"TEDDY GAWLIK","LA LAFAYET",33,15.57,"F"
"BEN GRICE","RICE",58,15.16,"F"
