"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"PRINCEWILL UMANMIELEN","LSU",32,100,"A","ED",2026,"SEC",82.7,53.9,91,70.6,0,1,4,2,0,0,2,4,3,0,0,0,0,0,0,1,0,3,1,NA,NA,NA,NA,11,3,0.091,0,1,8,1,1,1,1,0,0,0,0,79.2,0.13,0,0.875,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0.167,1,1,0,0.333,1,1,1,3,0,0,6,6,0,1,0,"P4",76,NA,76
"DOM NICHOLS","MICHIGAN",55,96.69,"A","ED",2026,"Big Ten",84,83.3,71.7,60.8,0,1,7,2,0,1,1,4,1,0,0,0,0,2,0,0,2,4,1,NA,NA,NA,NA,32,0.8,0.031,0.219,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,5,2,0,5,1,0,2,0,0,8,8,0,0,0,"P4",152,NA,152
"MATAYO UIAGALELEI","OREGON",67,95.13,"A","ED",2026,"Big Ten",72.7,61.8,76.7,62.4,0,5,2,1,0,1,4,6,4,0,0,0,0,0,0,0,0,4,1,NA,NA,NA,NA,32,5.5,0.031,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,5,1,0,0,2,4,0,1,0,0,8,8,1,0,0,"P4",109,NA,109
"KEYSHAWN JOHNSON","SYRACUSE",25,90.99,"A","ED",2026,"ACC",92.7,67.5,92.3,NA,0,0,4,3,0,0,2,5,0,0,0,1,0,0,0,1,1,4,0,NA,NA,NA,NA,11,1,0,0.091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,0,0,1,0,0,1,0,0,3,0,0,4,4,0,0,0,"P4",105,NA,105
"ISAAC TERRELL","IOWA STATE",27,90.67,"A","ED",2026,"Big 12",83.6,70.8,79.3,NA,0,0,3,3,0,1,0,4,0,0,0,1,0,0,0,0,2,3,0,NA,NA,NA,NA,11,0,0,0.182,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,"P4",139,NA,139
"SINCERE EDWARDS","UCF",23,89.5,"A","ED",2026,"Big 12",88.3,76.6,83.4,60.5,0,1,4,0,0,1,5,6,2,0,0,0,0,2,0,1,2,3,0,NA,NA,NA,NA,11,-0.67,0,0.273,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,3,1,0,3,1,0,1,1,0,5,5,0,1,0,"P4",145,NA,145
"ZEKE DURHAM-CAMPBELL","W VIRGINIA",49,87.35,"A","ED",2026,"Big 12",75.6,71.7,66.8,60,0,2,1,1,0,0,6,7,2,0,0,0,1,1,0,2,1,1,1,NA,NA,NA,NA,13,-2,0.077,0.231,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,0,2,1,1,0,1,2,0,0,0,0,4,4,0,0,0,"P4",79,NA,79
"LAMONT LESTER JR.","COLORADO",23,87.32,"A","ED",2026,"Big 12",90.4,58.9,91.6,70.6,0,0,5,3,0,0,0,3,1,0,0,0,0,1,0,1,0,4,2,NA,NA,NA,NA,10,-1,0.2,0.2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,1,1,0,1,0,0,4,0,0,5,5,0,1,0,"P4",195,NA,195
"CHASE KENNEDY","ARIZONA",32,84.47,"A","ED",2026,"Big 12",67.5,75.3,65.6,54.9,0,2,4,3,0,0,1,4,0,0,0,0,0,1,0,1,1,3,1,NA,NA,NA,NA,7,0,0,0.286,0,7,2,0.667,13,6.5,0,0,0,0,75.7,1.86,0,0.286,0,2,1,1,0,0,0.667,0,0,4.3,2.3,0,7,6,0.143,2,0,0,0,0,1,0,4,1,0.167,7,7,1,1,1,"P4",44,NA,44
"JAMOND MATHIS","TEXAS TECH",28,82.8,"A","ED",2026,"Big 12",69.4,52.7,77.7,60.3,0,0,3,2,0,2,2,6,0,0,0,0,0,0,0,2,1,3,1,NA,NA,NA,NA,10,3,0.1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,0,1,0,0,2,0,0,3,3,0,0,0,"P4",81,NA,81
"LATREVEON MCCUTCHIN","HOUSTON",44,82.22,"A","ED",2026,"Big 12",65.9,48.3,74.5,61.4,0,0,3,1,0,2,2,5,2,0,0,0,0,1,0,0,3,3,3,NA,NA,NA,NA,9,1,0.222,0.111,2,12,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,10,3,0.25,0,1,0,0,1,0,0,2,1,0.333,4,4,0,1,1,"P4",93,NA,93
