"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"BRAYDON BRUS","NWESTERN",92,100,"A",79.3,84.3,76.7,70.1,10,5,3,4,0,3.67,1,0,NA,50.3,9.3,6.7,0.37,1,0,3,1,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,3,1,1,2,5,2,2,3,3,0.429,20,1,1,0,3,0,0.429,0.143,0,2.9,0.143,0,0,10,0,4
"OWEN HEINECKE","OKLAHOMA",34,86.15,"A",76.6,74.5,61.6,70.9,9,5,2,5,1,5,1,0,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0.1,1,1,0,2,3,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,10,0,2
"SAMMY OMOSIGHO","UCLA",74,84.19,"A",79,80.3,73.4,65.6,13,1,7,2,0,7.5,1,0,NA,118.8,12,13,0.5,0,1,0,1,0,1,0,1,1,NA,0,0,1,0,0,0,0,0,4,3,1,1,3,2,1,1,2,1,1,13,1,0,0,1,0,1,1,0,13,0,0,0,13,0,7
"MATT ROSE","STANFORD",58,79.94,"B",75.5,77.5,64.9,68.2,13,4,7,2,1,2.14,0,3,NA,85.4,0.3,4.5,0.6,2,1,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.133,6,1,3,0,1,4,3,1,2,4,1,18,1,0,0,4,0,1,0.25,0,4.5,0,0.1,0.2,15,0,8
"ELIJAH MELENDEZ","AUBURN",78,79.73,"B",77.3,80.4,64.3,70,14,3,7,3,1,2.6,0,2,NA,93.2,8,10.6,1.18,0,1,0,0,0,1,1,0,0,NA,0,2,0,0,0,0,0,0.067,4,3,2,1,1,3,5,4,4,5,0.714,53,2,2,0,5,0.022,0.714,0.286,0,7.6,0.286,0.111,0,15,0,7
"DAMAINE WILSON","CINCINNATI",33,77.5,"B",67.4,77.7,81.1,56.4,5,3,1,2,0,2.5,0,0,NA,39.6,9.5,0,0,1,2,2,0,0,0,0,2,0,NA,0,0,0,0,0,0,0,0,1,0,0,3,5,3,3,3,3,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,5,0,1
"MASON POSA","WISCONSIN",60,76.37,"B",70,73.8,67.4,65.1,12,6,5,5,0,2.33,0,0,NA,95.8,3,28,1.12,1,0,1,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0.077,5,0,0,1,1,6,7,1,1,1,0.5,28,1,0,0,1,0.04,0.5,0.5,0,14,0,0,0.5,13,0,8
"TJ DOTTERY","LSU",33,75.47,"B",89.9,75,76.4,79.7,4,0,3,0,1,1,1,1,NA,39.6,12,0,0,0,2,1,0,0,0,0,1,0,NA,0,1,0,0,0,0,1,0.2,2,1,1,4,5,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.333,0,5,0,4
"JONATHAN THOMPSON","CINCINNATI",49,74.2,"B",67.3,69.9,75.1,62.1,7,3,2,1,0,5,1,0,NA,0,0,0,0,2,1,0,1,1,0,0,1,0,NA,0,0,1,0,0,0,0,0.125,1,1,0,2,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,8,0,4
"GEORGE BALLANCE","VA TECH",23,73.32,"B",89.9,90.6,67.3,62.6,5,2,2,2,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
"KYLE EFFORD","GA TECH",65,73.13,"B",77.4,75.2,NA,70.8,13,4,5,4,1,5.25,0,0,NA,70.1,-2.3,4,0.36,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.071,4,1,0,0,0,4,2,0,1,2,0.667,8,0,0,0,3,0,1,0,0,2.7,0,0.077,0,14,0,8
"EAN RHEA","ILLINOIS",40,72.54,"B",83.2,75.4,78.3,63.2,6,0,4,0,0,4.5,0,1,NA,0,0,0,0,0,3,0,1,1,0,0,1,0,NA,0,0,0,0,0,0,0,0.143,3,1,1,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,7,0,3
"CHRIS COLE","GEORGIA",21,71.44,"B",92,77.6,91.6,64,2,2,0,2,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MAVERICK BARANOWSKI","MINNESOTA",29,71.28,"B",76.3,83.3,58.1,60.5,6,5,1,5,0,4,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.143,1,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1
"TONY ROJAS","PENN STATE",35,70.64,"B",76.5,78.5,66.8,68.3,6,1,5,1,0,1,2,1,NA,84.7,2.3,4.3,0.68,0,1,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0.143,2,2,1,2,3,1,2,0,1,3,1,13,0,0,1,1,0,0.333,0,0,4.3,0,0,0.25,7,0,5
"E.J. LIGHTSEY","GA TECH",61,69.14,"B",76.6,77,56.5,69.7,7,3,2,3,0,3.25,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,2
"JACOB MANU","WASHINGTON",47,68.65,"B",63.7,75.8,71.9,55.2,13,3,7,3,1,3.2,0,1,NA,104.2,3.3,9,1.57,0,1,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0.071,4,3,1,0,1,3,6,3,1,4,1,36,2,0,0,4,0.043,1,0.5,0,9,0,0.111,0,14,0,7
"JEREMIAH TELANDER","TENNESSEE",35,68.44,"B",77.4,68.3,65.8,76.4,6,2,1,1,0,6.5,2,0,NA,39.6,0,0,0,1,0,0,1,0,1,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,2
