"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Break.Up","Drops...Off.Targets.Receptions.Forced","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Interceptions","Pass.Stop","Average.Depth.of.Tackle","Assist.Tackles.on.Run.Plays","Plays.of.15..Yards.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Missed.Tackles.on.Pass.Plays","Touchdowns.Allowed","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Dropped.Int","Unblocked.Pass.Rush","Forced.Fumble","Beaten.Defender","Sacks","Fumble.Recovery","Pursuit.Pressure","Hits","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interception"
"JOHN NESTOR","MINNESOTA",52,100,"A",88.1,87.5,65.1,60,9,1,5,60.9,2,1,0.31,2.2,6.3,0,5,10,0,0,2,0,0,0,1,50,0,1,1,0,0,0,0,0,1,0,0,2,0,1,1,1,1,6,5,0.556,11,1,2,0,2,0,0.222,0.111,0,1.2,0.222,0,0,9,0,7,0,0
"BRYCEN SCOTT","LOUISVILLE",58,90.73,"A",86.5,85,77.9,NA,4,1,2,39.6,1,0,0,0,22,0,0,0.5,0,0,0,0,0,0,1,NA,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0
"MASON LEWIS","VANDERBILT",48,85.56,"A",77.4,73.1,78.8,57.9,8,3,5,70.1,0,1,0.16,2,2.3,0,1,3.75,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.111,4,1,0,0,3,2,1,3,2,0.667,4,0,0,0,2,0,0.667,0,0,1.3,0,0.125,0,8,0,6,0,0
"JAMARI SHARPE","INDIANA",58,84.61,"A",78.3,76.8,73.2,NA,5,1,4,42.4,1,1,0.03,1,9.3,0,1,4,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,3,1,0.333,1,0,1,0,0,0,0,0,0,0.3,0.333,0,0,5,0,4,0,0
"ETHAN O'CONNOR","MIAMI FL",54,84.3,"A",82.4,83.2,60.2,56.8,8,2,3,43.1,0,1,0.8,9,11.8,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,0.667,36,2,0,0,1,0.022,0.167,0.333,0.167,6,0,0,0,8,0,4,0,1
"NICK TAYLOR","W VIRGINIA",61,84.05,"A",81.2,83.2,70.8,73.1,5,1,2,56.3,1,1,0.23,3.5,15.5,0,1,2,0,0,1,0,0,0,1,25,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,2,2,3,2,0.5,7,1,1,0,1,0,0.25,0.25,0,1.8,0.25,0,0,5,0,3,0,0
"KALEB COST","N CAROLINA",44,81.57,"A",76.8,78.1,65.3,56.4,7,2,2,70.8,1,0,0.48,13,3.5,0,2,45,0,0,1,0,0,0,2,50,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,1,0.5,13,1,1,0,0,0,0,0.5,0,6.5,0.5,0,0,7,0,4,0,0
"LEVAR THORNTON JR.","BAYLOR",67,80.41,"A",75.7,75.9,65.1,NA,4,0,1,20.1,3,0,0.55,7.7,8.7,1,1,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.2,0,1,0,0,0,3,3,4,3,0.5,23,2,3,0,0,0,0,0.333,0.167,3.8,0.5,0,0.2,5,0,4,0,1
"MO HORN","OKLA STATE",25,80.32,"A",86.5,89.3,56.5,NA,3,0,3,77.1,1,0,-0.39,-2.3,0,0,3,0,0,0,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,3,0.75,-7,0,1,0,1,0,0.25,0,0,-1.8,0.25,0,0,3,0,3,0,0
"DEVON JORDAN","BAYLOR",65,79.12,"B",75.1,75.1,64.6,NA,2,0,0,0,0,2,0,0,28,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,2,0,3,0,1
