"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Interception","Assist.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Target.per.Coverage","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Pass.Stop","Lined.up.in.Press.Coverage","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Break.Up","Run.Tackle.for.Losss.or.No.Gain","Plays.of.15..Yards.Allowed","Unblocked.Pass.Rush","Pass.Rush.Productivity","Missed.Tackles.on.Pass.Plays","Forced.Fumble","Touchdowns.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Pursuit.Pressure","Hits","Dropped.Int","Sacks","Beaten.Defender","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"GREG SMITH","N CAROLINA",70,100,"A",90.1,91.8,52.2,NA,9,2,2,2,2,0,0,8,6,0,2,NA,0,2,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0.182,0,0,0,0,2,3,0,5,0,0,0,0,1,0,0,0,0,0,2,0,1,0.222,0
"KP PRICE","BOSTON COL",69,95.55,"A",80,81,67.9,67.1,6,3,3,2,2,39.6,0.43,5.2,0,3.8,3,NA,1,0,1,0,0,0,1,12.5,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,3,2,2,5,4,0.8,15,1,0,0,4,0,0.8,0.2,0.4,3,0,0,0
"KALEB BEASLEY","LOUISVILLE",65,90.96,"A",83.9,86.8,71.5,59.2,8,4,0,2,4,21.5,0.74,10.8,21,8.3,0,NA,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,5,3,2,3,3,0.5,25,2,0,0,0,0.029,0,0.333,0.333,4.2,0,0.143,0
"ALEX MCLAUGHLIN","WASHINGTON",75,89.18,"A",85.5,87,77.7,54.9,11,4,2,0,4,39.6,0,18,13.4,0,0,NA,0,0,0,1,0,0,1,25,1,1,0,0,0,0,1,0,0,0,0,0.083,2,0,1,1,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.333
"RABBIT EVANS","UTAH",55,88.62,"A",84.6,84.4,67.1,74.1,4,2,1,1,1,0,0,0,11,0,1,NA,0,0,1,0,0,0,0,33.3,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEMARI HENDERSON","UCF",65,86.46,"A",79,78.2,75.7,58.8,8,1,4,2,1,0,0,8.6,6.4,0,0,NA,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111,4,0,0,0,1,4,3,4,0,0,0,0,1,0,1,0,0.2,0,0.4,0,0.2,0,0.333
"DEVIN VAUGHT","MICH STATE",66,78.44,"B",75.3,72.7,74.6,NA,9,3,1,1,2,0,0,0,9.4,0,0,NA,0,0,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHRISTIAN PIERCE","USC",71,77.65,"B",79.1,77.6,75.3,NA,11,3,1,1,2,47.2,1.43,8.7,4.33,10.5,0,NA,1,0,1,2,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0.083,1,1,0,0,3,3,3,3,6,0.667,63,2,2,0,4,0,0.444,0.222,0.111,7,0.222,0,0.143
"ADRIAN WILSON","ARIZONA ST",42,74.07,"B",73.4,73.8,80.4,57.7,6,2,2,0,0,39.6,0,47,5,0,1,NA,0,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.143,1,2,0,0,2,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0.333,0
"MATTHEW BAILEY","ILLINOIS",59,72.03,"B",77.4,73.5,68.6,79.1,2,1,0,1,1,0,0,0,9,0,0,NA,0,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,0,0,0,0.333,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
