"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"SAMMY OMOSIGHO","UCLA",62,100,"A"
"JUSTIN OKORONKWO","S CAROLINA",57,90.74,"A"
"LUKE METZ","ALABAMA",52,87.13,"A"
"ASHTON WOODS","W VIRGINIA",50,78.12,"B"
"POPO AGUIRRE","NC STATE",55,75.18,"B"
"ARION CARTER","TENNESSEE",43,74.77,"B"
"ALEX SANFORD JR.","PITTSBURGH",55,74.76,"B"
"JONATHAN THOMPSON","CINCINNATI",39,74.5,"B"
"GIDEON ESPN LAMPRON","COLORADO",64,73.14,"B"
"JEREMIAH MARCELIN","PITTSBURGH",71,71.12,"B"
"JAMES KREUTZ","ILLINOIS",37,68.78,"B"
"TREY LATHAN","KANSAS",65,68.76,"B"
"OWEN CHAMBLISS","NEBRASKA",44,68.58,"B"
"CHARLES CORREA","PURDUE",83,68.34,"B"
"ELIJAH MELENDEZ","AUBURN",74,68.06,"B"
"JORDAN HALL","MICH STATE",68,68.02,"B"
"SAM MATTINGLY","STANFORD",56,66.13,"B"
"JACOB MANU","WASHINGTON",57,65.19,"B"
"KEON WYLIE","VA TECH",53,64.96,"B"
"JADEN YATES","HOUSTON",63,64.88,"B"
"T.J. CAPERS","LOUISVILLE",56,64.14,"B"
"LUKE FERRELLI","OLE MISS",46,63.77,"B"
"MARTELL HUGHES","ARIZONA ST",71,62.78,"B"
"RILEY PETTIJOHN","OHIO STATE",27,62.65,"B"
"CAEL BREZINA","PENN STATE",33,62.52,"B"
"TACKETT CURTIS","UCF",60,62.34,"B"
"ZAYDRIUS RAINEY-SALE","WASHINGTON",56,61.65,"B"
"TONY ROJAS","PENN STATE",31,59.73,"C"
"DASH FIFITA","ARIZONA",16,59.48,"C"
"ISAIAH GLASKER","BYU",38,59.43,"C"
"TAH'J BUTLER","OLE MISS",43,59.33,"C"
"ANTHONY PALANO","BOSTON COL",69,58.27,"C"
"GRANT GODFREY","KENTUCKY",79,57.63,"C"
"ELIJAH ELLISS","UTAH",25,57.52,"C"
"MADDOX MARCELLUS","VIRGINIA",47,57.42,"C"
"DESMAN STEPHENS II","USC",72,57.35,"C"
"CARSON WILLICH","IOWA STATE",23,57.25,"C"
"TRAVION BARNES","BAYLOR",49,57.2,"C"
"MYRON ROBINSON","ARIZONA",27,57.19,"C"
"ROLIJAH HARDY","INDIANA",58,56.66,"C"
"CHASE TAYLOR","MICHIGAN",21,56.63,"C"
"CHRISTIAN ALLIEGRO","OHIO STATE",22,56.56,"C"
"WHIT WEEKS","LSU",73,56.38,"C"
"CHRIS JONES","FLORIDA ST",47,55.68,"C"
"COOPER CATALANO","WISCONSIN",39,55.58,"C"
"RASHEEM BILES","TEXAS",47,55.27,"C"
"KOBIE MCKINZIE","NWESTERN",64,54.87,"C"
"LEWIS CARTER","UCF",75,54.63,"C"
"NOAH CHAMBERS","VA TECH",45,54.58,"C"
"JADEN ROBINSON","FLORIDA",26,54.48,"C"
"CAM BUFFINGTON","IOWA",23,54.43,"C"
"KALEB SPENCER","VA TECH",51,54.1,"C"
"TATE ROMNEY","OKLA STATE",22,53.72,"C"
"DEREK MCDONALD","N CAROLINA",72,53.33,"C"
"KYLAND REED","BAYLOR",47,52.83,"C"
"MILES HALL","BYU",31,52.77,"C"
"TYLER MARTINEZ","COLORADO",63,52.38,"C"
"BRYAN LONGWELL","VANDERBILT",74,52.35,"C"
"JULIAN MANSON","IOWA",19,52.16,"C"
"RAYLEN WILSON","GEORGIA",31,51.74,"C"
"BRADY PRETZLAFF","MICH STATE",28,51.71,"C"
"DEXTER FOSTER","NEBRASKA",28,51.67,"C"
"STANQUAN CLARK","LOUISVILLE",77,51.45,"C"
"KOOPER EBEL","PENN STATE",31,51.31,"C"
"AIDEN HALL","WAKE",59,50.95,"C"
"MATT ROSE","STANFORD",58,50.76,"C"
"JEREMIAH BEASLEY","MISSOURI",17,50.71,"C"
"XAVIER ATKINS","AUBURN",72,50.69,"C"
"OWEN HEINECKE","OKLAHOMA",62,50.49,"C"
"TAYE BROWN","ARIZONA",46,50.01,"C"
"MEKHI MASON","KANSAS ST",43,49.88,"C"
"TRISTAN EXLINE","IOWA STATE",15,49.48,"C"
"BRAYDON BRUS","NWESTERN",64,49.03,"C"
"BRYCE COWAN","VANDERBILT",30,49,"C"
"FRANK CUSANO","WAKE",32,48.78,"C"
"JOHNATHAN HALL","UTAH",40,48.72,"C"
"BRAYLAN LOVELACE","PITTSBURGH",55,48.7,"C"
"TREY REYNOLDS","UTAH",39,48.2,"C"
"ISAIAH PATTERSON","W VIRGINIA",50,48.13,"C"
"JEREMIAH ALEXANDER","CLEMSON",41,47.72,"C"
"BRAYLON OUTLAW","GA TECH",27,47.56,"C"
"TREY REDDICK","MARYLAND",36,47.48,"C"
"ALEXANDER KILGORE","SMU",46,47.44,"C"
"ANTOINE DESLAURIERS","SYRACUSE",56,47.29,"C"
"KEATON THOMAS","OLE MISS",56,47.12,"C"
"AJ TUITELE","CAL",26,46.94,"C"
"PEYTON SEELMANN","N CAROLINA",42,46.88,"C"
"DANTE MCCLELLAN","MISSOURI",21,46.83,"C"
"MAVERICK BARANOWSKI","MINNESOTA",55,46.57,"C"
"KAM ROBINSON","VIRGINIA",43,46.52,"C"
"JAYDEN MONTGOMERY","IOWA",21,46.35,"C"
"JA'QUAVION SMITH","ARKANSAS",51,46.19,"C"
"ISMAEL KANTE","ILLINOIS",49,46.01,"C"
"NICK RINALDI","VANDERBILT",66,45.9,"C"
"ACE KAUFUSI","BYU",15,45.85,"C"
"VINCENT SHAVERS JR.","NEBRASKA",29,45.76,"C"
"DK GILLEY","RUTGERS",31,45.56,"C"
"E.J. LIGHTSEY","GA TECH",29,45.05,"C"
"ROBERT EDMONSON","ILLINOIS",18,44.98,"C"
"ISAIAH JONES","INDIANA",58,44.96,"C"
"DAMAINE WILSON","CINCINNATI",37,44.88,"C"
"KENDALL JOHNSON","DUKE",28,44.79,"C"
"C.J. GAMBLE","GA TECH",17,44.76,"C"
"FLETCHER COTHRAN","CLEMSON",15,44.69,"C"
"LIONA LEFAU","COLORADO",40,44.64,"C"
"ETHAN WESLOSKI","OKLA STATE",25,44.2,"C"
"ISAIAH CHISOM","OKLA STATE",17,44.02,"C"
"CINCERE JOHNSON","OHIO STATE",19,44.02,"C"
"JUSTIN WILLIAMS","GEORGIA",31,43.92,"C"
"MAX CARROLL","TCU",50,43.91,"C"
"KALEB BURNS","BAYLOR",33,43.86,"C"
"TRISTAN JERNIGAN","CAL",31,43.8,"C"
"TAARIQ AL-UQDAH","WASHINGTON",24,43.79,"C"
"JAYDEN JENNINGS","UCF",28,43.58,"C"
"ROBERT WOODYARD JR.","MISSOURI",55,43.45,"C"
"NOLAN DELONG","IOWA",19,43.45,"C"
"JACK PARIS","ILLINOIS",20,43.37,"C"
"THOMAS HEIBERGER","WISCONSIN",26,42.77,"C"
"TYLER LOCKHART","MISS STATE",80,42.61,"C"
"REX VAN WYHE","KANSAS ST",22,42.58,"C"
"BEN ROBERTS","TEXAS TECH",70,42.55,"C"
"JALEN SMITH","MISS STATE",84,42.16,"C"
