"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"BRYCE THORNTON","FLORIDA",69,41.05,"C"
"KEON SABB","ALABAMA",51,41.02,"C"
"JAY GREEN","STANFORD",61,41.02,"C"
"KAMARI WILSON","W VIRGINIA",64,40.87,"C"
"ROD MOORE JR.","MICHIGAN",22,40.84,"C"
"JEREMIAH COOPER","PENN STATE",26,40.46,"C"
"CAIRO SKANES","WISCONSIN",21,40.38,"C"
"DEREK WILLIAMS JR.","TEXAS",36,40.16,"C"
"TY BENEFIELD","LSU",77,39.71,"D"
"JIMMY WYRICK","SMU",51,39.6,"D"
"JESSIAH MCGREW","ARIZONA ST",59,39.44,"D"
"NIKO JANDREAU","OKLAHOMA",15,39.39,"D"
"GEIMERE LATIMER II","W VIRGINIA",73,39.33,"D"
"ZACH LUTMER","IOWA",23,39.19,"D"
"MALCOLM HARTZOG JR.","ARIZONA",59,39.14,"D"
"MASON CURTIS","MICHIGAN",23,39.05,"D"
"DASHAWN STONE","DUKE",31,39,"D"
"MAC RESETICH","ILLINOIS",59,39,"D"
"TYLER BROWN","IOWA",26,38.45,"D"
"RAHSHAWN CLARK","WASHINGTON",70,37.76,"D"
"JAYDEN WILLIAMS","UCF",68,37.74,"D"
"KENDEL DOLBY","MISS STATE",25,37.7,"D"
"ANTHONY HAWKINS","IOWA",23,37.7,"D"
"KERRY BROWN","MINNESOTA",55,37.53,"D"
"LEE MOLETTE III","ARIZONA",39,37.32,"D"
"JAMIR CONN","NEBRASKA",49,37.24,"D"
"LAVAIN SCRUGGS","MARYLAND",58,36.95,"D"
"XAVIER SCOTT","ILLINOIS",59,36.91,"D"
"BRODY MILLER","IOWA STATE",25,36.84,"D"
"CARTER DAVIS","BOSTON COL",69,36.55,"D"
"SYLVESTER SMITH-REED","AUBURN",29,36.08,"D"
"TAMARCUS COOLEY","LSU",75,36.06,"D"
"KALEB HARRIS","AUBURN",67,36.02,"D"
"JACKSON BENNEE","UTAH",52,35.74,"D"
"ANDREW PELLICCIOTTA","DUKE",37,35.5,"D"
"CHRISTIAN HARRISON","ARKANSAS",43,35.42,"D"
"MARCUS RATCLIFFE","TEXAS A&M",50,35.42,"D"
"MALIK ESQUERRA","TEXAS TECH",57,35.35,"D"
"K.J. KIRKLAND","FLORIDA ST",22,35.05,"D"
"BRAY HUBBARD","ALABAMA",61,34.97,"D"
"CARSON VAN DINTER","WISCONSIN",20,34.97,"D"
"JAMISON PATTON","PENN STATE",21,34.81,"D"
"MICAH HARPER","IOWA STATE",15,34.74,"D"
"LADARIAN CLARDY","OLE MISS",16,34.74,"D"
"COREY COSTNER","VIRGINIA",38,34.69,"D"
"CYRUS REYES","KENTUCKY",27,34.45,"D"
"T.J. BANKS","LOUISVILLE",49,34.31,"D"
"JOHN CURRY","TEXAS TECH",78,34.01,"D"
"CJ HEARD","VANDERBILT",77,33.99,"D"
"QUA MOSS","TENNESSEE",52,33.98,"D"
"KOY BEASLEY","KANSAS ST",57,33.98,"D"
"XXAVIER THOMAS","PENN STATE",18,33.97,"D"
"JORDAN LESTER","TCU",32,33.78,"D"
"QUAN SANKS","INDIANA",24,33.3,"D"
"JORDAN YOUNG","MICHIGAN",25,33.28,"D"
"OMARION ROBINSON","OKLAHOMA",46,32.6,"D"
"TRAJEN GRECO","MISSOURI",76,32.56,"D"
"CJ RICHARD JR.","FLORIDA ST",58,32.12,"D"
"LOGAN BARTLEY","KANSAS ST",16,31.18,"D"
"QUAY'SHEED SCOTT","S CAROLINA",32,31.13,"D"
"TA'SHAWN JAMES","UCLA",46,30.99,"D"
"MIGUEL MITCHELL","ARKANSAS",34,30.87,"D"
"MEKHAI SMITH","MINNESOTA",22,30.85,"D"
"KYLIN JACKSON","TCU",16,30.67,"D"
"BRAYLON JOHNSON","WAKE",47,30.36,"D"
"AIDEN MANUTAI","CAL",28,30.21,"D"
"RYLON DILLARD-ALLEN","WASHINGTON",75,30.17,"D"
"DAMON WALTERS","NWESTERN",64,30.14,"D"
"CHE OJARIKRE","DUKE",23,30.02,"D"
"TOMMY PRASSAS","BYU",49,29.5,"D"
"TJ METCALF","TENNESSEE",46,29.47,"D"
"EMMANUEL KARMO","MINNESOTA",18,29.38,"D"
"PATRICK SMITH-YOUNG","DUKE",28,29.32,"D"
"PEYTON MORGAN","TEXAS TECH",32,29.19,"D"
"ZECHARIAH POYSER","MIAMI FL",62,29.04,"D"
"KOI PERICH","OREGON",21,28.8,"D"
"EDWIN JOSEPH","OLE MISS",72,28.4,"D"
"NAETEN MITCHELL","COLORADO",71,27.34,"D"
"BRAHEEM LONG JR.","SYRACUSE",50,26.32,"D"
"KENNEDY URLACHER","USC",55,26.3,"D"
"RASEAN DINKINS","GEORGIA",45,26.2,"D"
"KENNY WOSELEY JR.","VA TECH",17,26.04,"D"
"AARON GATES","KENTUCKY",73,25.25,"D"
"J'ZAVIEN CURRENCE","S CAROLINA",29,25.12,"D"
"JJ DUNNIGAN","MIAMI FL",68,24.95,"D"
"LAGONZA HAYWARD","FLORIDA",17,24.39,"D"
"DASHAWN SPEARS","LSU",23,23.52,"D"
"GARRISON MONROE","MINNESOTA",36,23.45,"D"
"DEVYN HIDROGO","TCU",23,23.17,"D"
"KYAN MCDONALD","ARIZONA ST",19,22.75,"D"
"MA'KHI JONES","FLORIDA ST",58,22.5,"D"
"BRANDYN HILLMAN","VIRGINIA",57,21.93,"D"
"COLE MARTIN","UCLA",16,21.61,"D"
"DAYLEN AUSTIN","ARIZONA",16,21.5,"D"
"PROPHET BROWN","USC",72,21.21,"D"
"QUINTON HAMMONDS","OKLA STATE",28,20.99,"D"
"ETHAN MINTER","VIRGINIA",49,20.7,"D"
"GERALD KILGORE","S CAROLINA",37,20.56,"D"
"KYEAURE MAGLOIRE","ARKANSAS",25,19.88,"F"
"PEYTON WATERS","N CAROLINA",67,19.81,"F"
"JOENEL AGUERO","OLE MISS",65,17.57,"F"
"QUINN OLSON","ARIZONA",25,16.23,"F"
"KOEN ENTRINGER","LOUISVILLE",55,16.19,"F"
"ANQUON FEGANS","AUBURN",20,15.37,"F"
"QUENTIN REDDISH","VA TECH",50,14.91,"F"
"TANNER JOHNSON","MISS STATE",20,14.71,"F"
"MJ CANNON","CINCINNATI",58,12.79,"F"
"JARVIS LEE","SMU",38,10.13,"F"
"DALTON BROOKS","TEXAS A&M",54,9.62,"F"
"RUSHAUN TONGUE","WAKE",70,9.35,"F"
"DJ COLEMAN","FLORIDA",60,9.01,"F"
"CHAMP ANTHONY","AUBURN",34,7.59,"F"
"JASPER BEELER","CINCINNATI",58,7.58,"F"
"COLEMAN BRYSON","N CAROLINA",72,7.37,"F"
"CHRIS BRACY","MICHIGAN",24,7.1,"F"
"BRYLAN GREEN","ARKANSAS",31,3.25,"F"
"JAYDEN SHIPPS","MARYLAND",28,3.17,"F"
"MALIK HARTFORD","UCLA",64,2.3,"F"
"ASHLYND BARKER","FLORIDA ST",51,0,"F"
